Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-150,697.6553000393137,1
1,120,908.2135000033118,1
1,-150,644.7272999910451,2
1,30,587.1850000228546,0
1,150,502.8577000018954,1
1,30,603.8782000075839,0
1,0,516.190500010252,2
1,-150,625.718000007309,0
1,180,472.3728000069782,1
1,0,498.6251000198349,1
1,0,485.0595000432618,2
1,150,472.75679996235294,1
1,90,562.8338999929651,2
1,120,482.67309997461734,2
1,-60,450.3535000374354,1
0,120,532.6570000150055,0
1,120,574.4030999601632,2
1,90,570.3364999615401,2
1,-30,499.499299982544,0
1,-60,451.7027000081539,1
1,90,520.9833000087924,0
1,60,616.6304000187479,1
1,-30,485.607600025814,1
1,-120,546.9987999647669,1
1,180,601.4568000216782,2
1,-90,541.0023999982327,0
1,150,535.564100032188,4
1,-90,579.4279999797977,3
1,-60,494.50150005284695,4
1,150,521.1757999611832,4
1,30,569.3547000526264,3
0,60,523.8182000000775,4
1,60,474.2277999874018,3
1,-30,747.5216999999061,5
1,120,583.4411000367068,4
1,180,498.0280000134185,3
1,120,552.1969000226632,4
1,-90,530.1556000020169,3
1,60,661.4705999498069,5
1,-30,581.7905999836325,5
1,-150,481.1655999626778,3
1,-120,582.6757999718934,5
1,-120,584.3741999822482,4
0,-90,516.2691000266746,4
1,-90,418.16310003630815,3
1,-30,578.6749000078812,3
1,60,569.4147999863885,4
1,-60,640.4862000024691,5
1,90,695.0845000217482,4
1,30,537.2834000270627,4
1,180,645.3650999581255,5
1,0,480.4283999954164,4
1,-120,658.7249999982118,5
