Correct Response,Rotation (deg),Reaction Time (ms),Target
1,120,495.61630003251133,1
1,180,498.2825999623537,2
1,180,464.55130004420874,0
1,-30,454.3266000701487,1
1,120,563.0137999551744,1
1,150,781.3005000362546,0
1,-60,552.4239998786152,1
1,180,510.225600098297,2
1,90,507.82309984885154,1
1,-150,673.4745998410881,0
1,60,541.6612999989093,0
1,-150,601.4175000610203,1
1,90,490.9004000956565,1
1,60,493.63989988438783,2
0,-30,398.5123999892175,1
1,-30,347.55719988703726,1
1,0,405.3225000398606,1
1,30,467.2624999666959,1
1,-60,482.9718999108672,2
1,-120,469.25939992167054,2
1,-30,567.5378998285532,0
1,120,535.7691000691057,1
1,0,485.20540003761647,1
1,-150,492.3896000264585,1
1,180,684.4766000295431,0
1,-90,633.5636000158638,0
0,-120,705.8249998381734,4
0,-120,-99.04,5
1,-120,752.4977000439912,4
1,150,1006.9214000841976,5
1,150,1178.2197998846323,5
0,90,838.0420000767708,4
1,90,337.75210008122025,3
1,-60,982.1806999398768,5
1,-90,722.9795998437703,4
0,-90,-99.04,4
1,-90,494.42859995275734,4
1,-30,1056.3450998170674,4
1,60,550.0282000294328,4
0,0,873.4947000639886,4
1,0,722.8744002068788,5
0,30,908.1343000298739,3
1,30,1014.5286000343413,5
1,90,915.6004998376966,4
1,-60,802.4962998470664,4
0,120,-99.04,5
1,120,1015.6217999766022,5
1,-120,948.5225998806209,3
1,30,662.7841000454873,5
0,-150,829.0242000958324,4
1,-150,855.9424001733214,3
0,30,722.5439001350105,4
1,30,498.66749998278914,4
1,-90,1176.227800083384,4
1,150,794.7494999980927,3
1,-60,722.5124000115693,3
1,60,841.9737999802828,5
1,-150,964.3541001724452,5
1,0,825.2812000001222,5
0,-120,757.3869000198692,4
1,-120,1197.6562000355125,3
1,-180,498.28,2
1,-180,464.55,0
1,-180,510.23,2
1,-180,684.48,0
