Correct Response,Rotation (deg),Reaction Time (ms),Target
1,120,403.3866000217572,1
1,180,516.5170000372641,0
1,-30,483.3708000341617,2
1,60,465.5135999755189,2
1,0,467.2963999882527,0
0,120,577.8556999839097,1
1,120,474.0432999651134,2
0,60,553.7412000093796,1
1,60,442.9544000276551,0
1,-90,546.3018000563793,2
0,-30,489.06699998492377,1
1,-30,580.1460000192933,2
1,-60,661.6188000161387,0
0,-120,697.2230999935605,1
1,-120,884.211299996376,1
1,-120,447.6355999913253,0
1,150,541.4560000035167,1
1,0,533.8575000032038,2
1,-90,536.1093000364676,2
1,-90,470.232299991902,2
1,-90,609.6682999604568,0
1,-60,521.2151000132039,0
1,-150,477.18649997564034,1
1,150,530.2366999648698,2
1,180,471.4405999956839,0
1,90,533.7666000095383,1
1,-30,533.7140000164695,2
0,0,539.614400008712,1
1,0,474.0060000303388,1
1,30,530.6647000224516,2
1,120,471.5135999694653,3
1,-120,534.3230999978446,5
1,30,438.8917000005208,4
1,-150,507.7520000022091,5
1,150,496.6802999815159,5
1,0,473.0574999675341,3
0,90,506.5360999987647,3
1,90,537.1065000044368,4
1,-30,444.34869999254124,3
1,180,490.6004000194557,5
1,150,601.2273000059836,4
1,-60,556.0613999813982,5
1,60,429.50289998857306,3
1,30,545.8273000521772,5
0,-120,525.2483999910951,5
1,-120,477.018499976974,5
1,180,556.6953000351973,4
1,-30,437.74119997119533,3
1,30,663.1266000303626,4
1,90,443.64559999389576,3
1,-150,516.2169999648072,5
1,180,420.0478999964148,4
0,-60,525.3384000361152,4
1,-60,697.4883000338637,5
0,90,568.4490000102855,5
1,90,510.76339999867605,3
1,120,498.10439999869095,5
1,60,522.0282999770902,3
1,-150,621.761700019259,5
