Correct Response,Height,RT,Face
1,2,530.6030999999311,0
1,1,459.28840000002856,0
1,21.17,388.0126999999138,2
0,5.66,480.83069999999316,1
1,5.66,355.9369999999635,0
1,16,397.3083000000006,0
1,28,432.7677000000367,0
1,1,376.88859999995293,0
1,2,570.7215999999935,1
1,1,405.7334000000683,2
0,8,404.898700000027,1
1,8,532.6627000000972,0
1,28,428.3340000001008,0
1,1,402.5171999998438,2
1,16,431.86370000004536,0
1,2,364.1578000000809,2
1,8,430.1508000000158,0
1,2.83,404.64319999993313,1
0,2,599.4965999999895,1
1,2,402.4427999999407,2
1,16,465.0233999999873,0
0,4,535.349499999862,1
1,4,511.32539999995606,2
0,4,567.6817000000174,0
1,4,328.31400000001486,0
1,21.17,387.3691000000381,0
1,16,392.34029999981067,1
1,1.41,443.86690000002636,0
1,5.66,374.6344000000281,0
1,1.41,351.7336999999916,0
