Correct Response,Rotation (deg),Reaction Time (ms),Target
1,0,429.5684985667467,0
1,-60,395.39659878611565,0
1,90,403.73450069129467,2
1,90,457.0113990306854,2
1,-120,397.36300072073936,0
1,-90,455.53040055930614,1
1,-90,340.0546006709337,2
1,-90,556.3828006237745,1
1,30,403.70610094070435,2
1,-90,379.7634012848139,1
1,90,478.8768004477024,0
1,30,394.4634005278349,0
1,0,426.1767987012863,1
1,-60,355.15580064058304,2
1,60,473.6242994517088,0
1,-120,436.1028998941183,2
1,60,349.77010002732277,1
1,150,341.30449889600277,0
0,-30,576.2006986737251,2
1,-30,512.6864008456469,2
1,-60,368.598300203681,1
1,150,512.23809941113,2
1,-90,432.6340995579958,2
1,90,445.90100011229515,1
1,-60,674.0468993633986,2
1,120,571.943800136447,0
1,150,425.77670066058636,0
1,0,336.8467997610569,0
1,0,291.67189931869507,0
1,0,474.8943012058735,2
1,150,364.4264984726906,1
1,-60,431.1141997426748,1
1,30,392.6344990581274,1
1,60,479.38499896228313,4
1,-120,407.8621987104416,5
1,-150,409.3693990111351,4
1,30,488.7957006543875,4
1,-30,292.6613997519016,3
1,180,328.4800994992256,4
1,-150,487.3113997131586,5
1,120,327.06679886579514,4
1,180,424.2840997725725,4
1,120,338.16110080480576,3
1,60,508.4241993576288,5
1,30,383.99889989197254,3
1,-120,423.9331010580063,5
0,60,-109.0,3
1,60,520.0655005723238,4
1,-90,550.8304994404316,5
1,-60,505.9489004164934,4
1,-30,390.35000017285347,3
1,180,479.5824002325535,4
1,150,349.576200529933,3
1,180,478.46339939534664,5
1,-150,410.08909901976585,5
1,150,490.3485990911722,4
1,-120,262.45480141043663,3
1,180,543.5818016380072,4
1,-30,408.62770116329193,4
1,120,459.21709871292114,4
1,120,472.74450136721134,3
1,0,388.26410023868084,4
1,30,404.2347997277975,5
1,-30,272.1227008700371,3
1,60,339.14709946513176,5
1,-150,503.26779967546463,3
1,-30,448.87009932100773,8
1,-90,446.4674994200468,8
1,0,330.54090029001236,7
1,90,700.2436995357275,6
1,-90,415.19089898467064,8
1,-120,500.7458004951477,7
1,-150,306.421798825264,7
1,30,329.655499368906,8
1,120,618.4693995714188,6
1,-150,474.7933998554945,8
1,-60,426.52769869565964,6
1,-30,356.7138008624315,6
1,90,395.76960092782974,8
1,180,360.42900121212006,8
0,120,422.2636010348797,8
1,120,586.3827999532223,6
1,0,397.9385003298521,6
1,60,549.916300162673,7
1,-120,474.56909826397896,6
1,30,459.019000813365,6
1,60,354.43789994716644,6
1,120,468.7147989720106,6
1,-150,385.9843008071184,8
1,-60,408.94660091400146,7
1,90,447.2074985355139,7
1,150,469.923599794507,7
1,90,476.1687006652355,7
1,-150,396.12919947505,7
1,-120,449.33869986236095,7
1,-30,407.0659998655319,7
1,180,450.1597016900778,6
1,150,494.2737996429205,8
1,180,473.8762985765934,7
