Correct Response,Rotation (deg),Reaction Time (ms),Target
1,180,532.4302961374005,0
1,60,478.58904961518965,2
1,-150,524.8305081737303,0
1,150,557.8562204768023,1
1,180,491.87818254987724,1
1,30,418.96254343888904,1
1,150,430.06407066693873,2
1,-150,325.26959944866894,2
1,-60,381.66538507355517,2
1,150,647.1766837208097,0
1,-150,581.133109782721,1
1,-30,482.65364764220385,1
1,60,352.9937215135792,2
1,-30,401.11114839229776,2
1,60,512.2663673627503,1
1,-90,604.329103074841,2
1,-30,528.6216981541347,1
1,0,463.3867430206724,2
1,-60,1062.8159653231623,2
1,-90,380.88407294018543,2
1,90,347.4429578996396,2
1,-30,493.3107587943741,0
1,60,502.7752510763239,1
1,60,510.55662840432524,2
1,-90,375.4964666873466,2
0,90,679.6555799306052,1
1,90,556.1167855133053,0
1,-30,499.3260771542882,1
1,-120,466.65125557778174,2
1,-150,356.6197061324292,2
1,-120,556.5461829199112,1
1,30,1158.631661675864,0
1,-120,457.44310467288506,0
1,150,355.51242061016274,5
0,30,363.300624605964,4
1,30,487.7142565058339,3
1,-30,524.083329379474,4
1,-60,516.8972374864697,5
1,0,562.0460878585991,4
1,150,515.4318932363058,5
1,180,474.938488992203,3
1,0,557.6418631068609,5
1,-30,551.5005927254979,4
1,-120,585.1826891405753,4
1,0,527.6915646619873,4
1,180,469.22798135089215,3
1,-150,648.0665398726533,4
1,90,456.1972377936545,3
1,-90,497.63920753313505,5
1,-60,487.4746404649759,3
1,30,522.3633504192921,5
1,90,432.47866307903314,5
1,120,380.76016891901963,4
1,-90,400.5872016362364,3
1,0,471.60093108917954,5
1,-90,355.54518861571614,5
1,90,450.5450981624026,5
1,-120,641.2719573797094,4
1,30,446.2746761002254,3
1,60,342.0116609726538,3
1,60,503.82928858952346,3
1,-150,293.19415930789637,3
1,120,374.26732514419746,3
1,-60,407.9470322256302,5
1,150,558.4764232493544,4
1,-120,539.1432999497656,5
1,-90,450.9437755637382,8
1,-150,351.2682812191006,8
1,0,350.8767718189265,8
1,120,333.35408082840877,8
1,30,493.6053295113343,6
1,60,614.9374035519859,7
1,-120,444.5973638138785,8
1,150,510.05452698533736,7
1,0,517.540992263017,6
1,180,613.8536700337145,6
1,0,430.6702787702452,6
1,180,506.82517176748297,8
1,120,501.86696292136367,6
1,-60,395.28356339762104,6
1,90,539.1637799533928,8
1,-60,353.07291086034274,8
1,-30,503.6729578961658,7
1,30,488.2713126009239,8
1,120,595.4947122337817,8
1,180,494.52795366884493,6
1,-120,492.719569360057,6
1,-90,563.5773094533452,7
1,120,427.53137690139374,6
1,120,369.99690308213394,6
1,90,498.91852508486954,8
1,30,475.47881975121163,6
1,-150,515.0956798455954,6
1,180,471.9467018148098,6
1,-60,350.3285903920332,6
1,90,518.1055576926301,7
1,120,503.9613846119355,7
1,150,377.793981746132,8
