Correct Response,Rotation (deg),Reaction Time (ms),Target
1,120,573.019700000069,1
1,0,432.3149999999405,1
0,-30,309.4147999999368,2
1,-30,451.9250999999631,2
1,-90,400.44379999998546,1
1,90,445.30989999990743,1
1,0,304.4840000000395,1
1,120,418.37500000000637,0
0,180,397.97379999996883,0
1,180,565.1731000000755,1
1,-90,448.3342000000139,2
1,30,531.768200000025,0
1,180,700.3168000000333,1
1,-60,526.7365000000073,1
1,180,522.8760999999995,0
1,90,472.9159000000127,0
1,60,509.82170000001224,2
1,-30,484.11810000008336,1
0,-60,304.25659999995423,1
1,-60,382.76589999990483,0
1,-90,528.306800000033,0
1,180,456.4104999999845,0
1,60,466.06450000005316,1
1,0,453.6125000000002,1
1,120,459.25450000008004,2
1,120,678.2816999999941,0
1,30,408.4377999999251,0
1,-150,393.2000000000162,2
1,60,427.8033000000878,2
1,90,341.82400000001144,2
1,-30,921.6379999999535,1
1,120,373.9161000000113,2
1,-150,385.14820000004056,2
1,60,366.0788999999713,2
1,-30,547.2711000000263,1
1,-30,308.6679999999351,5
1,30,480.7177000000511,3
1,-120,580.4111000000294,4
1,150,960.140999999945,5
1,0,513.0173000000386,4
0,60,627.2504999999828,5
1,60,730.3697000000202,4
1,150,427.2323000000515,4
1,-120,491.6612999999561,5
0,60,420.96940000002724,5
1,60,485.12799999995514,3
1,-60,604.4275999999318,5
1,-90,734.2492999999113,4
1,30,532.1969000000681,3
0,30,-109.0,4
1,30,521.9764000000087,3
1,150,462.42959999998766,5
1,-150,420.98909999996613,4
1,-150,355.5533999999998,3
1,-90,562.857799999998,4
1,180,459.72680000003584,4
1,0,554.7088999999605,5
1,-60,415.70870000001923,3
1,90,429.9483999999811,5
1,90,194.60529999995833,4
0,-60,344.00350000002254,4
0,-60,370.681600000049,4
1,-60,402.9735999999193,4
0,60,293.03380000002653,4
1,60,500.99119999996765,3
1,30,319.08960000002116,3
1,-60,486.1669999999467,5
1,180,532.0121000001254,4
1,-120,430.8472000001675,3
0,-90,598.1992999999566,4
1,-90,779.0024999998568,4
1,-60,293.23360000004504,3
1,120,709.5888000000432,5
1,0,515.9255000000176,4
1,150,444.106200000002,6
1,120,531.4285000000982,8
0,-150,399.25670000017453,6
1,-150,726.1163999998334,7
1,90,564.5809000001609,7
1,-30,482.5625000000091,7
1,-120,498.55250000011074,6
1,-90,538.2966999999699,7
1,90,640.7213999999985,8
1,150,467.83269999984077,8
0,-120,602.1790999999812,7
1,-120,452.44930000004933,8
1,-150,959.7909000000673,8
1,-60,559.5025000001588,6
1,-30,543.0978999999443,8
1,0,541.4628000000139,6
1,150,613.6051000000098,6
1,30,481.1384000001144,8
1,-120,599.5927000000538,6
1,30,661.8785999998327,7
1,0,563.7406999998493,6
1,-120,435.38379999987774,6
1,120,509.03439999994225,7
1,-120,335.2185000000336,8
1,-90,422.4048999998704,7
1,180,416.181099999827,7
1,180,237.2746000000152,6
1,60,400.44369999979244,7
1,-150,614.4547999996721,7
1,150,484.65680000018983,8
1,-150,601.6401000000915,7
1,90,444.54780000016035,7
1,150,395.86590000036813,7
1,-30,423.96439999985523,8
