Correct Response,Rotation (deg),Reaction Time (ms),Target
1,0,1088.9624444502406,2
1,0,996.4040926537709,1
1,180,710.6674252249068,1
1,-120,680.1474413481774,1
1,60,667.8078979133861,0
1,-120,811.9260238421848,1
1,180,701.6179943570169,1
0,-120,-109.0,1
1,-120,904.9284503675299,1
1,90,862.1883897398366,1
1,90,965.4973780529108,0
1,180,1080.4960110075772,1
1,150,714.58286055387,1
1,120,691.0431445398135,1
1,-150,814.0808615393471,2
1,60,1024.6654734768672,2
1,60,545.4019890134223,2
1,60,926.1017019856954,1
1,30,879.2338966563111,2
1,90,635.9509111320367,1
1,150,754.165245988057,2
0,-30,-109.0,0
1,-30,738.0724005601369,1
1,120,785.9645474058343,2
1,150,698.3108151147608,1
1,60,844.5626160650281,0
1,150,976.0841745268553,2
1,-150,1104.8129431550624,2
1,-150,829.053792095161,1
1,30,720.982861658209,0
1,-60,827.4751251559937,0
1,-90,987.7553871741984,2
1,-150,663.9682385834167,0
1,120,751.4403815115802,1
1,-60,931.9101723198546,5
1,-60,937.832647989504,5
1,-30,774.1568013847573,4
1,-60,647.1893130477984,4
1,0,717.0739116522018,4
1,-90,581.4799045150867,3
1,0,655.4212504528696,3
1,-120,812.7561466357438,4
1,-120,869.7448283750564,3
1,-30,631.2336836676113,3
1,-90,493.69407619489357,3
1,180,780.7691118472721,5
1,60,612.303675105446,3
1,-90,718.1108824847033,3
1,-120,666.1329749589786,4
1,0,1028.6198208308779,4
1,30,797.3763466983801,4
1,-60,609.8522186916089,4
1,120,549.270320345764,4
1,30,671.4144265246578,5
1,-30,754.2253206596943,4
1,120,572.574174988782,3
1,150,594.4830000629881,3
1,90,540.2280574748293,3
1,-150,640.2520532105118,4
1,-150,587.7136762395967,3
1,90,579.5759468568722,4
1,180,727.2517907225993,4
1,0,707.5848433563951,4
1,-30,466.1215061463881,4
1,150,529.5716289805714,3
1,-30,862.3532537862193,5
1,-30,593.0002478093375,6
1,0,524.6724708089605,7
1,180,631.5627290572738,7
1,-60,645.1675953834783,8
1,90,577.8590398953529,6
1,180,507.4945265481947,6
1,150,700.2973754537525,8
1,90,595.4117682235083,7
1,-90,797.9374987884657,8
1,-90,499.4312078310177,7
1,30,633.9414814541815,8
1,120,597.4539658895228,8
1,-150,557.9620338216191,8
1,-90,602.2606227310607,7
1,-150,653.2404714202275,8
1,180,593.477090555476,7
1,-120,657.7010161821963,8
1,30,605.3343299248954,6
1,30,628.2118591447361,8
1,-120,832.1005339497933,7
1,-60,652.702529998729,8
1,-60,639.4195410652319,6
1,60,504.69968873623293,7
1,-30,625.491090697702,6
1,120,506.0868676486425,7
1,60,639.413055727724,6
1,90,613.2372219257522,6
1,150,785.7959287179401,8
1,120,878.1112511318643,8
1,-90,581.8570779050933,6
1,0,577.3456744758878,7
1,30,811.1211596955545,8
