Correct Response,Rotation (deg),Reaction Time (ms),Target
0,-120,868.781399997184,1
0,-120,882.1041000013938,2
0,-120,538.2785000005388,0
0,-120,-109.0,1
1,-120,880.9425000039628,2
0,0,983.832800000906,1
1,0,907.3525000025402,1
1,-150,672.952099998307,2
0,60,1136.7431999937398,1
0,60,554.808400000562,2
0,60,-109.0,0
1,60,809.9949999999953,0
1,0,844.2562999957008,2
0,-90,1129.3266999968328,2
0,-90,695.4822000010754,0
1,-90,608.6417999944533,0
0,90,844.1382999994094,0
1,90,810.0201000019442,0
0,-150,-109.0,0
0,-150,766.4212999992887,0
1,-150,810.4442000007257,2
1,30,855.8109999980079,2
1,120,672.7192000002251,2
1,0,1108.6056999960565,0
0,180,600.9975000019185,0
0,180,-109.0,1
1,180,772.7100000014761,1
1,150,646.2670000004582,2
0,-60,748.534000002488,0
1,-60,647.5393000040785,2
1,60,863.5574000040069,1
0,180,1029.4297000040533,0
0,180,441.6905000002007,2
0,180,-109.0,1
0,180,851.5479999954696,0
1,180,778.1147999961977,0
1,150,823.5403999973787,0
1,-90,641.5120999994688,1
0,120,887.6570999968098,1
0,120,826.8792999992147,0
1,120,951.3428999966127,0
1,-30,928.2585000004619,1
1,90,1021.9351999952924,2
1,60,990.6238000006997,1
1,-30,1100.410499999649,2
1,-90,1055.0925999963656,1
1,-30,718.8821999992942,0
0,60,464.39610000053653,2
0,60,894.885199999786,0
0,60,-109.0,1
1,60,733.2222000008333,0
0,-120,936.6904999955441,1
0,-120,786.5920999942464,0
0,-120,-109.0,1
0,-120,397.77889999496983,1
1,-120,872.3817999965977,1
0,-150,903.1442000017851,0
0,-150,590.6996000016225,0
0,-150,430.72219999559456,1
1,-150,635.3743000039831,2
0,180,627.6066999966279,0
0,180,908.7887000027113,0
1,180,653.9191000014544,2
0,60,-109.0,0
0,60,605.6341999978176,1
0,60,546.6817999953637,0
0,60,569.5880000024918,2
1,60,651.9022000033292,0
1,-150,950.8966000034125,1
1,60,561.8432999948855,0
0,30,384.39619999955175,4
1,30,657.0556000046199,5
1,-60,757.9191000008141,3
1,-90,820.276499999105,4
1,30,595.0230999991763,3
1,30,497.279400002677,5
1,-150,517.8781000035233,5
1,-30,596.9888000003411,3
1,30,474.3388000028208,5
1,0,541.9284999992815,3
1,150,599.5387999977684,5
0,-30,633.1021000045585,4
1,-30,719.3847999991849,4
1,150,545.7191999998176,5
1,-60,498.5210999988485,3
1,120,467.2283000003663,5
1,120,423.41669999988517,5
1,-30,634.6682999978075,4
1,0,405.9658000009367,5
1,120,380.03010000503855,5
1,60,381.4326000032597,5
1,90,621.2272000015364,3
1,0,491.56469999835826,5
1,90,594.665999993973,3
1,-150,614.3045999964816,3
1,-60,613.182099998463,4
1,-30,532.9059999971068,5
1,-30,454.9459000012721,5
1,-90,607.6499000013573,3
1,-60,475.86919999995735,5
0,-120,595.6745999978157,5
1,-120,430.4339999984368,5
1,120,468.7072999990196,5
1,150,407.0312000007252,5
1,-60,461.2519999977085,5
0,30,593.576699994097,8
1,30,695.1221000021324,6
1,-60,1175.4343000033405,6
1,180,594.0441000024439,8
1,-90,909.3781000014278,7
1,150,698.7835000003688,6
1,60,431.6150000053458,7
1,-150,990.7781999976723,8
1,120,855.9648999984493,7
1,-120,582.6881000070134,8
1,30,651.9531999987666,6
1,-90,593.1719999975176,6
1,-90,560.6119999978691,8
1,-120,507.2348999932874,8
1,180,562.4172000065446,6
1,-120,709.7465999944834,7
0,90,602.8078999992576,7
1,90,622.993200002762,8
1,-150,625.1513999999734,8
1,-60,491.92250000161584,8
1,180,752.4075000004959,8
1,120,408.6214000020991,8
1,150,514.6012000008486,8
1,-120,753.1312000032049,7
1,90,597.0115999993286,6
1,180,495.9860000057379,8
1,90,535.8830999943311,6
1,0,881.2873999963049,7
1,0,530.8180999967735,8
1,150,573.1234999952139,7
1,30,525.350499996799,6
1,90,547.5115999983391,6
1,180,571.6246999985888,8
1,-120,527.7608000000473,8
