Correct Response,Height,RT,Face
1,4,444.1481000361964,2
1,2.83,310.3002000101842,2
1,11.31,416.6599000422284,1
1,8,368.01860003871843,1
1,11.31,412.5260999975726,2
1,1.41,566.7254000403918,1
1,28,474.678399969358,1
0,1.41,606.7449999940582,0
0,1.41,564.5023999935947,0
1,1.41,536.6355999689549,1
1,2,813.7441999828443,0
1,28,531.2507000020705,2
1,5.66,340.4993999833241,2
1,2,369.58549997908995,2
1,1.41,497.1889000120573,1
1,2.83,331.5306000262499,0
1,16,449.5763000417501,2
1,8,441.853599968832,0
1,4,436.3935999539681,0
1,21.17,335.91800002288073,0
1,28,445.5778999803588,2
1,11.31,467.3942999765277,0
1,1,673.2624999680556,1
1,28,419.6622000276111,1
1,5.66,511.19190000137314,0
1,21.17,510.0923999529332,1
1,11.31,562.554800006561,0
1,16,423.60750003391877,2
0,21.17,411.06619999883696,1
1,21.17,421.81800002837554,2
1,1.41,488.51809999579564,1
1,8,470.4519999762997,1
1,4,504.2303000194952,0
1,1,580.5916999783367,2
1,2.83,418.25240000290796,2
1,1.41,539.2554999529384,4
1,11.31,499.8378999847919,4
1,2.83,496.9597000130452,3
1,16,347.8692999891937,3
0,4,457.6557000367902,5
1,4,524.2309000426903,3
1,16,460.6375000406988,5
1,28,474.82670005084947,5
1,21.17,338.74400000460446,4
1,21.17,478.6710999873467,3
1,21.17,263.82529997173697,3
1,2.83,509.9291999908164,5
1,16,453.19440000131726,3
1,1,374.4318999783136,3
1,11.31,471.05240000784397,5
1,2.83,453.71149998065084,5
1,1,481.82300000591204,5
1,21.17,532.773600014858,4
1,11.31,446.77209999319166,3
1,1.41,481.555900009349,5
1,4,433.1176999807358,3
1,11.31,294.6636999808252,3
1,5.66,402.5139000117779,3
1,4,399.8648999808356,5
1,5.66,447.28119996981695,4
1,4,475.19090003008023,4
1,1,513.0101999933831,4
1,2,449.503300009761,3
1,28,504.08149999240413,5
1,8,408.62300002155825,3
1,8,500.2186000314541,4
0,1,604.3977999910712,4
1,1,418.8662000200711,4
1,2,452.5760999498889,5
