Correct Response,Height,RT,Face
1,21.17,528.9899999999452,2
1,28,558.3811999999089,1
1,1,538.2196999998232,0
0,2.83,613.2125000000688,0
1,2.83,618.6248999999098,2
1,16,578.248899999986,0
1,5.66,644.3986000000823,2
1,11.31,506.6868000000486,2
1,1.41,609.8018000001648,2
1,2,561.3683000000638,2
1,2,611.0090000001182,0
1,8,566.9729000000334,2
1,8,548.3892000001251,1
1,28,519.0671999998049,2
1,4,521.8816000000661,1
1,5.66,491.885400000152,0
1,11.31,558.195300000003,2
1,11.31,575.8767999999836,0
1,1.41,659.7342999997782,2
1,1.41,648.248399999753,0
1,11.31,552.6070999998556,1
1,8,524.2115000000158,0
1,16,383.5680999999713,2
1,2.83,511.22990000014033,2
1,1,507.73289999998815,2
1,2,416.4245000000992,2
1,2,649.0440000001545,0
1,8,485.7443000000021,1
1,4,537.2462999998024,2
1,5.66,347.0059000000365,1
1,5.66,403.97329999988506,1
1,21.17,478.7997000002324,2
0,1,639.8169000002927,1
1,1,634.2099999996353,2
1,4,367.7946000001757,4
1,1,512.0734000001139,3
1,28,614.8197000001492,5
1,1.41,586.933800000148,4
1,2.83,411.751300000029,3
1,2.83,483.58690000024217,4
1,2.83,501.98179999999047,3
1,5.66,486.9219999999732,3
1,1.41,385.4921000001159,3
1,2.83,311.0670000000173,3
1,1,451.7724000001326,4
1,4,441.3545000001395,4
1,28,595.0646000000379,3
1,16,535.0258000002359,4
1,21.17,469.50760000019363,3
1,21.17,462.9523000002482,5
1,21.17,453.68610000006447,5
1,4,505.614900000106,4
1,28,529.5260000001836,3
1,8,493.75040000033187,3
1,2,438.15780000015,4
1,16,399.9462999999341,4
1,4,515.9874000000091,3
1,21.17,452.6089000000102,4
1,1,469.2885999997234,4
1,16,465.454600000081,5
1,16,352.8881000001238,5
1,16,459.41020000001663,4
0,1,532.8755999998211,4
1,1,506.726199999699,3
1,21.17,488.19829999994545,3
1,1.41,423.65650000003006,4
1,1.41,540.8061000002053,5
