Correct Response,Rotation (deg),Reaction Time (ms),Target
0,90,559.3442999783438,0
1,90,621.1221999805421,2
0,30,327.5650999825448,2
1,30,405.71659998060204,2
1,150,583.7899000002071,1
1,180,499.5091999848373,2
1,-90,463.6252000022214,2
1,-30,405.8031999997329,0
1,-150,575.7330000018701,2
1,30,403.97019998310134,1
1,-90,503.5916999881156,1
1,180,821.4128999938257,1
0,30,301.0996000051964,2
1,30,294.2673000183422,2
0,180,487.05339998961426,2
1,180,468.2405999887269,0
1,-120,584.9315999916289,2
1,180,685.2083000089042,1
1,-120,487.309199987445,2
1,60,413.62979999068193,2
1,30,419.8635999895632,1
1,30,477.3547000044491,0
0,180,515.5635999948718,2
1,180,588.2528999904171,0
1,-30,425.5279000175651,2
1,-30,493.2993999940809,1
1,-60,453.4072999926284,0
1,-120,511.2147000003606,1
1,150,710.292400003178,1
1,-120,662.9476999773178,2
1,30,513.7064999984577,2
1,120,568.9399999941234,1
1,-120,434.7984000018332,2
1,120,453.1062999998685,2
1,-120,398.73350000963546,2
1,-150,515.8260000138544,1
1,120,450.43419999675825,2
1,150,447.63839998305775,2
1,0,544.649799991399,0
1,60,323.88000000757165,1
0,150,291.9334000002127,0
1,150,472.55540001462214,2
1,0,493.6807999878656,1
1,90,589.2962999900337,1
1,-60,719.2218000094872,0
1,0,492.60199998063035,1
1,0,551.8322999964003,4
1,-60,515.5322999893688,5
1,0,674.1997000030242,4
1,60,534.4853999817278,3
1,-150,298.32800000114366,3
1,-60,489.4869999811053,4
1,-30,518.4884000013117,5
1,90,417.18539999821223,3
1,120,422.01050000987016,3
1,-90,385.6199000114575,3
1,90,314.32859997986816,3
1,-60,511.53310000919737,3
0,-150,412.78209999692626,4
1,-150,510.378700008383,3
1,60,512.1928999982774,5
1,-150,594.781699994579,5
1,120,354.7495999922976,5
1,-60,520.9295000208076,3
1,-30,446.2210999885574,5
1,120,476.2725000004284,5
1,-90,344.60449998406693,5
1,150,537.4941999875009,4
1,90,471.6842999882065,3
1,0,492.24689998338,5
0,0,351.77190001960844,4
1,0,422.00290001020767,3
1,-120,529.3167000021785,5
1,120,555.7016999777406,4
1,-60,489.0604999931529,3
0,-90,508.1139999933075,3
1,-90,486.01729998737574,5
1,180,520.8909000179265,3
1,-90,557.2887000129558,4
1,150,537.7008999898098,3
1,-90,486.1714999973774,3
1,-150,344.51980000850745,4
1,-30,500.56300000543706,3
1,150,482.0007999918889,3
1,-30,498.05809999490157,4
1,60,503.64579999260604,5
1,90,478.4844999925699,3
1,60,480.4408000167459,5
1,30,306.4370999895036,4
