Correct Response,Rotation (deg),Reaction Time (ms),Target
1,120,586.7965000037802,0
1,0,460.98649999150075,0
1,180,564.9429000008386,1
1,90,630.2330000002403,0
1,-90,426.6031000119401,0
1,-120,681.9462999959942,2
1,180,559.037399998866,1
1,-60,557.2410999997519,2
1,-30,466.44590000179596,2
1,90,418.14029999333434,0
1,60,561.028699998511,2
1,-30,488.00369999336544,2
1,30,452.9087999948533,2
1,30,587.7719000094803,1
1,150,565.4866999943042,0
0,-60,510.3572000047425,1
1,-60,443.80520000087563,0
1,60,537.739499992691,0
1,90,540.6946999977808,1
1,0,482.4291999943089,1
1,60,467.5585000044666,2
1,120,435.5705000020098,2
0,30,473.63430000806693,1
1,30,379.2757000013953,2
1,-90,408.23779999883845,2
1,30,566.114699988626,0
1,0,531.9702999953879,1
1,90,542.4666000002762,2
1,30,674.8947999989614,1
1,0,519.4009000082733,1
1,-120,469.6877999926219,2
1,150,419.7411000026623,0
1,150,461.8076000009896,2
1,-60,491.68350000074133,2
1,180,523.5240000005579,2
1,-150,576.292499998468,0
1,120,622.0302999976557,1
1,60,536.3708000044571,0
1,-90,494.09820000838954,2
1,180,522.4784999995027,2
1,180,561.5027999996673,1
1,-90,593.4203000037232,1
1,150,559.6436000018148,4
1,-90,396.35110000055283,4
1,120,526.9173999953782,5
1,-90,445.63420000160113,4
1,-150,521.7149999920512,5
1,120,504.9077999978326,3
1,-90,423.44729999278206,3
0,-150,409.34700000472367,4
1,-150,559.9447999960976,3
1,150,473.43490000313614,4
1,150,375.1831999947317,4
1,-120,499.1789000018034,3
1,0,444.49310000019614,4
1,30,440.43689999345224,4
1,0,449.99970000609756,5
1,-150,667.6201000049477,5
1,-120,618.5350999989314,5
1,-30,417.15269999660086,4
1,-60,505.2095999966841,5
1,0,326.3203999926336,3
1,180,502.2924000044586,4
1,-30,327.58729999151547,5
1,-120,435.92289999325294,5
1,90,534.9745000097901,4
1,-60,437.4120999968145,5
1,60,465.068800007808,3
1,-150,397.41990000440273,5
1,60,542.2774999864632,4
1,120,406.54700000269804,4
1,-150,489.286399996141,3
1,90,394.5805000079563,3
1,150,408.4808000010671,3
1,90,354.0404999916209,3
1,60,324.7043000123231,3
1,-60,454.29390000610147,5
1,-30,524.6902000039117,5
1,180,515.2631000059191,4
1,30,472.71879999281373,3
1,-30,444.4075999894412,5
1,-120,472.0381000046618,3
1,-120,550.103399986634,4
