Correct Response,Rotation (deg),Reaction Time (ms),Target
1,0,451.47889997716993,0
0,-120,387.01879995316267,0
1,-120,852.6942000575364,2
1,120,495.1180999018252,0
1,-120,527.8114000651985,0
1,-120,511.316999964416,0
0,90,393.6874999748543,1
0,90,525.4274000730366,0
1,90,449.95540001802146,0
1,0,467.4469000278041,1
1,-90,450.82880003284663,1
1,-90,341.1512999413535,2
1,0,382.5803999174386,1
0,-150,400.0743999462575,0
1,-150,542.6770001035184,0
1,120,456.54560002405196,0
0,60,325.3228000216186,2
0,60,466.811899965629,2
0,60,471.939200008288,1
1,60,812.99729999993,0
0,60,604.0421000765637,2
1,60,454.68459993973374,0
1,180,767.8251999281347,2
0,-30,454.71340004261583,2
1,-30,641.8220000891015,2
1,-90,505.1395999584347,1
1,150,670.3215999845415,2
1,-150,516.5185999907553,0
0,120,612.0787999210879,0
1,120,648.714300067164,2
1,-150,583.3945000162348,2
1,-150,604.9157999772578,1
1,150,743.6146999793127,0
1,-30,538.2547000739723,1
1,-60,476.78470000065863,2
1,-90,670.6778999036178,0
0,0,484.16460008267313,2
1,0,436.6510999938473,1
1,-30,481.10490006767213,2
1,30,501.1820000912994,0
1,-120,553.6098999986425,1
1,120,297.67820000089705,2
0,90,580.3979000160471,1
1,90,580.8741000331938,2
0,-30,629.4948999388143,3
0,-30,491.72790004778653,3
1,-30,500.7712001064792,3
1,150,276.8766999328509,3
1,90,428.25389996543527,3
0,-120,327.7843000218272,4
1,-120,615.596899934113,4
0,120,304.39399991557,3
0,120,410.9694000184536,3
1,120,663.7784999879077,5
1,150,343.377500012517,5
0,120,323.441100012511,4
1,120,598.041300018318,3
1,-150,647.9080999819562,4
1,30,605.9540000827983,4
1,-60,636.6196000566706,3
1,-30,437.06890003196895,3
0,30,400.1163999168202,5
1,30,484.71190005913377,3
1,-90,953.2643000679091,4
1,-90,584.6096999561414,3
1,-60,590.2920999182388,4
1,-60,499.9586999733001,3
1,-150,584.6008000047877,4
1,-30,483.40299998782575,3
1,-120,576.654400032945,4
1,150,550.6121999900788,5
1,30,471.16030001454055,3
0,0,411.9404999623075,3
1,0,474.64930003881454,5
1,0,524.1166999880224,3
1,-120,581.5398999806494,5
1,60,566.1833000453189,4
1,120,634.3735999511555,4
1,120,624.636699966155,3
1,-60,479.0917999893427,5
1,90,432.25879995990545,3
1,-90,476.56299994233996,5
1,30,603.6180999912322,3
1,90,545.1507999645546,4
1,150,736.3592000296339,8
1,180,485.5298000006005,8
1,-60,435.89440005272627,8
1,60,656.6512999674305,8
1,-90,600.6483999630436,7
1,60,587.993499994278,7
1,0,630.0870000235736,6
0,150,448.0704999845475,7
1,150,542.654600049369,8
1,180,455.206900075078,8
1,90,325.2977999476716,7
1,150,439.3735000016168,7
1,-30,716.7724000141025,6
1,180,593.9944999376312,8
1,180,898.086000056006,6
1,60,544.6349999951199,8
1,60,583.1827000332996,6
1,30,517.8578000599518,7
1,90,504.192499964498,8
1,-150,512.1154001066461,8
1,60,565.809499992989,6
1,30,478.33470004517585,8
1,-60,392.11750001087785,8
1,-150,530.2387000378221,6
1,-30,508.45470005553216,6
0,90,516.2058999380097,8
1,90,475.7664000466466,7
1,0,432.470899945125,7
1,180,537.8013999983668,6
1,-120,608.8344000130892,6
1,-60,591.2822998911142,8
1,180,439.87920001056045,8
0,180,381.8121000044048,6
1,180,487.35469992645085,7
1,30,438.1238000318408,6
1,-180,767.83,2
1,-180,485.53,8
1,-180,455.21,8
1,-180,593.99,8
1,-180,898.09,6
1,-180,537.8,6
1,-180,439.88,8
0,-180,381.81,6
1,-180,487.35,7
