Correct Response,Rotation (deg),Reaction Time (ms),Target
1,90,753.8795000258833,0
1,-90,657.3407999789342,2
0,15,544.1240999465808,2
1,15,540.3703000014648,1
1,-90,602.344699957408,2
0,90,551.6206999858841,1
1,90,758.9610000690445,2
0,-75,491.27809999883175,0
1,-75,647.0613999376073,0
1,15,509.87050000950694,1
1,60,543.1601000567898,2
1,-30,539.7623000284657,0
0,90,497.78050003480166,1
0,90,583.0094999950379,2
0,90,610.5170000195503,1
0,90,-109.0,0
0,90,753.4572000699118,2
1,90,609.830099911429,2
1,-90,457.2059999303892,0
1,-75,528.5028999755159,1
1,60,683.6542999921367,1
1,75,528.878599925898,2
0,-45,516.5023999838158,0
1,-45,575.2457000166178,2
1,60,554.4853000286967,0
1,-75,489.48970000166446,2
1,90,359.36389997042716,0
1,75,469.7478999700397,1
1,-60,732.8562000151724,1
1,-45,486.024700043723,0
1,-60,478.2781000798568,2
1,90,758.0660000061616,2
1,-45,410.38650000374764,2
1,75,537.1879999842495,0
0,-15,445.91100007202476,2
1,-15,626.4122999822721,0
1,45,498.23379999399185,1
1,30,469.9937999797985,0
1,-30,412.29349997267127,2
1,45,515.6578999562189,2
1,75,963.4813000997528,0
1,45,635.5590998977423,2
1,0,502.6680999984965,5
1,-30,485.0460000419989,5
1,75,584.612499977462,5
1,-15,493.60990005917847,3
1,-90,543.8411000035703,4
1,-15,475.88239999860525,5
0,-60,495.7311999136582,3
1,-60,481.4530000407249,4
1,15,619.0986999394372,4
1,15,442.15810001734644,3
1,75,483.91489992756397,4
1,15,487.2310000322759,4
1,-30,511.5781999742612,3
0,-60,585.6749000344425,5
1,-60,624.999399933964,4
1,45,506.96369999460876,5
1,60,599.6587999947369,4
1,-30,406.84669994190335,5
1,45,510.1144000040367,4
1,45,415.5363999856636,4
1,45,551.375599982217,3
0,0,402.27949997317046,5
1,0,531.6242999946699,4
1,-45,615.0247000008821,4
1,-45,400.7645000787452,4
1,75,436.50400003790855,4
1,0,417.17939992342144,5
1,30,611.4099999507889,3
1,30,597.781999906525,4
1,15,500.5785000361502,5
1,60,641.6413999944925,3
1,-75,860.2547000013292,3
1,-15,983.2654999885708,3
1,60,477.95010002702475,3
1,-90,577.2966999178752,5
1,-75,455.7482000058517,8
1,-75,500.80299999937415,7
1,0,443.6263000210747,7
1,90,514.4388999873772,6
1,0,446.46409997623414,6
1,-60,588.0714000053704,7
1,30,594.6288999952376,8
1,75,545.1566000087187,8
1,-15,462.76310010254383,7
1,-30,506.0523000396788,8
0,-60,414.61000003293157,7
1,-60,634.2739000068977,6
1,60,575.7242000512779,6
1,-15,481.51839995663613,7
1,-30,536.2406999887899,7
1,-15,513.0693000359461,6
1,60,510.9020999483764,7
1,15,561.399900060147,8
1,30,702.7910999571905,8
1,45,510.9276000261307,7
1,-75,500.2555000213906,6
1,30,534.7122999923304,8
1,-75,393.7601000620052,7
1,90,434.5348000610247,6
1,30,506.0807000230998,6
1,-60,361.8645000355318,6
1,0,630.395400043577,8
1,-90,660.5910999318585,8
1,-45,407.6597000788897,7
1,0,527.6345999995247,6
0,-90,543.2432999918237,8
0,-90,343.9290000209585,6
1,-90,277.4101000363007,6
0,-45,315.59680000320077,7
1,-45,539.2830999884754,6
1,15,458.5796000286937,7
