Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-90,662.2324999738485,1
1,-30,598.3607000056654,0
1,-90,608.8010999923572,2
1,180,706.4804999940097,1
1,0,717.3473999686539,1
1,-120,463.0695999916643,2
1,150,605.1500000143424,2
0,-150,543.824699995108,1
1,-150,616.5027000792325,2
1,-90,540.4024000130594,0
1,90,740.3586999829859,0
1,-60,378.18010005541146,0
1,30,628.269000033848,0
1,150,879.378299982287,1
1,-120,554.3460999000818,0
1,-90,617.2914999155328,2
1,0,634.6190999578685,0
1,120,545.4829000486061,2
1,-30,550.0923999901861,0
1,-30,649.2824000855908,1
1,150,765.0019999677315,0
1,-120,801.1314999861643,1
1,-120,826.2728000376374,1
1,60,764.5689999302849,1
1,-150,429.5057999519631,1
1,-120,396.81669993698597,1
1,-60,612.7185000190511,2
1,90,646.2443000022322,0
1,90,751.3320999536663,0
1,30,438.94389999005944,1
1,120,634.9679999370128,0
1,120,616.2962000202388,2
1,-90,560.7549000382423,0
1,-120,517.3160000089556,4
0,150,515.3846999714151,5
1,150,762.4473000727594,4
1,120,573.3774999938905,5
1,-150,632.3910999894142,3
1,0,446.28099997900426,3
1,120,535.8355000466108,4
1,30,655.8053999291733,5
1,150,667.7631000606343,3
1,120,678.0328000281006,4
1,90,653.6756000099704,4
1,180,596.0864000339061,4
1,-90,519.6655999720097,5
1,60,528.4750999966636,3
1,120,557.1897000158206,5
1,60,775.4741999637336,4
1,-30,472.7782999947667,3
1,150,464.82539997342974,5
1,120,561.4673999920487,5
1,-60,476.02530003897846,4
1,180,950.1242000227794,3
1,180,561.9336000494659,5
1,-30,513.2088999347761,4
1,-90,602.0463000135496,4
1,0,532.8961000163108,4
1,0,554.4130999445915,4
1,180,540.1663999622688,4
1,-150,427.8622000096366,4
1,150,628.4354000203311,3
1,60,1091.2920999657363,3
1,60,593.3156000068411,4
1,0,478.69859990570694,4
1,90,547.3625000417233,3
1,-150,415.9124000547454,7
1,-150,532.593600041233,6
1,-60,449.9798000873998,6
1,-60,545.5488000847399,7
1,-60,489.9326999988407,6
1,-30,650.1387000866234,8
1,60,824.6046000244096,8
1,-150,565.6065000770614,6
1,-30,587.6112999944016,6
1,60,548.8613000456244,7
1,-150,619.5980999004096,8
1,30,531.0659000501037,8
1,0,551.203899955377,7
1,30,566.3630000166595,6
1,-60,549.837900031358,6
1,-90,550.4679999398068,8
1,180,615.4749000528827,7
1,-120,485.76770006585866,7
1,30,400.3529000878334,7
1,30,552.1395999789238,6
1,90,418.02909999061376,7
1,150,568.2913000313565,6
1,60,551.1645000046119,6
1,180,578.4031000770628,6
1,-30,888.5194999715313,6
1,30,473.51949993427843,6
1,-60,497.83419997803867,7
1,90,401.64990006852895,7
1,-120,658.320099985227,8
1,90,497.6520999884233,6
1,0,415.1403999971226,7
1,180,712.9594999682158,7
