Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-60,678.8865000093356,2
1,-90,597.5939001040533,0
1,-30,642.7477999208495,1
1,15,538.4448000080884,0
1,-30,417.4339999994263,0
1,90,647.762900040485,0
0,90,797.3667999580503,1
1,90,569.8125999737531,1
1,-60,520.7157000517473,1
1,75,665.7982000000775,1
1,45,589.8503000466153,1
1,-60,523.689299993217,0
1,-60,612.6826999792829,2
1,-15,503.92060010600835,0
1,-45,594.9893999462947,1
1,-75,662.047499962151,2
1,-15,555.795899996534,1
1,75,598.9438999062404,2
1,45,622.6706000128761,1
1,75,789.1082999380305,2
1,-15,418.04660000745207,1
1,-60,473.23449997603893,2
1,60,528.771200039424,1
1,-90,668.1342999767512,1
1,-45,492.7619000049308,1
1,15,408.6205999450758,1
1,-15,442.6104999696836,2
1,60,546.2288999082521,2
1,-45,388.2455999813974,2
1,45,559.325399979949,1
1,-90,501.70289998315275,2
1,60,579.1634999299422,2
1,75,643.8688999591395,0
1,15,671.0301999086514,3
1,30,703.3227999312803,4
1,30,588.4382000043988,3
1,90,721.6528000393882,5
1,30,565.5968000032008,5
1,-90,569.6586999660358,5
1,-30,505.8398999357596,4
1,75,563.1441000699997,5
1,-90,459.4437999734655,5
1,-75,409.6360999941826,5
1,-90,622.3215000322089,4
1,90,560.0562000731006,4
1,60,585.5498998975381,3
1,45,640.0000000689179,3
1,-60,583.2253000084311,4
1,-30,720.1500000050291,4
1,-90,575.5652000047266,4
1,0,594.0732999555767,5
1,-75,773.1077999891713,3
1,0,502.4026999566704,5
1,45,529.4333999594674,4
1,30,466.4585999529809,4
1,75,742.4580000191927,3
1,-75,565.7412000549957,3
1,45,453.0986999711022,5
1,15,758.7339000860229,4
1,-30,597.9149999879301,3
1,45,491.3661999711767,3
1,-30,483.732600052841,5
1,-75,507.1835000384599,5
1,45,517.6843000194058,3
1,-45,484.8766000326723,5
1,15,438.1685000229627,7
1,0,464.38489999528974,6
1,-90,549.1934000132605,8
1,-15,423.3494999902323,7
1,-45,496.4084999486804,7
1,60,529.7655000435188,8
1,-45,607.2513000657782,8
1,90,734.1494000833482,7
1,15,641.6507999496534,6
0,-60,751.6736999936402,6
1,-60,550.4031000277027,6
0,90,698.7477000188082,6
0,90,745.6781999757513,8
1,90,599.9076999109238,8
1,15,416.2031000563875,7
1,-30,604.5601999470964,6
1,30,547.6827999195084,6
1,60,454.6836000485346,6
1,0,515.1307000163943,6
1,-15,425.47060007601976,6
1,75,452.5832000039518,7
1,30,476.2615999756381,7
1,90,917.8573999637738,8
1,30,583.6465999567881,7
1,-75,492.67070000898093,7
1,60,604.8411001069471,6
0,-15,607.181099996902,8
1,-15,351.32229997217655,8
1,-45,596.294799990952,7
1,0,454.20179998874664,8
1,-30,506.38450000807643,7
1,0,576.8973000198603,8
1,0,464.56809999328107,8
1,-75,493.5596000254154,8
0,15,473.16800005175173,6
1,15,345.67710006050766,6
1,0,390.42809995263815,6
