Correct Response,Rotation (deg),Reaction Time (ms),Target
1,37.5,615.2709067346234,2
1,-60,723.1026069739539,0
1,22.5,601.6892070429105,0
1,60,749.6903065139134,2
1,15,410.90140645519676,0
1,60,678.2613067434806,0
1,30,427.50260667071524,1
1,37.5,572.7128066600937,0
0,-45,506.1016065546948,1
1,-45,579.3887066201944,1
1,52.5,517.2790066817481,1
1,7.5,438.5595066951293,1
1,0,520.0094065176029,0
1,-45,562.3940067844171,2
1,-37.5,451.666406496771,0
1,-52.5,501.0189066188115,2
1,-7.5,439.4865065360147,1
1,-45,605.5969066464979,1
1,-52.5,376.906106855132,1
1,45,418.11210676223817,1
1,-52.5,556.6815069423694,1
1,22.5,465.35210698039117,0
1,-45,466.57020659313383,2
1,37.5,506.4572064684409,0
1,-37.5,529.3032067374963,0
1,30,371.07690670654955,0
1,37.5,355.6244067394811,0
1,22.5,437.0198064962107,0
1,-60,470.3605064669329,2
1,-22.5,426.1531067559201,1
0,7.5,477.50760675535383,2
1,7.5,416.1695066386539,1
1,-45,446.0292068788487,0
1,45,660.0173065917272,2
1,52.5,596.8266065710861,4
0,-60,548.1865062856753,3
1,-60,504.101406458177,5
1,-52.5,515.8124069230337,5
1,-15,418.6864068278748,5
1,0,369.22140666411104,5
1,0,457.87500697315517,3
1,-15,295.24540682450714,3
1,45,507.06150676251235,4
1,0,483.1597066031474,3
1,15,438.3540066437501,4
1,15,447.6655066491741,3
1,-37.5,521.6356065602679,5
1,-60,368.25070683971825,5
1,45,536.0483067588586,3
0,52.5,457.3375067220706,5
1,52.5,628.0341065967161,3
1,-22.5,478.5405063548762,5
1,-15,406.5737064474899,5
1,-7.5,436.44100674555483,3
0,-22.5,514.4528068149168,4
1,-22.5,367.06510665953937,4
1,37.5,531.6881063872654,4
0,60,458.29230700746956,5
1,60,525.5972069235224,4
1,60,443.51800638378444,4
1,45,441.49130643472853,4
1,-37.5,475.4895066389519,3
1,30,548.0511068844874,3
1,-30,429.34600650460305,5
1,37.5,475.9479068698067,3
1,-37.5,516.5193063685376,4
1,-30,579.8216067732949,4
1,52.5,404.3628067256588,4
1,-15,387.02550684229317,4
1,45,546.3184068457861,5
1,7.5,455.14010698661986,8
1,30,535.7414066338617,6
1,15,425.09670662821117,8
1,-30,427.6560066746253,8
1,-7.5,450.22520669863405,6
1,-7.5,690.1160070219714,7
1,0,421.4416063869077,8
1,30,443.3368064010221,8
1,-7.5,473.37920651898565,6
1,-45,533.3127068834085,6
0,52.5,498.6253070192117,7
0,52.5,552.489406570204,6
0,52.5,495.77980688900533,6
0,52.5,625.0868068555076,8
1,52.5,544.7177068808753,6
1,-60,426.07640675396505,7
1,60,700.2625066334087,6
1,-30,426.88100659415903,8
1,52.5,521.3883064234335,7
1,7.5,507.45860641018334,8
1,22.5,446.74430661962214,6
1,-30,488.7280065113384,7
1,-15,512.0822066919584,6
1,-22.5,411.2709068240303,7
1,-52.5,445.8807065630037,8
1,-60,527.8057066270787,8
1,7.5,418.44650651455703,8
1,22.5,472.3714065285105,7
1,-15,561.0104064935524,8
1,30,618.199306681164,8
1,-37.5,442.8688070283908,8
1,-22.5,440.74010676831784,7
1,15,490.6976066076833,8
1,0,411.3239065291065,7
1,-22.5,402.60380706877294,7
0,-52.5,525.2338067175526,6
1,-52.5,385.192406504758,7
