Correct Response,Height,RT,Face
1,2.83,371.65646599570755,0
1,21.17,333.18087499029934,0
1,28,446.16836399328895,2
1,11.31,549.9825400005793,1
1,8,719.86383200821,1
1,11.31,514.8830539950868,1
1,16,321.17362798855174,0
1,1.41,450.7847439930774,2
1,28,415.5456929987995,1
1,2.83,315.38521899748594,0
1,4,332.2118189939065,1
1,4,417.2432040035492,1
1,5.66,386.02162101271097,0
1,5.66,329.47458199888933,0
1,2.83,341.77855300041847,2
1,2,405.8451999993995,1
1,2.83,269.4963939979207,0
1,1.41,469.3088600001065,1
1,16,386.45994999061804,0
1,4,401.7917580025969,0
1,28,375.9980580038391,2
1,8,375.1190919978544,2
1,8,325.5678730023792,2
1,16,337.26196700846776,1
1,1,534.8362980115926,1
1,8,439.0689700052608,3
1,21.17,413.33989399974234,3
1,1.41,490.7666199982632,4
1,5.66,329.5107299895026,3
1,2,441.83154699241277,4
1,28,814.8593879999826,5
0,1,459.19572699896526,5
1,1,404.319635996595,3
0,1.41,837.8043539964128,5
1,1.41,497.60330699465703,5
1,28,309.07655499724206,5
1,11.31,468.3322330060182,4
1,16,264.5281190020032,3
1,21.17,514.2038029993419,4
1,2,451.04459799441975,3
1,8,414.6549230030505,4
1,21.17,448.9211519943783,5
1,16,477.64018000126816,3
1,11.31,665.8824949958362,5
1,1,529.3104710112093,3
1,2.83,809.4080419945531,3
1,2,405.26947899744846,4
1,4,386.37760400562547,4
1,1,648.1358959976351,5
