Correct Response,Height,RT,Face
1,21.17,419.64730000146665,2
1,28,526.838899994269,0
1,1.41,483.97800000058487,0
1,4,394.14450002042577,2
1,21.17,363.60830001323484,0
1,1,364.27560000121593,0
1,5.66,382.7573000129778,1
1,1.41,610.4058999884874,2
1,8,462.6800000227522,0
1,28,536.4334000009112,2
1,2,549.269499981543,1
1,2.83,700.2784000036772,2
1,5.66,405.30370000889525,2
1,28,441.79599999589846,2
1,2,384.9767000032589,0
1,16,382.1343000130728,1
1,2,317.26769997878,0
1,11.31,362.2459000002127,1
1,11.31,276.69329999154434,1
1,28,438.5360999989789,2
1,16,423.18579999520443,2
1,4,396.34889998380095,1
1,8,336.87540000793524,1
1,4,349.30060000298545,2
1,5.66,412.67039999039844,2
1,11.31,499.4510000073351,0
1,4,310.85960002057254,0
1,2.83,372.1275999818463,0
1,21.17,557.7676999932155,0
1,2.83,546.424700002186,1
1,28,434.75519999302924,2
1,16,410.4795999850612,0
1,16,485.2978000093717,4
1,1.41,476.7508999761194,3
1,21.17,485.9163000041153,3
1,16,463.18489999650046,3
1,11.31,392.7255999846384,4
1,2.83,523.2259999869857,4
1,5.66,463.0785000012256,4
0,1,452.83180000516586,3
1,1,507.95649998728186,5
1,2.83,463.55240000085905,3
1,1.41,491.92250001616776,5
1,28,492.4856999972835,5
1,2.83,483.8682000085246,4
1,5.66,519.3573000109755,5
1,11.31,556.6899999943562,3
1,5.66,536.0648000172805,4
1,16,529.3132000046317,3
1,11.31,566.0937000033446,5
1,1.41,445.202900006203,4
0,2,567.7591999960132,3
1,2,1002.7054999922402,4
1,21.17,606.5303000181448,4
1,8,501.0735999934841,5
1,5.66,393.6034999755211,4
1,11.31,354.40750000672415,4
1,2,413.46520001790486,4
1,5.66,261.5404000065755,4
1,1.41,468.1408999862615,4
1,2,637.7270000197459,5
1,28,533.7200999751221,4
1,8,436.866800006479,4
1,11.31,571.4734000179451,3
1,21.17,498.0768000208773,4
1,11.31,409.6622999899555,4
1,21.17,540.4652999972459,6
1,1,489.6165000067558,8
1,16,458.72380002075806,6
1,28,464.8173999998253,6
1,4,426.62110001803376,8
1,1,450.0812000154983,6
1,1.41,425.41579997888766,6
1,2.83,402.15000000572763,8
1,2,485.08070001518354,6
1,1,418.4309000233188,8
1,16,393.17439999687485,7
1,8,464.82540000253357,8
1,8,463.1751000091899,8
1,1.41,509.1800999911502,7
1,1,465.3164000159595,7
1,16,546.2945000003092,8
1,21.17,509.0649999878369,8
1,8,464.12859999365173,6
1,2,636.0589999789372,7
1,4,423.824800000526,8
1,2.83,586.8930999971926,7
1,4,481.91060000355355,7
1,5.66,608.117899999721,7
1,28,396.5156000016723,6
1,21.17,447.08790001133457,7
1,1,430.2876999976579,8
1,1,550.4015999871772,8
1,4,396.6598999944981,8
1,8,541.8583000104409,6
1,8,417.0845999873709,7
1,2.83,416.9201999870129,7
1,4,367.13229998387396,7
