Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-30,621.5381000041962,1
1,150,562.1243000172544,2
1,-60,853.617399985902,0
1,120,532.4718999876641,1
1,-30,708.2352999972645,2
1,30,1080.7676000080537,0
1,-90,577.1721999885049,1
1,-30,438.242999979062,1
1,-120,691.1167999755125,2
1,0,551.8907999761868,2
0,0,700.3836999905761,2
0,0,741.9109000151511,2
1,0,498.9164000111632,2
0,180,872.059899990214,0
1,180,967.9416999828536,2
1,30,705.3403999856673,0
0,180,961.7776000199374,2
0,180,579.8223999994807,1
1,180,385.1800000087824,1
1,30,799.2501000084449,2
1,180,622.7473999864887,1
1,0,443.6556000113487,1
1,-60,727.796299990965,2
1,90,663.2579999826849,0
1,90,731.5325000057928,2
0,-120,694.2670000102371,0
0,-120,998.9567999986466,2
0,-120,1074.9239000109956,2
0,-120,664.840800015023,0
1,-120,794.8368000183254,0
1,60,588.1982000104617,1
1,-90,1006.71339998045,2
0,120,838.9129000101238,2
0,120,671.7309000054374,0
0,120,1027.426000011852,2
1,120,640.6661999903154,2
1,-120,570.3801999883726,2
0,120,926.2284999971744,5
0,120,1123.528300024569,5
0,120,-109.0,5
1,120,765.9850000021979,3
0,150,895.9371999921277,3
0,150,-109.0,5
0,150,716.2984000137076,4
0,150,906.5168000201229,5
1,150,488.68069998244755,5
1,-150,921.7067999965511,3
0,-150,896.4941000125837,4
0,-150,716.92079997994,5
1,-150,1005.6515999862459,3
0,-90,1025.9059999920428,3
1,-90,951.6108000210952,5
1,150,571.0202000013087,5
0,30,879.769699994009,5
1,30,977.8660999985877,5
0,0,-109.0,3
1,0,365.74960002000444,3
1,-120,707.2963000067975,3
1,-120,810.1609999979846,5
1,90,796.2736000157893,5
1,-150,1196.1032999937888,4
0,-60,-109.0,4
0,-60,951.3533000103198,5
1,-60,1059.1638000009116,4
1,60,825.3341999920085,5
0,120,877.8151999835391,5
1,120,470.8907999997027,5
0,-90,693.6514000084717,3
1,-90,666.5413000122644,3
1,-60,353.91619999101385,3
0,180,401.43890000437386,5
1,180,896.3048999980092,4
0,-150,394.5236999974586,5
1,-150,743.0267000130843,4
1,60,744.3813999965787,5
1,150,834.1403999915347,4
1,60,758.8715999994893,4
0,90,786.0585999991745,5
1,90,781.1465999952052,4
1,-30,843.445600007195,5
1,180,1200.2747000046074,4
