Correct Response,Rotation (deg),Reaction Time (ms),Target
1,60,447.50006292853504,0
1,120,452.8170131929219,2
1,180,514.4925437020138,1
1,150,419.3690714277327,0
1,60,349.4930062992498,0
1,60,358.44822908658534,0
1,120,476.4273851728067,1
1,-30,476.98171069752425,1
1,-90,517.8365869764239,2
1,-150,472.5785099985078,1
1,-30,455.94396831840277,0
1,-60,422.82780276983976,0
1,60,621.4834952810779,2
0,-150,558.5754098687321,2
1,-150,480.6885913098231,1
1,-60,511.16898044385016,1
1,-90,471.03670698963106,0
1,60,496.4046046920121,1
1,-90,520.3866888154298,1
1,180,502.6298431297764,2
1,90,412.6587984468788,0
1,-120,434.8990582479164,1
1,-120,388.85147688817233,2
1,30,472.35493646841496,1
1,-90,391.512853381224,0
1,-90,517.7649069195613,2
1,60,355.3420953070745,0
1,30,478.49108691699803,2
1,0,443.77304362971336,2
1,0,357.9659249484539,0
1,180,480.41620728001,1
1,-30,475.73720913752913,2
1,-150,469.1757574295625,0
1,-60,534.113752361387,5
1,150,593.2057306021452,5
1,150,533.1430002665147,4
1,-120,520.7805875074118,5
1,0,495.44545780774206,5
1,-90,584.7976650660858,5
1,30,513.1043408149853,3
1,90,486.7677389960736,3
1,180,500.79244532063603,5
1,0,413.33702782541513,5
1,-30,442.8193581374362,5
1,-60,547.720666680485,4
1,30,505.6963821956888,3
1,-30,487.8787792371586,3
1,-150,499.85480255819857,4
0,-120,-109.0,3
1,-120,388.137748869136,3
1,-90,430.55012932419777,4
1,180,411.4491128679365,5
1,-30,523.9457720275968,5
1,180,476.7175186974928,3
1,90,433.8020126419142,3
1,120,740.0313128568232,5
1,0,520.8666035290807,4
1,60,409.4205685509369,3
1,-60,504.5146861197427,4
1,0,469.5737520782277,5
1,150,480.95244198013097,5
1,0,473.09016860928386,3
1,90,500.5251813530922,3
1,-30,481.1842074235901,5
1,60,447.69667094480246,5
1,0,535.6490699891001,4
1,-150,578.0634985389188,7
1,150,507.54436122626066,6
0,120,513.2337062936276,7
1,120,513.016959474422,6
1,90,590.9652180820704,7
0,-30,421.2406024420634,7
1,-30,518.4933124659583,8
1,-60,558.0043591875583,6
1,120,584.9656011527404,7
1,-120,489.5840808134526,8
1,-120,484.96652271971107,8
1,120,527.3348712911829,6
1,-60,559.1710367556661,6
1,30,527.3795859506354,6
1,-120,590.0712659899145,7
1,90,535.4876194000244,6
1,150,606.755300829187,6
1,-60,572.5932895988226,8
1,30,480.188537793234,8
1,120,626.0327868480235,7
1,180,594.9523334242404,6
1,-90,540.7485908912495,6
1,150,537.5748730115592,6
1,90,422.56668273732066,6
1,30,533.0426482800394,8
1,-150,539.0521640041843,7
1,90,503.5309632625431,6
1,120,506.0042649824172,8
1,30,591.5133995553479,8
1,-120,504.0033686058596,6
1,150,474.57838226947933,7
1,-150,520.9836809048429,6
1,-150,497.14359145984054,6
1,180,443.79796093236655,6
