Correct Response,Rotation (deg),Reaction Time (ms),Target
1,60,834.7551000155509,1
1,-150,1014.2621999806724,0
1,-120,1081.2195999864489,1
1,-60,807.2155999802053,2
1,180,1123.696200022474,0
1,-90,901.5070000281557,2
0,-90,843.5227000121959,1
1,-90,600.9410999799147,0
1,0,762.0141000337899,0
1,120,745.6825000084937,2
0,60,644.4583000233397,1
1,60,761.9716000012122,0
1,-150,735.1774999955669,0
1,90,652.4352999953553,1
1,30,620.9486999982037,0
1,60,587.6548000345938,0
1,-60,606.9683000063524,2
1,-30,941.2618000027724,1
1,-30,513.942799993325,1
1,-60,562.3695999933407,1
1,120,677.5908999810927,2
1,150,571.6109999888577,2
1,150,517.1317000025883,2
1,30,801.4970999760553,1
1,180,969.0341000063345,1
1,-150,1023.2251000092365,0
1,-60,775.5972000272013,1
1,0,530.6065999870189,0
1,0,414.8109999918379,0
1,150,662.5959000051953,2
1,60,1189.6695999861695,1
1,-30,580.0915000112727,1
1,-120,597.3075000187382,1
1,120,661.4333000001498,0
1,120,723.8320999862626,3
1,0,538.4261999828741,3
1,-90,920.6158000128344,5
1,30,462.2775000138208,3
0,90,632.4798999670893,5
0,90,1130.1866000252776,4
1,90,499.31450001569465,3
1,-60,579.9237999566831,3
0,-120,1105.6512999897823,5
1,-120,943.4981999769807,5
1,-60,503.47829999774694,3
1,-30,509.4815000160597,3
1,90,783.262400011532,5
1,-30,697.6276999888942,4
1,90,979.724099972751,5
0,90,786.6885999650694,5
1,90,703.031100038439,5
1,0,474.77670001937076,3
0,-120,1160.298599974718,5
0,-120,938.418900008779,4
0,-120,1109.4775999630801,5
1,-120,1117.7096000141464,3
1,-60,695.7586999600753,3
1,60,600.553099994082,3
1,0,578.7820999943651,3
1,90,539.9884000038728,3
1,150,1057.7616000049748,4
1,180,1072.6761000081897,4
1,150,850.8297000047751,3
0,-90,906.8245000056922,4
1,-90,802.5832999814302,3
1,0,818.5772999972105,4
1,30,603.9308999865316,3
1,-120,778.5677000032738,5
0,-90,956.6901000184007,4
1,-90,737.4515000232495,3
0,120,320.991599987261,4
1,120,610.6866999729536,3
1,-150,1112.021200006362,3
1,180,954.4592999704182,4
1,-90,935.155600015074,5
1,30,427.7732000304386,3
1,150,567.6439999919385,6
1,60,513.2780999960378,7
1,-30,472.0854000155814,7
1,30,495.9117000075057,7
1,-90,503.23379999864846,7
1,150,565.4890999980271,8
1,180,483.33760001370683,6
1,-30,487.0876999888569,7
1,-150,434.77129999920726,6
1,30,471.01340000191703,8
1,90,474.50140001857653,8
1,60,424.35789998527616,6
1,120,506.35559996264055,7
1,180,334.192699982319,6
1,-120,472.50900003965944,8
1,-150,478.8640000009909,6
1,90,493.164099982474,8
1,180,446.065700027626,8
1,150,466.2068000147119,8
1,0,384.8801999669522,6
1,-150,594.7750000017695,7
1,-120,419.5703000263311,6
1,-120,485.00510002160445,7
1,-60,491.8855000254698,8
1,120,497.73769999993965,6
1,120,433.3206000123173,6
1,30,462.3563000317663,7
1,180,376.13280000770465,8
1,60,445.86040003597736,8
1,-150,599.1927999970503,7
1,-90,468.8309000306763,6
1,-30,436.3504000324756,6
