Correct Response,Height,RT,Face
1,2.83,523.3099998990074,1
1,2.83,696.6891000596806,1
1,1,571.3796000313014,0
1,11.31,716.033099972643,0
1,8,578.909199972637,0
1,21.17,602.2516000634059,2
1,5.66,575.8350999644026,2
1,2.83,488.881400026381,0
1,4,483.0198999810964,0
1,11.31,509.75729996245354,0
1,28,581.2131999377161,2
1,8,501.9298999654129,0
1,1.41,515.2163999704644,0
1,16,659.7944000354037,2
1,4,634.2001000270247,0
1,21.17,507.16670002695173,0
1,5.66,538.9892999632284,2
0,28,639.950699926354,1
1,28,500.27629994694144,1
1,1,929.3143000071868,2
1,2.83,565.6473000384867,1
1,16,616.3141000401229,2
1,2,661.7499000243843,2
1,21.17,505.6105999359861,0
1,11.31,515.2231000214815,1
1,8,516.5374999018386,0
1,1.41,671.1294999662787,4
1,28,685.4462000159547,3
1,11.31,693.5265000760555,3
1,8,700.0344000374898,4
1,1,877.2969999667257,3
1,21.17,603.1882999781519,3
1,1.41,900.7324000671506,4
1,1.41,803.8839999902993,3
1,5.66,674.6201000027359,4
1,5.66,772.450799992308,3
1,16,361.1696999836713,5
1,2.83,507.62820004858077,5
1,2,597.4538999693468,5
1,16,574.1319000339136,5
1,1,571.6038999930024,5
1,4,654.7445000000298,5
1,28,652.2104000290856,3
1,2,836.8494000136852,4
1,16,711.6026999978349,4
1,1.41,606.574000030756,4
1,4,668.0811000373214,3
1,11.31,515.6647000079975,5
1,2,558.8922000573948,5
1,28,773.5493999756873,4
1,1,754.3707000408322,3
