Correct Response,Height,RT,Face
1,11.31,536.122200017795,1
1,2,829.5019999463111,2
1,1.41,702.6641000378877,1
1,16,566.6183999823406,0
1,16,661.6598999211565,2
1,21.17,716.1314000226557,0
1,21.17,431.469600004144,0
1,2.83,668.0284999860451,2
1,8,608.5031000515446,1
0,2.83,943.4721998954192,0
0,2.83,1061.1972000300884,0
1,2.83,783.0087999431416,1
0,4,959.1388999801129,0
1,4,732.2700999761,2
1,1,763.3815000848845,1
1,8,893.4789000162855,2
1,28,943.5265000760555,2
0,8,902.4332999801263,1
1,8,860.7527999524027,2
1,5.66,1189.495399998501,1
1,16,587.7339999973774,2
1,5.66,743.1770000224933,2
1,5.66,423.7129999641329,0
1,16,604.4442999958992,1
1,8,602.9316000025719,2
1,5.66,757.6655999841169,2
1,2.83,733.913799919188,1
1,1.41,626.6653000460938,0
1,4,528.0636000065133,0
1,21.17,642.5697000781074,3
1,21.17,1027.1203000415117,3
1,4,555.9161000968888,4
1,8,684.435400002636,4
1,2,700.7278999630362,4
1,11.31,621.9760999632999,3
1,4,639.2748000184074,5
1,1,765.1006000200287,5
1,28,635.8217000346631,3
1,2,860.7868999792263,3
1,11.31,517.1360000353307,4
1,2,930.4076999509707,4
1,2.83,812.7112000333145,3
0,2.83,547.185399973765,3
1,2.83,518.281800028868,4
1,28,710.510499946773,5
1,28,662.4117999421433,4
0,1,545.2180000105873,5
1,1,595.0110999951139,4
1,28,594.5787000786513,5
1,1.41,481.44609998818487,5
0,1.41,547.9895000429824,3
1,1.41,637.6487000929192,3
0,1.41,683.1891000587493,3
1,1.41,677.604700027965,4
1,11.31,448.39039997570217,3
1,1,569.7288000341505,5
1,2,470.4340999564156,4
1,1,720.3289999710396,4
