Correct Response,Height,RT,Face
1,2,352.42110001528636,1
1,28,519.4640000085346,0
1,21.17,431.41980003239587,2
1,2,407.3240999681875,1
1,11.31,381.6623000279069,2
1,2,370.86319998744875,0
1,8,459.59020004048944,1
1,5.66,328.9727999912575,2
1,21.17,418.9022000031546,0
1,11.31,446.52509997505695,0
1,5.66,310.8686000308953,2
0,1,348.4012999655679,1
1,1,564.8895999733359,1
1,5.66,332.1176000139676,0
1,5.66,421.95799998845905,2
1,2,389.3222999726422,1
1,2,311.04429997177795,1
1,1.41,315.17030001524836,1
1,11.31,438.47970000607893,0
1,1.41,379.3960000006482,2
1,5.66,378.51359997550026,2
1,1,361.05379997426644,1
1,8,390.7239999938756,2
1,4,378.1936000417918,0
1,21.17,408.5384999602102,0
0,28,594.843199997209,1
1,28,743.9447999899276,2
1,2,396.56789996335283,1
1,4,371.1713000051677,1
1,16,399.58269998570904,1
1,21.17,509.3902000193484,0
0,1.41,428.3875999939628,1
1,1.41,372.5993999945931,1
1,2.83,422.4577000099234,2
0,4,392.10570003744215,2
1,4,408.416000016965,1
0,2.83,776.9175000106916,4
1,2.83,417.57330001238734,5
1,11.31,293.42629998829216,3
0,16,337.31379999918863,4
1,16,408.3565999721177,4
0,2.83,543.0714999642223,4
1,2.83,494.0546000110917,5
1,2,371.00059998594224,3
1,2,432.28820000914857,4
1,1.41,418.61339995777234,5
0,1.41,423.7612000401132,4
1,1.41,427.3084999844432,4
1,1,493.67429996747524,4
1,1.41,441.76509999344125,4
1,16,339.92759999493137,3
1,5.66,373.2266999981366,4
1,1,348.184300001245,5
1,8,454.5117000201717,3
1,21.17,356.88979999069124,5
1,1.41,350.85350001137704,3
1,1.41,358.4204000039026,4
0,8,331.304699994158,3
1,8,423.22930000629276,4
1,1,328.27120000403374,3
1,1.41,312.6156000038609,5
1,28,379.41980000725016,3
1,4,298.9464999958873,3
1,21.17,334.90449998900294,3
1,2.83,443.1448000217788,4
1,8,416.6432000314817,5
1,8,330.35070000588894,3
0,11.31,434.29230001894757,4
1,11.31,396.6353000109084,5
1,28,390.0006000152789,3
1,8,476.9586000442505,5
0,28,463.8347999975085,4
1,28,370.48410001117736,3
1,11.31,405.31680005043745,5
1,16,596.2854999783449,4
1,2.83,377.41890002181754,6
1,2.83,331.7914999756031,7
1,5.66,303.28819999378175,8
1,16,376.48130004201084,8
1,2.83,408.5178999779746,8
1,1,481.34449997125193,7
0,4,251.6949999812059,7
1,4,374.4141999599524,7
1,28,434.96419995464385,7
1,11.31,324.87629999779165,7
1,16,404.54260003427044,6
1,21.17,431.32090003602207,6
1,2,440.67400000896305,8
1,4,363.0035999780521,7
0,21.17,374.2224999554455,6
0,21.17,342.3699999661185,7
1,21.17,468.39370001945645,8
0,11.31,396.0197999808006,6
1,11.31,519.0115999979898,8
1,16,471.33500000601634,8
1,11.31,423.8108000103384,8
1,28,475.2024000012316,8
1,4,527.794300051406,6
1,2.83,633.5671999808401,7
1,4,625.0093000093475,8
1,21.17,621.1781999995001,6
1,28,469.40980001492426,7
1,1,646.9144000406377,7
1,8,416.17399995122105,8
1,1,485.349900027737,8
0,16,457.0089000011794,6
1,16,523.4371000519022,6
1,8,318.2365000215359,6
1,4,433.12090000510216,7
1,2.83,409.9278000034392,6
0,16,435.7056000120938,8
1,16,463.92070001130924,8
1,5.66,415.46410001721233,8
