Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-120,418.6706999866292,0
1,90,419.4318999911193,1
0,30,411.20319999428466,2
1,30,406.627000015229,2
1,90,400.89699998172,1
1,-60,347.46850002231076,0
0,0,356.1708999881521,2
1,0,350.0961000067182,1
1,-150,400.9004000076093,0
1,90,462.44589998642914,1
1,120,347.3812999986112,2
1,-150,466.5805999797303,1
1,180,358.31049998197705,1
1,60,350.77819999097846,1
1,120,416.8825000200886,1
1,-90,354.6566999834031,1
1,30,331.5845000001136,2
0,120,280.43889999063686,2
1,120,349.8117999956012,2
1,150,394.07979999342933,0
1,180,305.40029998193495,1
1,150,486.8581000159029,2
1,60,302.7578000004869,0
1,180,286.9720999991987,0
1,-30,334.8345000089612,0
1,-30,350.7345999791287,2
1,-60,407.4758999890182,2
0,-120,316.8247000107076,1
1,-120,304.4479999775067,1
1,0,277.7688000027556,1
1,180,342.83500001439825,1
1,90,287.49520002421923,1
1,180,430.6288000047207,0
0,0,439.2534999900963,2
1,0,357.488300007768,0
1,-60,370.34629998053424,0
0,30,394.84950000443496,2
1,30,332.31940000806935,0
1,0,367.11469999537803,2
1,-30,411.1412000169512,2
1,-60,393.3331999836955,0
1,180,345.1101999930106,0
1,150,297.78940000361763,0
1,-90,328.66880000475794,0
1,-90,454.49249999038875,2
1,60,361.72849998949096,2
0,-60,388.4115999939386,4
1,-60,418.3098000034224,4
1,30,450.36350001138635,5
1,120,480.5451999967918,3
1,90,371.74389999965206,5
0,-120,330.36880002729595,3
1,-120,413.08940000855364,5
0,30,463.5991000072099,4
1,30,358.7799000055529,4
1,-150,393.79679999221116,4
1,180,260.1716000030283,3
1,-90,352.05300000635907,4
1,150,394.8877999759279,5
1,-120,391.4991000168957,4
1,90,294.17720000166446,3
0,120,323.2608000074979,4
0,120,370.4914999802131,5
1,120,483.4918000237085,4
1,30,437.5664000075776,4
1,-30,355.998800016474,5
1,-60,312.98740001185797,4
1,150,386.1213000167627,5
1,150,442.430799998343,4
1,120,280.74439998855814,3
0,0,374.59590000472963,4
1,0,393.46879999758676,4
1,60,350.6003000042401,3
1,-150,535.1414000000805,5
1,0,397.6227000206709,3
1,-30,492.9310999836307,5
1,-90,364.25009998166934,5
1,-150,491.84319999441504,3
1,-120,400.558299992932,3
1,-90,416.37979997578077,4
1,150,327.6502000193577,3
1,30,400.99590000719763,4
1,120,435.54529998474754,3
1,90,429.69570000097156,4
1,-150,393.49840001924895,3
0,60,351.22399998037145,5
1,60,293.3045999929309,3
1,-30,477.6735000163317,5
1,-90,370.3010999856051,3
1,60,434.0898999911733,4
1,-150,427.01560002425686,3
1,-120,523.4677999946289,5
1,-30,593.3176000220701,5
