Correct Response,Rotation (deg),Reaction Time (ms),Word
0,-60,414.09249993413687,2
1,-60,381.5261999228969,0
1,120,661.5652000149712,2
1,0,405.7065999917686,1
1,150,470.3903999729082,2
1,30,331.78030006494373,0
1,-120,530.2698000418022,0
1,60,377.3678999245167,0
1,-60,371.19530007150024,0
1,30,449.7196999695152,1
1,180,407.9341000728309,2
1,-150,386.4832000657916,0
1,180,410.75750003475696,0
1,-60,404.7821000535041,0
1,30,406.95010003075004,0
1,30,360.5872999727726,0
1,180,503.145800027065,2
1,-150,509.69229993317276,0
1,-120,489.50760002154857,0
1,-150,465.63689998257905,1
1,150,386.5147000728175,1
1,-90,471.680999904871,0
1,150,326.312999994494,0
1,180,354.6062999488786,0
1,90,573.2301000356674,2
1,0,481.3381999814883,1
1,60,331.66080008633435,0
1,0,394.9032999193296,2
1,90,463.9818999534473,0
1,120,513.9363000020385,2
1,-90,586.6545999273658,1
1,-120,498.3999999789521,0
1,-30,523.4242000700906,1
0,180,518.7015999658033,4
1,180,873.2943001054227,4
1,-90,594.2860000617802,5
1,90,403.70279998425394,3
1,-90,473.74370001163334,4
1,-30,419.87500007636845,5
1,-150,521.3308000788093,3
1,-30,494.64560002926737,5
1,150,634.8370999880135,4
1,0,520.3952000560239,5
1,60,479.471099967137,4
1,150,544.7504000589252,4
1,-150,882.1355000222102,3
1,90,504.9903999865055,3
1,180,590.1312999743968,4
1,120,515.1938000312075,4
1,-120,552.2922999775037,3
1,120,451.54089998360723,3
1,120,573.0820999564603,4
1,0,426.54509999230504,5
1,90,396.75300003401935,3
0,150,624.434799942188,5
1,150,515.7631999431178,3
1,-30,482.8976999819279,3
1,0,527.7283000145108,4
1,-150,469.9537000237033,5
1,60,514.2557999901474,3
1,150,702.3976999884471,4
1,0,469.530199942179,5
1,-30,445.2117999866605,3
1,-60,519.6508000921458,5
1,-60,472.5924999769777,3
1,120,922.815700000152,5
1,-30,386.69270003121346,4
1,30,561.4331000801176,8
1,60,429.1257999688387,6
1,-90,349.4813999244943,7
0,90,528.9728999454528,7
0,90,527.6797999944538,7
1,90,571.2665999857709,7
0,-30,712.5427999384701,7
1,-30,393.5811999803409,6
1,-60,531.9230000572279,6
1,-90,448.384500047192,6
1,180,446.2188999718055,8
1,0,350.29610007442534,7
1,120,467.3091000262648,8
1,-120,509.55910008307546,8
1,-30,424.2807000959292,6
1,-60,397.07420003507286,7
1,30,393.8066999511793,8
1,60,460.77049994748086,6
1,-90,437.0421000607312,8
1,30,415.5080000022426,7
0,120,465.2995999753475,7
1,120,447.03220011107624,8
1,90,800.3526999931782,6
1,90,433.4402999924496,8
1,30,474.85319996159524,8
1,150,483.6567999413237,7
1,-120,587.9809000147507,7
1,-120,526.0260999752209,6
1,60,414.8664000062272,8
1,-90,490.8580000596121,7
1,-150,525.0990999015048,7
1,-150,707.8581000063568,6
1,-120,448.98069993034005,7
1,60,430.5560000324622,7
1,180,360.6647999808192,8
1,-60,400.67639998998493,7
