Correct Response,Rotation (deg),Reaction Time (ms),Word
1,150,678.9091000650078,2
1,60,485.43759999703616,2
1,60,448.62859992682934,0
1,180,452.0873999539763,2
1,-120,683.1952999895439,1
0,120,436.45199999120086,1
1,120,653.5942999729887,0
1,90,455.1404000343755,2
1,0,374.0906999995932,1
1,30,526.413600015454,2
1,-90,532.8508000206202,1
0,150,463.9725999990478,1
1,150,512.0305000422522,2
1,90,392.0135000338778,1
1,60,572.604899931699,1
1,-90,467.3320999685675,2
1,180,692.3451000442728,0
1,-30,339.32470000255853,1
1,0,430.57480005919933,0
1,-90,514.5854999395087,0
1,-90,434.6815000139177,2
1,0,481.9580000443384,1
1,-60,366.8667000569403,0
1,150,347.2371999491006,1
1,0,420.0523999137804,2
0,-150,460.71599999815226,0
1,-150,575.5975000178441,2
1,60,602.5993000334129,0
1,-30,435.5859999163076,0
0,-150,312.71230004169047,2
1,-150,491.8484000340104,0
1,-120,333.02459999360144,1
1,-120,777.8767000967637,2
1,30,520.8197000287473,1
1,-150,423.13289997074753,2
1,-150,383.97450005542487,0
1,-30,527.7144000250846,3
0,-30,513.5971000967547,5
1,-30,366.92980007175356,4
1,-150,551.4575999081135,5
1,-60,485.47909996379167,4
1,-30,491.7555000251159,3
1,120,512.7012000270188,4
1,150,510.9415000155568,4
1,-60,508.90070007555187,4
1,90,462.78799994289875,4
1,120,541.1301000826061,5
1,-60,446.92189996968955,4
1,-150,492.05110006406903,4
1,90,495.32899999432266,3
1,150,571.7008000323549,3
1,30,511.9186000050977,3
1,-120,535.437599927187,4
1,180,423.12320001330227,4
1,0,439.67429996374995,5
1,-30,469.891700017266,4
1,-120,483.8777999943122,4
1,-150,493.86440001800656,5
1,180,607.7643000138924,3
1,-90,396.2790999179706,4
1,60,440.6227000840008,5
1,90,419.71400001458824,5
1,150,582.1174000706524,3
1,-30,465.798799934797,4
1,60,446.11409998871386,4
1,-90,468.09669996984303,5
0,30,441.4814999876544,5
1,30,340.649800080806,5
1,30,371.9817998902872,5
0,180,841.2960999961942,3
1,180,634.1084000272676,4
1,-60,478.0291000464931,7
1,120,488.2127999411896,6
1,60,600.6919000614434,7
0,120,540.8997999588028,7
1,120,610.8622999712825,8
1,90,641.5302999634296,8
1,30,718.0163000561297,7
1,-60,430.0281999716535,7
1,-90,510.5132000138983,8
0,30,673.2680999524891,7
1,30,470.2595000239089,8
1,0,353.51829992979765,7
1,0,351.9844000078738,7
1,-60,763.5081000011414,7
1,-150,427.43509990070015,8
1,180,527.363499914296,8
1,-120,589.680599918589,8
1,120,358.7726000081748,7
1,90,364.01159997005016,7
1,180,365.294799962081,7
1,120,405.6406999556348,7
1,-120,533.2506000380963,7
1,-90,701.6416000518948,6
1,60,545.1696999920532,7
1,-30,710.9755999958143,6
1,0,439.29499998595566,7
1,150,477.3373000174761,6
1,150,492.389899966307,6
1,-60,550.0077000437304,6
1,-120,429.556499988772,7
1,120,453.77940003201365,7
1,90,610.4377999985591,8
1,180,556.7719999784604,8
1,30,459.0008999770507,6
