Correct Response,Rotation (deg),Reaction Time (ms),Word
1,-120,460.1402000375092,1
1,150,479.2026000181213,2
1,-120,732.7178000090644,2
1,150,406.8822999801487,2
1,90,483.73129992652684,1
1,-90,409.14820000436157,1
1,60,491.0616999808699,2
1,150,705.3531000241637,2
1,180,408.5136999459937,1
1,150,496.32039997633547,2
1,60,462.8119000084698,1
1,-60,578.5923000043258,2
1,90,491.323099992238,2
1,-60,477.51940000709146,1
1,180,420.2819000314921,1
1,180,393.4148999946192,0
1,-90,499.2115999888629,0
1,150,374.5155999753624,1
1,30,371.2399000618607,1
1,90,396.38690004032105,2
0,-150,430.58400001283735,0
1,-150,420.19370005838573,1
1,180,474.43710005283356,1
1,120,460.2768000299111,1
1,180,340.349100003019,0
1,30,577.8901000125334,2
1,0,421.064299935475,0
1,-30,439.76029992010444,0
1,-120,595.3355000205338,2
1,150,408.8065999643877,1
1,90,405.750299975276,1
1,150,535.5061999838799,1
1,120,609.6238000867888,2
1,-120,498.19660005997866,3
1,30,434.00700000021607,5
1,0,507.028800024651,3
1,-120,409.59620003961027,4
1,60,690.7885999502614,4
1,120,680.6389999659732,4
1,180,571.4182999767363,5
1,-150,373.8823999268934,3
1,-30,463.58259993977845,3
1,-30,479.73449999373406,5
1,30,535.6103000780568,4
1,0,408.4207999370992,3
1,0,534.9148000208661,5
1,30,515.8571999603882,3
1,-150,492.157300057821,5
1,90,407.6425999486819,4
1,30,454.24859999585897,4
1,-60,446.76210003346205,5
1,-90,471.25950007140636,5
1,60,410.36499995645136,4
1,120,514.8397000124678,5
1,-90,499.1222000066191,4
1,180,453.0109000010416,4
1,60,393.99820001237094,4
1,-150,411.3112999442965,4
1,-150,579.8368999352679,5
1,-90,638.9041999904439,3
1,-120,447.1949999537319,5
1,-120,529.3515000343323,5
1,-30,503.1074000839144,4
1,60,503.7101000165567,4
1,-30,520.0913999546319,5
1,180,400.97060001827776,7
1,-150,438.318400000222,8
1,120,514.6972999759018,8
1,90,385.86960005015135,7
1,-90,484.7918999698013,7
1,30,475.50410002842546,7
1,-120,501.6989999534562,8
1,60,421.074100010097,7
1,-30,450.1522000031546,8
1,120,646.4938000394031,8
1,-60,376.79479998443276,7
1,0,504.3820000104606,8
1,90,510.9942999519408,8
1,-150,747.4045999664813,6
1,-60,464.0870000552386,6
1,90,482.8234999990091,8
1,0,498.7428999124095,7
0,60,542.2622999725863,7
1,60,517.5423001023009,8
1,-150,488.42229990661144,6
1,120,480.08800000790507,6
1,-60,422.0544000240043,7
1,0,526.9130999771878,8
1,-60,423.6910000294447,7
1,-90,535.3904000334442,8
1,120,415.70579999499023,6
1,-90,515.6810000156984,8
1,150,488.98390010837466,7
1,-30,384.8442000420764,6
1,0,348.56000000983477,7
1,-60,467.461200020276,6
1,30,452.70200009364635,6
1,-30,404.2427999051288,7
