Correct Response,Height,RT,Word
1,1.0,381.4262999771163,0
1,5.655,394.4857999999076,2
1,1.415,383.01399995945394,0
1,2.0,469.60200002323836,0
1,2.83,364.40069990605116,2
1,1.415,365.6743000578135,0
1,5.655,435.95270003098994,1
1,2.83,487.18659992702305,1
1,2.0,398.2601999854669,2
1,14.0,459.1829999666661,2
1,0.5,452.2112999660894,2
1,4.0,504.7806000187993,0
0,8.0,746.0442000851035,1
1,8.0,904.2100000046194,0
1,8.0,472.9679000414908,1
1,0.705,433.92609996628016,2
1,5.655,574.8874000823125,1
1,0.705,423.887400011532,2
1,1.0,624.3495999919251,0
1,8.0,650.3462000368163,1
1,2.0,534.2161000557244,0
1,0.5,356.415200102143,2
0,0.3525,456.3612999012694,0
1,0.3525,524.3100999472663,2
1,4.0,449.2921999739483,0
1,0.7075,420.57129990682006,0
1,2.0,484.70399999897927,2
1,4.0,588.0355999656022,0
1,5.2925,357.0228000720963,1
1,0.7075,348.1862999582663,2
1,1.415,396.6085999822244,1
1,0.25,819.4275999525562,1
1,1.0,484.5761999571696,0
1,5.2925,441.15519994776696,1
1,5.2925,441.20699999295175,1
1,1.0,402.5363000659272,1
1,0.25,558.97479998786,0
1,0.7075,435.8656000662595,2
1,0.25,370.96399994008243,2
1,4.0,347.96070010308176,2
0,0.3525,460.18160000350326,1
0,0.3525,444.0706000281498,1
1,0.3525,424.66339998319745,2
1,0.5,489.6837000818923,1
1,2.0,467.0809000348672,0
1,1.415,502.77049996331334,0
1,0.7075,403.1723000193015,2
1,0.5,613.635000012815,0
1,0.25,456.09899999946356,1
1,2.0,502.87659995630383,3
1,7.0,604.2623000070453,3
1,7.0,523.7082000207156,4
1,1.0,566.0563000096008,3
1,1.0,503.6813000300899,4
1,1.415,569.4584999550134,4
1,4.0,588.6126000517979,3
1,2.8275,492.0126000037417,4
1,0.7075,388.09590000566095,5
1,5.2925,465.6038999641314,3
1,2.8275,465.4539999868721,3
1,2.8275,397.8824999034405,5
1,0.3525,539.3994999434799,4
1,2.0,414.57189997565,3
0,1.415,461.09349996224046,4
1,1.415,383.6841000560671,4
1,2.8275,656.3507000068203,5
1,1.0,376.6304000131786,5
0,0.5,627.8389999028295,3
0,0.5,501.67829991225153,3
1,0.5,490.25400000065565,3
1,0.3525,538.9166999924928,3
1,7.0,748.86280001048,4
0,5.2925,480.0956000657752,4
1,5.2925,385.9618000537157,5
1,2.8275,665.8346000444144,3
1,7.0,547.6313999937847,3
1,2.0,478.2685000067577,5
1,0.5,493.4424999486655,4
