Correct Response,Height,RT,Word
1,2.83,556.4152000046452,1
1,8,559.901700002607,2
1,2.83,461.10759999684524,2
1,1.41,913.4459000019124,1
1,21.17,329.1151999987196,0
1,2.83,563.303200000897,2
1,2.83,450.9367000031634,0
1,4,388.48920000274666,0
1,4,324.09189999854425,0
1,2,529.1926000030944,2
1,11.31,572.9689999974798,2
1,11.31,637.6296999991755,1
1,16,490.3404000037117,0
1,11.31,381.2847999983351,0
1,5.66,445.46220000158064,2
1,5.66,378.58830000588205,2
1,2,351.35439999832306,0
1,2.83,530.943599999242,2
1,16,606.5223000008846,1
1,11.31,552.4429999972344,1
1,5.66,610.5296999998391,2
1,2,643.9815000016242,2
1,28,500.1669000015827,2
1,21.17,430.1488000022946,0
1,1,459.1493999945815,0
1,5.66,349.93810000416124,0
0,4,574.3561999956146,1
1,4,391.3350999977556,0
1,4,391.8176999981515,0
1,1,421.60959999857005,0
1,16,403.0122999942396,2
1,1,590.1198000032455,2
0,28,737.9545999978436,1
1,28,618.7272999999695,1
1,28,440.36060000181897,3
1,11.31,605.7104000032414,5
1,28,511.30679999588756,3
1,8,360.3879999977071,3
1,2.83,764.4037999965949,4
1,21.17,668.9828999991878,4
1,28,627.9014000069001,5
1,5.66,462.2257000050158,3
1,1,641.7850000038161,4
1,2.83,837.6751999934786,5
1,4,304.074999996752,3
1,1.41,856.9917000026326,5
0,2,599.7891999981366,5
1,2,522.7234999951324,5
1,21.17,482.20570000231965,4
1,16,533.593600001419,3
1,1.41,600.3281999987084,5
1,8,559.3030999993207,5
1,2,780.1671999954269,4
1,2.83,731.9495000014431,4
1,11.31,347.64279999618884,3
1,16,345.2502999975113,3
0,8,874.161399999517,5
1,8,533.4131000021589,3
1,28,430.7981999994954,3
1,1.41,789.1332000039401,4
1,1,510.63960000139195,4
1,5.66,563.9376000002958,5
1,4,540.904099998821,3
1,1.41,515.6069999979227,3
1,21.17,725.0182999963872,5
1,8,528.6858999938122,3
1,1,483.6026000015554,3
1,28,641.7265000022016,5
0,2,552.0082999977749,6
1,2,1094.1760000027134,7
1,1.41,337.57179999921937,6
1,1.41,415.1641000029631,6
1,21.17,652.6437000033329,7
0,11.31,929.7743000028422,6
1,11.31,445.6930000054999,8
0,16,666.5225000000792,7
0,16,535.0094999998109,6
1,16,1019.911200001312,6
0,1.41,-109.0,6
0,1.41,-109.0,7
1,1.41,717.856300001964,7
1,16,436.5768000028911,8
1,28,421.77589999884367,8
1,8,358.73890000622487,8
1,16,619.7706999995862,6
1,4,762.5157999977237,7
0,11.31,748.3164000044926,7
1,11.31,469.019000000495,6
1,5.66,493.7567999990424,8
0,1,729.143000000855,7
1,1,728.3257000057492,8
1,1.41,662.5844999984256,8
1,8,507.95899999904213,8
1,2.83,393.90079999831505,8
0,5.66,635.124600001669,6
1,5.66,828.4322999938158,6
1,4,895.3960999973933,8
0,1,706.8142999964184,6
1,1,591.3146000060951,8
0,21.17,402.12299999658717,8
1,21.17,648.2586000023875,8
1,2,1016.4188000020804,7
1,11.31,549.9124000020092,7
0,8,703.8293999980087,6
1,8,510.4175999989966,8
1,21.17,595.2213999957312,8
1,2,633.512999997416,7
0,1,-109.0,7
1,1,705.9065999969025,6
1,28,828.4552000008407,6
1,2,737.331700005976,7
1,5.66,774.5105999969528,7
1,8,709.8733999995748,7
