Correct Response,Rotation (deg),Reaction Time (ms),Word
1,-120,1005.9266000138596,0
0,150,707.5682000108063,0
1,150,581.3813000535592,2
1,180,648.6561999740079,0
1,60,655.2606000881642,0
0,90,680.8620999185368,2
1,90,662.8810000224039,2
1,60,868.7499999618158,2
1,60,718.6851000264287,0
1,-120,702.966700013727,1
1,90,667.9493999658152,1
0,60,530.1922000329942,0
1,60,665.145600036718,1
1,-90,505.6174999885261,0
1,-30,684.6745999613777,0
0,90,809.1747999973595,1
1,90,834.5113000217825,1
1,120,555.8405999876559,0
1,-60,628.2658000094816,2
1,120,532.587599995546,0
0,0,789.110399954021,1
0,0,830.3083000322804,1
0,0,848.642300054431,1
1,0,580.1538000199944,0
1,-150,667.6366000287235,2
0,-90,1010.6426000678912,0
0,-90,765.847500002943,1
1,-90,712.0786000126973,1
0,30,909.0472999345511,1
1,30,635.3301000166684,0
0,120,607.1595999496058,1
1,120,696.3446999983862,1
1,30,582.8473000405356,0
1,30,658.8296999074519,0
1,-60,617.9849000731483,0
1,180,709.5425000265241,2
1,-150,495.90790009498596,0
1,150,508.26810003165156,0
1,-30,704.405100023374,2
0,150,527.8430000729859,1
1,150,526.8987999847159,0
1,-120,891.0763999996707,2
1,30,617.3857000507414,0
0,-60,654.1655000150204,1
1,-60,562.3789999485016,0
0,60,743.529100026004,3
1,60,758.9111000383273,3
1,-150,511.14609994366765,4
1,30,462.5663000009954,4
1,180,533.0627000043169,5
1,-60,590.1528000216931,4
1,-120,523.5138000538573,4
1,60,544.6551000317559,3
0,90,627.8666999973357,5
1,90,566.9422000031918,4
1,90,789.6719999229535,4
1,-90,556.4290000442415,3
1,90,537.6231000376865,4
1,-30,568.6919999392703,5
1,150,657.2925999611616,3
0,120,672.7242000019178,3
1,120,448.1544000413269,4
1,-30,583.5741001032293,5
1,-90,1049.4575000451878,5
1,-120,912.6443999670446,5
1,120,586.4687000252306,5
1,-120,572.626700097695,5
1,-90,611.0901999603957,4
1,30,509.33999992813915,5
1,0,466.69169998168945,5
0,-30,-109.0,3
1,-30,444.7647999590263,4
1,180,567.4192000264302,4
1,0,501.65719998441637,4
1,-150,570.1234000120312,3
1,-30,571.4437999380752,5
1,-120,483.76440006215125,5
0,-60,543.8081999858841,4
1,-60,718.2810000926256,4
1,-150,461.1633000280708,5
1,30,636.7897999556735,5
1,120,644.432699944824,3
1,-150,266.57919998653233,7
1,180,471.8080000570044,7
1,150,499.44590002670884,6
1,0,532.577799920924,8
1,0,432.89019999466836,8
0,0,675.6885999897495,6
0,0,517.5737999929115,6
1,0,658.284500063397,6
1,150,636.1004000613466,8
1,-120,651.8200000831857,7
0,-150,706.9748000325635,7
0,-150,612.4243999915197,6
1,-150,585.8603999335319,7
1,60,446.69890001788735,7
1,-90,624.2807000493631,7
1,120,473.4159999610856,7
1,-150,588.6967999944463,8
0,-60,624.7383000412956,6
1,-60,535.9932000832632,7
1,0,543.2018000250682,8
1,30,895.3526999652386,6
0,120,648.9310999717563,6
1,120,576.4065000079572,8
1,180,635.6606999728829,8
1,0,871.7693000184372,6
1,-30,555.9599999655038,7
1,180,586.6846999237314,8
1,150,921.032700044103,6
1,-60,607.0228000720963,7
1,90,606.2914999751374,7
0,-60,806.6197999836877,6
0,-60,621.4490000242367,6
0,-60,773.7459999592975,6
0,-60,658.4404999706894,6
0,-60,727.4172999281436,6
1,-60,404.47100001294166,6
1,-30,585.6607000427321,7
0,90,828.1736000757664,7
1,90,711.4423999413848,7
1,150,533.378699965775,7
1,180,611.5123000312597,8
1,60,739.4476000303403,6
0,-90,603.1314000105485,6
1,-90,516.5246000364423,6
1,-90,334.18109995219857,6
