Correct Response,Height,RT,Word
0,28,786.4573000082746,2
0,28,-109.0,1
0,28,756.8601000206545,0
1,28,645.0054999990389,0
1,4,366.259100086987,1
1,11.31,480.48700001928955,0
1,1.41,441.3507999237627,2
1,16,547.5582000184804,2
1,1,498.7646999619901,2
1,8,478.70409994758666,0
1,4,441.11329997796565,1
0,4,430.69539992976934,1
1,4,327.0338000115007,0
0,28,776.9929000027478,0
0,28,-109.0,1
1,28,1042.20000008028,2
1,21.17,653.0189000153914,0
1,5.66,572.8192999344319,0
0,11.31,668.4941999232396,1
1,11.31,518.566899987869,2
1,16,521.338899907656,0
1,28,851.279899998568,1
1,11.31,478.8228999208659,1
1,2,416.5537999328226,2
1,16,469.81460001226515,2
1,8,341.25500003248453,2
1,16,467.28040004055947,1
1,5.66,538.6816000649706,1
1,8,334.2427999563515,2
1,8,577.7459999630228,1
0,21.17,587.7373000225052,0
1,21.17,536.699999993667,0
1,1,541.4327999427915,0
1,1,522.3814000459388,1
1,2,430.8323000408709,2
1,2.83,473.71990006323904,1
1,11.31,499.6390999844298,1
1,28,606.0596999563277,2
0,21.17,483.42719993926585,2
1,21.17,829.8198999222368,0
1,11.31,702.5651999833062,0
1,8,433.90389991365373,3
1,21.17,544.1379000516608,3
1,21.17,651.9503000276163,5
1,1.41,458.27409991435707,4
1,2,292.4602000825107,4
1,28,556.792900021188,5
0,16,464.4248999506235,4
1,16,460.39479999709874,4
1,2.83,541.1738999504596,3
1,11.31,834.2146999752149,4
1,2,504.3899000706151,5
1,2,303.72469994146377,5
0,1.41,580.4740998977795,4
1,1.41,484.25109992641956,3
1,1,365.570200080052,4
1,4,353.15969999320805,5
1,11.31,308.1026999829337,5
1,2.83,226.4081999277696,5
1,1.41,469.4709999570623,3
1,28,913.4010000238195,4
1,2.83,489.5207000048831,4
1,1.41,727.9815000332892,5
0,28,648.3929000645876,4
0,28,752.168000032194,5
0,28,618.3719999939203,4
0,28,882.7406000895426,4
1,28,637.5082999551669,4
1,5.66,664.5376000637189,5
1,2,482.5442999685183,5
1,2.83,593.5471999077126,3
1,11.31,525.4709999393672,3
0,28,802.5912999259308,3
0,28,722.711900071241,3
1,28,592.3544000219554,5
1,2,507.27899995073676,5
1,21.17,501.4545999551192,3
1,4,297.95239999331534,4
1,8,606.7097000163049,4
1,21.17,433.1903000678867,4
1,5.66,265.7123000212014,4
1,5.66,544.7795999320224,8
1,2,567.588200032711,6
1,1.41,546.4717000108212,6
1,1,510.6044000098482,6
1,8,475.23779997974634,8
1,1.41,552.7965999757871,7
1,16,562.1347999516875,6
1,2.83,578.6713000237942,6
1,8,468.8998000314459,8
1,1,547.9428000366315,6
1,2.83,456.81390008796006,7
1,21.17,433.90210001636297,7
1,4,356.5388999963179,7
1,28,394.25639999937266,7
1,1.41,483.0527999987826,8
0,4,465.54619999043643,8
1,4,563.6129000307992,8
1,1.41,678.8296999260783,6
1,1,612.4590000221506,6
1,4,490.68230000231415,8
1,2.83,484.8766000326723,7
1,8,423.7304999809712,7
0,5.66,415.02240002993494,6
1,5.66,341.89129998814315,8
1,21.17,962.0141999879852,6
1,16,506.2063000481576,7
0,5.66,609.8169000437483,6
1,5.66,454.32419998943806,7
1,11.31,352.41750004608184,7
1,16,311.9234999725595,7
1,1,744.2838000683114,6
1,5.66,602.652799975127,8
0,4,582.8839999707416,7
1,4,522.8438000744209,8
1,2.83,522.0671999817714,6
0,2,451.0669999839738,7
1,2,495.80869992170483,7
