Correct Response,Height,RT,Word
1,2.83,941.9544999804348,0
1,8,671.0295000197366,2
1,1.41,559.711300007999,0
1,16,859.728500069119,1
1,1,674.7695999769494,1
1,21.17,760.3434000015259,0
1,11.31,624.6307999212295,0
1,8,642.0608999291435,0
1,1,558.0974999433383,2
1,11.31,626.9469000948593,0
1,4,649.398300036788,0
1,21.17,711.8197000203654,0
1,2,482.75210003741086,0
1,8,513.4577999673784,0
1,11.31,752.754999961704,1
1,2.83,941.8494999958202,2
1,11.31,600.8439000546932,0
1,2.83,621.7239000219852,0
1,21.17,666.6179999560118,0
1,2,661.4105000011623,2
1,1,710.9679999379441,2
1,28,806.6238000141457,0
1,1,665.5647999690846,2
1,21.17,847.557400058955,0
1,4,600.9479000316933,0
1,16,587.0051000351086,1
1,11.31,909.9842000836506,2
0,16,962.1706000147387,2
1,16,690.8767999233678,0
1,1.41,654.1115999538451,1
1,4,604.9290999621153,2
1,21.17,788.5125000579283,1
1,1,722.2490000389516,2
1,4,474.8027000427246,5
1,5.66,706.9128000261262,4
1,2.83,722.2491999240592,4
1,11.31,752.7148000048473,3
0,28,588.634799988009,5
1,28,645.3781000422314,4
1,16,559.8082000473514,5
1,21.17,683.2233000863343,4
0,1,577.7448000703007,4
1,1,852.4655999466777,3
1,2.83,509.86749998666346,4
0,2,890.5349000673741,5
1,2,503.4129999661818,5
1,5.66,738.0296999439597,3
1,4,570.7921999823302,3
1,8,753.4325999990106,5
1,28,775.1019999235868,4
1,8,681.4309000587091,5
1,4,623.0098999189213,4
1,16,786.6318000564352,3
1,2,521.6240999838337,5
0,2.83,626.7440999476239,5
1,2.83,392.68139999732375,5
0,5.66,746.7741000549868,3
1,5.66,504.47660003229976,4
1,1.41,725.6335999667645,3
1,5.66,543.6146000251174,5
0,1.41,897.5996999619529,5
1,1.41,955.5343000069261,3
1,2.83,521.5928999790922,4
1,5.66,444.57220000587404,5
1,28,706.4281999450177,5
1,5.66,583.3788000131026,5
0,2,563.430400038138,3
1,2,629.8220999855548,4
1,1.41,987.999799949117,3
1,4,509.50179999601096,5
1,5.66,617.4966999646276,5
1,11.31,534.433399964124,5
0,28,636.7120000617579,8
1,28,592.3895999407396,6
1,4,603.646400090307,6
1,28,709.9338000956923,8
1,2,691.065700081177,8
1,1.41,676.5928000062704,6
1,1.41,642.0826999787241,6
1,1,542.5157999237999,8
1,16,646.8136000297964,8
1,16,827.3471999531612,8
0,21.17,952.4154998911545,7
1,21.17,691.2160999458283,7
1,2.83,512.9486999325454,6
1,2,573.1283999597654,6
1,8,913.6191999390721,8
1,8,666.7758999941871,8
1,16,537.6580999549478,8
1,8,547.3343999441713,7
1,1,554.26649999246,8
1,28,500.96139992494136,6
1,11.31,578.129900092259,8
1,28,527.7201999528334,6
1,4,522.9535000948235,8
1,2,606.5079999938607,8
0,28,794.1601999886334,7
1,28,509.07039997074753,7
1,21.17,520.8746999818832,6
1,21.17,576.4961999924853,7
1,2,494.78239990677685,8
0,2.83,584.8152000075206,6
1,2.83,552.1995999701321,8
1,11.31,547.1263999901712,8
1,1.41,563.8288999293,6
1,8,573.1034000022337,8
1,16,787.547699929215,8
1,5.66,492.30300000309944,7
