Correct Response,Rotation (deg),Reaction Time (ms),Word
1,90,554.6716000502929,0
1,30,803.353300023824,1
1,150,742.2799999443814,2
1,90,726.1934000384063,2
0,-30,-109.0,1
1,-30,621.8238999685273,2
1,0,592.9496000139043,0
0,-90,933.8073999937624,1
1,-90,697.1021000612527,2
1,-90,806.5197000363842,0
1,120,645.9192000878975,0
1,-30,573.7436999883503,0
1,0,521.807499983348,0
1,-30,588.8274000575766,2
1,-90,627.0064999666065,2
1,0,566.9634000482038,0
1,-150,684.13440003898,0
0,-120,715.5034000137821,1
1,-120,677.3421000074595,2
1,60,961.180100039579,1
0,30,533.5692000193521,1
1,30,729.3737999247387,2
1,60,604.9971000142395,2
1,180,829.1689999718219,0
1,180,807.1589000141248,0
1,-120,643.3048999719322,0
1,30,488.2595000639558,0
0,120,987.5093999402598,1
1,120,620.8976000165567,0
1,150,582.7392000323161,0
1,150,535.854599959217,0
1,-30,848.8405999345705,1
1,0,567.6330999089405,1
1,180,768.722300007008,2
1,-150,598.9091999912634,0
1,180,634.4302000328898,0
1,-60,550.4537999480963,0
1,90,614.9750999724492,3
1,-90,656.4115000041202,4
1,150,916.3978000255302,5
1,60,821.7646000524983,5
1,60,503.1463000308722,5
1,0,547.2832000199705,4
1,-60,787.1685999529436,5
1,0,401.74279996100813,4
0,-150,550.1599000385031,4
0,-150,697.8570999894291,5
1,-150,829.1480000447482,4
1,180,704.9893999323249,3
1,-120,1071.9930999297649,5
1,-60,713.7220999542624,5
1,-30,565.0610999986529,3
1,30,506.50409998744726,3
1,30,680.6809000521898,5
1,-120,683.0559999765828,4
0,-60,602.2579999957234,4
1,-60,762.3422999717295,5
1,60,622.0739000095055,5
1,30,630.5523999584839,3
1,-30,550.8992000799626,4
1,-60,597.19189995341,4
1,150,747.9894999964163,5
1,-120,576.826399945654,3
1,90,694.1016000313684,3
1,180,531.1912999572232,3
1,150,695.5512000098825,5
1,90,640.4159999769181,4
1,90,540.2530000396073,3
1,-30,683.010199977085,4
1,-90,684.8120999606326,3
0,-150,474.7573000462726,4
0,-150,619.1226000050083,5
1,-150,823.7214999357238,4
1,90,730.3710000673309,4
1,-60,805.868599968031,8
1,-120,677.2975000170991,6
0,150,780.227999956347,6
1,150,915.6974000474438,7
1,180,681.7033000374213,6
1,-90,649.0563999945298,6
1,120,700.7697999328375,6
0,60,977.5322999889031,6
1,60,771.8899000287056,6
1,-90,735.9990999652073,8
0,150,650.4213000265881,7
0,150,538.7431000676006,6
1,150,447.1376999830827,6
1,-120,576.727100004442,6
1,-150,494.92309993039817,6
0,-60,1083.9615000262856,7
1,-60,350.6993000013754,6
0,0,797.9200000958517,6
0,0,908.6028999267146,7
1,0,1082.1075999960303,7
1,30,676.8534000115469,7
1,60,649.129799971357,7
1,180,632.6862000245601,7
1,-30,480.442600030452,7
0,-60,626.1092000026256,6
1,-60,657.3991999579594,6
1,-150,677.0072000185028,6
1,-120,723.383600063622,8
1,90,947.0438999673352,6
1,-150,594.2427000813186,8
1,0,667.8184000160545,7
1,120,818.9408999718726,7
1,60,685.889000011608,8
0,120,950.4197000609711,7
1,120,493.8537000529468,7
1,120,531.1062000077218,8
1,-90,582.4948000339791,8
1,30,584.2968000182882,8
1,120,675.4075999455526,6
1,-150,845.4830999802798,7
1,120,520.1143000125885,8
