Correct Response,Rotation (deg),Reaction Time (ms),Word
1,-150,476.00600000843406,1
1,90,512.1753999814391,0
1,-120,616.0343000050634,0
1,180,421.94339999370277,0
1,30,451.2534000063315,1
1,180,484.490400002338,0
1,-120,554.1635000230744,1
1,-30,501.7781999744475,2
1,0,420.6455000061542,0
1,150,635.3024000385776,2
1,30,594.5859000170603,1
1,150,879.3769999723881,1
1,-90,749.946799999103,2
1,-30,413.1999000059441,2
1,-150,514.1684000231326,0
1,90,590.7354999184608,1
1,-30,454.7042000889778,1
1,-120,569.6217000335455,0
1,180,598.732499926351,1
1,-90,504.18779992870986,0
1,90,534.0215000873432,2
0,30,459.7283000443131,1
1,30,440.94639998767525,0
1,-30,444.05490002501756,0
1,-90,505.541899994947,0
1,-60,439.06469997856766,0
1,180,551.4396000038832,2
1,-150,475.46709997951984,0
0,0,477.3033999921754,1
1,0,532.231199959293,2
1,30,480.87649995833635,0
1,-60,534.3707000687718,2
1,180,464.8340000389144,0
1,30,471.9809999773279,2
1,30,494.5828999010846,3
1,-60,430.23420002683997,3
1,-120,494.37010002695024,3
1,-120,659.9756999025121,5
1,90,778.807699968107,4
1,-30,392.97840004693717,4
1,150,641.0324000138789,4
1,120,465.848199961707,3
1,120,674.0941999563947,3
1,-150,489.48059993237257,3
1,-60,395.4686000328511,3
1,-90,623.3716999962926,5
1,90,709.8357000472024,5
1,-30,462.42880000174046,5
1,150,533.4921000143513,4
1,120,681.893999976106,5
1,60,906.9676000475883,4
1,90,366.38829990662634,4
1,0,487.54699999373406,3
1,0,499.9625000022352,5
1,30,570.8042999580503,4
1,150,779.9807999366894,5
1,0,535.2546000471339,5
1,-60,536.4532999778166,4
1,-90,551.851199994795,5
1,0,465.3493000045419,4
1,-150,708.6017999649048,5
1,120,762.138000045903,5
1,-150,339.73840000946075,4
1,-120,551.8276999322698,3
1,-90,969.8151000160724,5
1,90,498.6761999865994,3
1,60,506.0937000056729,8
1,150,503.1858999831602,6
1,60,447.9494999945164,6
1,0,450.04620001092553,7
1,60,511.82969991024584,6
1,-90,530.2562000546604,7
1,60,561.6121999304742,7
1,90,533.3030999721959,6
1,-60,460.09680005628616,8
1,-30,502.741500091739,7
1,-150,406.30430000275373,7
1,180,541.1593999564648,6
1,60,460.97229997068644,8
1,-120,376.6168999103829,6
1,30,451.2820999920368,8
1,-60,428.9241000628099,7
1,-60,445.9317999975756,6
1,120,343.9605000279844,8
1,60,478.14890002738684,6
1,-30,301.3687000460923,7
1,120,524.4957000799477,6
1,-120,432.90070007462054,8
1,60,428.47529990505427,8
1,180,384.9622998936102,8
1,150,463.1403999486938,6
1,120,375.09219994209707,8
1,0,374.68559998925775,8
1,150,428.32059989124537,8
1,-90,367.74329997971654,8
1,-150,362.88830003142357,7
1,120,388.3603000398725,8
1,180,353.956800009124,8
