Correct Response,Height,RT,Word
1,2.83,503.78630001470447,2
1,5.66,524.8477001991123,2
1,8,523.4593001045287,0
1,21.17,490.5789999142289,1
1,1,443.73679993115366,1
1,21.17,436.2511999756098,0
1,5.66,489.1063998769969,0
1,21.17,756.0994000490755,1
0,2,744.7279998417944,0
1,2,555.5430000498891,2
1,16,641.1773999538273,1
1,1.41,436.10330012999475,2
1,1.41,515.3691998533905,2
0,11.31,516.4308999050409,1
1,11.31,450.2402000911534,0
1,28,581.0319000706077,0
1,5.66,571.5582998786122,0
1,8,488.968100104481,1
1,11.31,339.27329996041954,2
1,8,480.77409987710416,2
1,21.17,670.9931999761611,1
1,16,499.56750002130866,0
1,11.31,892.6073998995125,1
1,16,490.25090009346604,0
1,4,426.4247000068426,2
1,1.41,561.123599935323,0
1,1,587.4310000184923,0
1,4,512.7944000381976,2
1,28,636.4560999758542,1
1,8,447.6891001071781,0
1,5.66,599.9309000875801,1
1,16,381.8694000914693,2
1,2,464.65690008737147,2
1,8,507.4323999546468,2
1,1.41,660.2913999781013,3
1,21.17,460.94140008464456,3
1,5.66,479.8770001474768,5
1,8,486.6908999942243,3
1,1,649.4937000647187,5
1,16,535.1709999926388,4
1,2.83,408.8185000550002,3
0,4,622.4828999806195,5
1,4,468.44000013917685,4
1,21.17,552.1663999501616,5
1,2,689.8116000778973,3
1,11.31,554.3752998895943,3
1,2.83,476.07609996013343,5
1,28,450.2622000258416,3
1,2,463.0252001192421,3
1,4,573.319600135088,4
0,1,633.7616000641137,4
1,1,653.6743000000715,4
1,28,484.9350000116974,4
1,2.83,442.32030020467937,4
1,28,647.3359998166561,5
1,2.83,525.6014000009745,4
1,4,410.94109991937876,3
0,1,713.9724001139402,5
1,1,414.24899984523654,3
1,4,676.2662999648601,4
0,1.41,586.5992998555303,5
1,1.41,722.6548999864608,4
1,28,584.8432001043111,5
1,11.31,720.3254000600427,5
1,5.66,463.7973999455571,4
1,2,401.26270003058016,3
0,4,455.3925000913441,3
1,4,940.3991998955607,5
1,5.66,622.2085998710245,4
1,1,578.2555001173168,4
1,2.83,438.17919998802245,3
1,2,456.72100007906556,7
1,1,486.74729995802045,7
1,1,460.9134999886155,7
0,28,436.98759999498725,8
1,28,552.8147001136094,6
1,21.17,402.216799961403,6
1,21.17,631.5910999514163,7
1,2,515.5663000736386,8
1,2.83,569.5085001029074,7
0,2,461.5080002080649,8
1,2,557.8013001326472,7
1,5.66,423.5698000378907,6
1,2.83,435.2823001649231,6
1,11.31,620.1830000467598,8
1,28,435.96969981119037,8
1,1.41,613.028800053522,8
1,28,454.9536001253873,6
1,1.41,560.2821001634002,8
1,16,463.7111999876797,6
1,2.83,435.03670015744865,6
1,11.31,521.0109999720007,8
1,1.41,506.3488999698311,7
1,16,477.1939999740571,6
1,2,366.69620003923774,6
1,4,553.1360999997705,7
1,11.31,501.759099945426,8
1,1.41,511.91910000890493,7
1,8,438.0654000528157,6
1,21.17,551.6934000737965,8
1,5.66,535.041599938646,7
1,8,556.7145998906344,7
1,16,584.733099848032,6
1,11.31,499.57210005633533,6
1,8,525.3871999997646,8
