Correct Response,Height,RT,Word
1,5.66,602.5845000080299,0
1,11.31,686.0085999909788,1
1,28,712.0429000027943,1
1,4,342.55299999169074,2
1,28,469.41970000299625,2
1,8,681.9979000105523,2
1,8,716.599300005706,1
0,1,409.02250000764616,2
1,1,690.1363000182901,1
1,28,591.048800004879,0
1,21.17,448.0165000099223,0
1,2,284.7588999979198,2
1,5.66,300.94290000526235,0
1,4,511.5294999817852,0
0,11.31,418.57830001064576,2
1,11.31,776.2855999721214,1
1,11.31,290.5299000234809,1
1,1,570.0658000099938,1
1,16,399.68079997599125,1
0,1.41,806.2604000119027,0
1,1.41,332.45709997974336,0
1,4,440.5541999989655,0
1,21.17,613.95630001463,2
1,21.17,544.2176999899093,0
1,16,564.2923999952618,0
1,11.31,643.0314000139479,2
1,2.83,647.2491999997292,1
1,5.66,536.8926000050269,2
1,5.66,446.27530002291314,0
1,8,370.68849999597296,0
1,4,396.0355999846943,0
0,11.31,522.8437999871094,1
1,11.31,461.39500001701526,0
1,1,783.8678999945987,2
1,1.41,350.33439998771064,1
1,8,441.4803000076208,0
1,2.83,545.2797999863978,4
1,2.83,702.0685000137892,4
1,5.66,479.80920000956394,5
0,21.17,481.45030002016574,5
1,21.17,457.28400000045076,5
1,16,324.16349998349324,5
1,2.83,444.8245999778155,5
1,2.83,341.7787000038661,4
1,8,478.13950001401827,5
1,1.41,511.04709997563623,5
1,8,356.0678999896627,3
1,5.66,305.06699997605756,4
1,28,387.7587999999523,3
1,2,577.3250999886077,3
1,1.41,453.0591000188142,4
1,28,353.0432000083383,5
1,2,571.558199994266,4
1,8,458.03760000527836,3
1,5.66,522.3245000201277,4
1,2.83,479.4420000074897,3
1,28,455.33710001874715,4
1,4,409.48830000380985,5
1,16,415.2683999822475,5
1,16,458.6281000196468,5
1,16,429.02199999336153,5
1,4,479.9004000055138,3
1,2.83,346.686200002674,3
1,11.31,470.6693000011146,4
1,4,484.48490001866594,4
1,16,589.5802999988664,4
1,1.41,328.6546999847051,3
1,1,593.02729999437,5
1,21.17,425.89760000957176,5
1,2,637.5839000069536,8
1,1.41,538.5058999785688,6
1,1.41,542.928700011922,8
1,8,516.9601000056136,8
1,2,832.3707999920007,8
1,21.17,444.934300027322,8
1,28,497.0732000041753,8
1,28,431.8025000069756,6
0,5.66,484.1433000077959,7
1,5.66,491.2955000149086,8
1,21.17,452.50899999192916,8
1,5.66,488.88089999346994,7
1,8,483.05379997729324,6
1,1,864.6261999933049,7
1,1,756.7563999877311,6
1,4,436.4172999889124,8
1,4,501.9537000011187,6
1,2,505.5678000175394,8
0,1,592.2410000024829,7
1,1,587.5131999750156,7
1,11.31,441.21790001774207,8
1,21.17,506.1933000073768,7
0,1.41,514.6701000016183,6
1,1.41,338.8104000154417,6
1,2,462.1576000030618,7
1,1,636.5659999977797,7
1,11.31,351.5895999993663,6
1,2,470.7502000059467,6
1,16,466.73219999903813,8
1,2.83,418.1800000045914,7
1,21.17,455.0615999873262,6
1,11.31,304.6953999986872,7
1,2.83,613.7286999986973,8
1,28,412.19719999609515,6
1,1,611.8201000175904,8
