Correct Response,Rotation (deg),Reaction Time (ms),Word
1,180,432.855699964799,2
1,-120,421.2545999875292,0
1,90,560.4394999649376,2
1,180,499.1432999926619,2
1,60,477.9165000040084,0
1,90,462.5784999774769,2
1,0,404.2735000224784,2
1,120,464.5098000150174,2
1,150,428.4512000125833,2
0,-150,712.3678000029176,1
1,-150,554.9300000388175,0
1,-90,607.754499997478,0
1,30,502.1549999914132,0
1,0,468.52669998444617,2
0,30,736.5404000123963,1
1,30,548.9786000074819,1
1,180,595.2130000190809,0
1,-30,542.2252000393346,0
0,-120,619.553999972064,1
1,-120,653.3504999792203,1
1,90,577.9727000012062,0
1,-120,817.6148000024259,1
1,90,811.7474999711849,1
1,-30,547.5943000023253,1
1,120,488.1342999837361,2
1,-30,549.7725999997929,2
1,0,557.6969999787398,0
0,-30,630.3185999826528,1
1,-30,559.9186000148766,1
1,120,618.2179999854416,2
1,180,481.3950000065379,2
1,-150,450.07010001828894,0
1,-90,555.7053000051528,0
1,120,735.367699988652,0
1,-90,705.6484000026248,1
1,180,489.5256000421941,2
1,60,555.1416999627836,3
1,0,526.9105000155978,4
1,30,513.5956999696791,3
1,150,578.8780999686569,3
1,120,619.14500000095,4
1,-150,740.815999972634,5
1,-60,476.4012999916449,3
1,30,528.0948000112548,5
1,180,818.8377000009641,4
1,150,582.3434999878518,5
1,30,632.7526000062935,4
0,90,933.4454999738373,5
1,90,629.8061000383459,3
1,-30,963.7000000188127,4
1,0,607.4320000447333,4
1,-30,767.2280999799259,4
0,30,720.1290000197478,5
0,30,-109.0,5
1,30,589.1650000088848,3
1,150,751.9786999877542,3
1,-60,621.8120999950916,4
1,-60,620.3376000015996,4
1,-150,679.2348999846727,4
1,-30,1177.2329999916255,5
1,-60,660.611099967733,4
1,60,521.6240999838337,4
1,-90,573.9017999698408,3
0,-90,661.9712999640033,5
1,-90,507.67910002870485,5
1,150,761.1822999864817,4
1,-150,587.3019999675453,3
0,180,822.7629000288434,5
1,180,561.8801999920979,5
1,-60,580.0524000045843,4
1,-120,577.4701000158675,4
1,120,526.8261000132188,4
1,30,446.74540002271533,4
1,-30,634.9214999903925,6
1,60,623.5684000388719,6
1,-120,1023.9603000194766,6
1,60,1036.4950000043027,8
1,-60,873.3806000058539,6
1,60,662.4665000094101,7
1,0,514.2542000361718,8
1,-60,677.1781000392511,7
1,60,455.5766000379808,6
1,0,383.1958999475464,8
0,-150,552.865999980364,7
1,-150,734.7575999996625,6
1,120,712.7400999856181,8
1,-120,751.0929999956861,7
1,150,617.6273999703117,8
1,150,686.6777000217699,8
1,0,493.844399982132,8
1,-150,528.6827000058256,6
1,-120,806.5968999839388,6
1,-90,670.997400008142,6
1,60,657.7889000149444,6
1,-60,537.7551999958232,8
1,-90,648.0240999921225,7
1,-150,721.080000043381,7
1,90,664.0258000083268,7
1,180,695.5721999951638,6
1,-90,468.35320000210777,6
1,90,692.492500002496,7
1,120,714.9089000271633,6
1,-120,514.1486000469886,8
1,90,610.3809000309557,8
0,150,1000.4531000126153,7
1,150,498.6867000083439,7
1,30,887.6400999692269,6
