Correct Response,Height,RT,Word
1,28,421.7889999821782,2
1,28,387.7075999593362,0
1,1,474.2335000159219,0
1,28,417.0213000001386,2
1,11.31,256.3545000124723,1
1,4,585.2484999308363,1
1,5.66,430.1476999502629,2
1,16,318.64890007674694,2
1,11.31,357.9268000870943,2
1,5.66,321.4980000015348,2
1,8,478.572899996303,1
1,4,439.3858999796212,0
0,21.17,502.8427000474185,2
1,21.17,392.8860000418499,2
0,28,426.89499997906387,1
1,28,400.69370000530034,2
1,8,507.23529996722937,0
1,8,499.15400001592934,1
0,5.66,572.2379999319091,2
1,5.66,504.6295000324026,0
1,1,496.63580004964024,0
0,8,670.7952000983059,1
1,8,461.5505999503657,1
1,2.83,381.22250005509704,1
1,28,600.0960999485105,1
1,2,435.22659997362643,0
1,11.31,404.405799982138,2
1,8,483.6726000616327,0
1,2,571.9339999454096,2
1,8,526.7062000315636,0
1,4,412.0442999377847,0
0,8,431.00290005933493,1
1,8,324.26159997377545,1
1,1.41,393.3448000429198,1
1,4,449.3668000763282,0
1,21.17,442.59230006393045,1
1,1.41,543.3929999675602,1
1,28,510.4596999557689,4
1,2,511.2938000205904,3
1,28,466.35950001329184,5
1,1.41,369.85780001524836,5
0,2.83,433.6084999926388,4
1,2.83,493.5668999645859,5
1,2.83,801.0740998983383,4
1,21.17,428.4454000266269,3
1,2,554.6547999223694,4
1,28,447.0327999992296,5
1,5.66,430.90820003673434,3
1,2.83,509.99920005816966,5
1,5.66,445.41869993228465,3
1,2.83,506.0118999648839,5
1,16,313.40160005167127,4
1,1,496.3930999478325,5
1,21.17,417.40729991253465,3
0,4,519.1039000023156,5
1,4,440.04120007995516,3
1,16,480.37299996614456,3
1,5.66,448.85280000418425,4
1,11.31,444.34780004341155,3
1,1.41,514.0552999768406,4
1,2.83,430.58260000217706,3
1,8,419.63600000273436,3
1,11.31,505.21390005853027,4
1,2,366.1076999818906,5
1,2.83,421.3206000244245,4
1,1,435.3027000874281,5
1,16,445.0141999954358,3
1,1,477.37629996519536,5
1,21.17,372.4158999361098,5
1,21.17,453.2208999702707,3
1,2,452.2276999745518,5
1,5.66,476.89819993358105,7
1,1,461.93030004762113,8
1,1.41,432.9812999898568,8
1,21.17,405.3720000050962,8
1,11.31,420.3421000242233,8
1,1,540.5291999308392,7
1,4,366.33869999460876,7
1,11.31,419.2082000048831,7
1,5.66,436.2694999985397,8
1,4,425.08010001294315,7
1,4,382.06349993962795,8
1,1.41,482.07769990805537,6
1,2,563.8243000106886,6
1,2,401.94509998802096,8
1,2.83,384.9206000417471,8
1,16,361.7559000235051,8
1,16,412.13879995886236,7
1,1.41,479.3775999536738,6
1,4,403.03870004974306,8
1,2,455.1890000551939,6
1,1,545.1922999313101,7
1,28,428.774599972181,7
1,21.17,407.0074000013992,6
1,2.83,391.9915999835357,8
1,16,453.53979995381087,6
1,11.31,396.16009994316846,6
1,11.31,510.4184001069516,8
1,16,447.3923000590876,7
1,21.17,467.3260000385344,6
1,16,364.94300007726997,7
1,1.41,421.7325000176206,7
1,1,591.3125000046566,6
