Correct Response,Rotation (deg),Reaction Time (ms),Word
1,30,848.448200089857,1
1,-30,949.6087999399751,1
1,90,879.3873999351636,1
1,90,490.64100003708154,1
1,180,547.3589000143111,0
1,60,540.4231999386102,1
1,-90,952.7333999834955,2
1,30,736.1278998982161,1
1,-30,676.675200051628,2
1,-30,690.4699999690056,2
1,0,590.5856000576168,0
1,150,898.1088999975473,2
1,120,500.4455999555066,0
0,-120,754.6610999237746,1
1,-120,855.1472999937832,1
1,-150,614.1450999388471,1
1,150,833.9482000414282,2
1,-150,983.9742000298575,2
1,120,513.9123999364674,0
1,150,738.9430000297725,1
1,60,524.0663999542594,0
1,60,843.801699982956,1
1,30,593.8462000889704,1
1,-60,910.5923999417573,2
1,90,774.4915000479668,1
1,-120,887.909899986349,1
1,-150,547.3091999851167,1
1,-150,503.1776000363752,1
1,0,528.7719000447541,0
0,-120,558.2179000452161,1
1,-120,602.9276999728754,0
0,0,-109.0,2
1,0,687.4984000427648,1
1,-150,669.4962999867275,2
1,90,549.7912000250071,0
1,-30,493.39360004197806,5
1,30,604.7542000273243,5
1,30,593.5828000623733,5
1,90,578.3646000167355,5
0,-90,577.0545999370515,4
1,-90,630.8080000421032,5
1,-120,925.7981998929754,3
1,-120,875.726499998942,3
1,150,554.6073000263423,4
1,60,620.3418000917882,5
1,180,483.11560001131147,5
1,180,566.1313999993727,5
1,30,573.1843000361696,5
1,-60,664.0040999595076,4
1,-30,765.767699977383,3
1,120,685.3118000403047,5
1,60,512.472500031814,5
1,-90,516.9076999267563,4
1,-150,735.4142999360338,3
0,150,-109.0,3
1,150,640.1191999288276,4
1,90,654.5756001109257,5
1,60,556.8610999584198,4
1,-60,906.087699983269,3
1,-30,529.5738000972196,5
1,60,569.9687999989837,5
1,150,599.6630000267178,5
1,0,590.1721999365836,5
1,30,523.8008999116719,5
1,-90,565.5459999656305,5
0,-120,414.4329999657348,3
1,-120,1138.5993999978527,5
1,-60,580.0158000169322,5
1,120,525.2716000508517,4
1,180,500.83229998964816,3
1,90,728.5455999048427,6
1,120,624.9785000076517,6
1,-90,822.5816999878734,7
1,-90,534.1055000284687,7
1,120,727.1249000299722,8
1,-150,544.4628999652341,8
1,-150,540.7784000821412,6
1,180,392.183099928312,7
1,-30,946.3007000125945,8
1,0,782.1281999899074,8
1,120,576.6755999615416,7
1,-90,954.9196999836713,8
1,0,523.9623999772593,6
1,30,695.6454999130219,6
1,0,493.3643999360502,7
1,150,485.1778999986127,7
1,60,715.9641000293195,8
1,-60,707.8119000038132,8
1,0,609.4890999924392,6
1,120,526.8410000102594,7
1,180,756.623899968341,7
1,90,582.0968000302091,7
1,-90,981.7029000809416,6
1,-60,780.5056999754161,8
1,180,677.7383999982849,6
1,-120,921.9815000509843,8
1,-30,509.7214000383392,7
0,150,725.5279999775812,6
1,150,658.6949999295175,8
1,-60,645.5836999779567,6
1,180,463.06609996501356,7
1,-60,579.8983999378979,7
1,-120,563.1449000760913,6
