Correct Response,Height,RT,Word
1,5.66,505.11529988981783,0
1,16,405.7677999921143,1
1,2.83,466.4933999851346,1
1,28,488.12529997341335,0
1,11.31,374.40460006147623,0
1,28,505.5067000761628,0
1,21.17,607.3080000318587,0
1,2,450.58699993789196,0
1,8,501.3089000098407,2
1,16,448.0056999567896,2
1,1.41,573.5266999658197,1
1,11.31,482.52489993721247,1
1,2,438.4667998496443,1
1,4,563.3621999844909,2
1,2.83,455.53180010430515,1
1,1,611.4117001965642,0
1,28,603.7280000131577,2
1,21.17,444.51349990814924,1
1,28,521.1875000353903,0
1,16,339.6870998516679,1
1,11.31,558.3310999758542,2
1,2,660.0799999982119,0
1,4,483.913799919188,2
1,1,480.1736000776291,1
1,4,407.8487001210451,0
1,8,459.8800001516938,0
1,2,414.9554999861866,1
1,16,454.07359994389117,1
1,2.83,528.0484000071883,0
1,8,495.0421000216156,1
1,2.83,560.4589999970049,1
1,1.41,338.5253999698907,2
1,16,461.265999995172,3
1,2,537.0749998223037,3
1,1,474.2016998901963,4
1,8,464.5981999896467,4
1,8,437.2118999566883,3
1,21.17,419.9946000557393,5
1,4,443.9610998928547,3
1,8,564.3444998972118,5
1,5.66,435.0661997999996,5
0,2,489.70650013908744,4
1,2,460.74930013529956,3
1,16,420.0590999647975,4
1,21.17,559.6205000150949,3
1,1.41,487.1484001018107,3
1,5.66,425.30860000662506,3
1,4,734.600400025025,4
1,4,464.4228999353945,4
1,2.83,447.0962001327425,5
1,2.83,448.0646000560373,4
1,28,459.34879983216524,4
1,2.83,501.3974001016468,3
1,4,344.29850004054606,4
1,5.66,315.06359990127385,5
1,21.17,446.8344000019133,3
1,1.41,534.9173000399023,4
1,1,452.4092000760138,4
1,16,375.8736000712961,3
1,8,478.2331999707967,5
1,21.17,393.34200013801455,3
1,11.31,444.8518000394106,5
1,8,365.0188999567181,4
1,1.41,540.3559000082314,5
1,1.41,539.6847000196576,5
1,11.31,389.89470008201897,6
1,28,612.8987999949604,8
1,1.41,475.8354999907315,8
1,16,392.3027999084443,7
1,1.41,522.4455999527127,6
1,21.17,447.1824000906199,7
1,5.66,393.5768999475986,6
1,28,461.5684998538345,7
1,2.83,544.3257998526096,7
1,2,378.3726998921484,7
1,11.31,613.6267999503762,8
1,11.31,437.41670011915267,6
1,11.31,439.74100000597537,6
1,2,360.1937000025064,8
1,11.31,615.9286000151187,8
1,4,428.98190015368164,8
1,1.41,662.089700050652,6
1,1,568.7315998915583,8
1,2,581.4207000043243,7
1,21.17,535.683999940753,7
1,5.66,416.3454998601228,6
1,1,452.1538998782635,6
1,1,662.7148999217898,7
1,5.66,473.7826999593526,7
1,1,449.0086000263691,7
1,21.17,468.19919993542135,7
1,16,501.1639000698924,8
1,2.83,528.5641999766231,8
1,4,486.36619996652007,8
1,5.66,466.224099913612,6
0,1,425.9520999006927,7
1,1,429.1064999382943,6
1,28,495.4888000469655,6
