CorrectResponse,Height_Rotation,RT,Face
0,-180,582.34939997457,2
1,-180,801.990500007756,1
1,120,640.61929989513,1
1,-30,812.411599963903,0
1,180,679.763100048527,1
1,150,470.16079997085,2
1,-30,531.16409998294,0
1,0,615.882800015621,1
0,0,-109,1
1,0,556.862099966034,1
1,-60,702.36749999132,0
1,-120,584.107499973848,0
1,-150,668.383899898268,0
1,30,788.322599892505,0
1,-90,866.135400076397,1
1,-90,945.22109994106,0
1,150,592.754099922255,0
1,-150,824.620500029065,0
1,90,714.800800018944,0
1,0,460.697000086308,1
1,60,579.92580003012,1
1,90,577.617800034583,0
1,-180,652.332600028254,2
1,0,520.249599995092,2
1,90,567.372500020079,3
1,120,531.101599972695,5
1,-60,980.809599914588,3
1,30,549.263200079091,3
0,-150,671.538200051524,4
1,-150,582.935000009835,3
1,-120,1139.1056000106,3
1,-120,528.245399993844,4
1,150,639.540100059472,3
1,-150,564.007800010964,5
1,-150,826.688699944876,5
1,-60,748.529200031422,4
1,30,1169.70889997575,4
1,90,719.79140006844,4
1,180,537.945600048639,3
1,150,711.792199927382,5
1,120,554.802099996246,5
1,-120,620.649899993092,4
1,60,520.824599949643,5
1,180,527.147000011988,3
1,-120,508.611799971201,5
1,0,1076.01459993422,3
1,-30,536.427000010386,3
1,60,536.748000009917,5
1,-60,556.026400005445,6
1,-90,572.925500044599,6
1,-90,595.890999943018,8
1,0,499.674700022675,7
1,120,548.535800011829,6
1,-90,441.128299975768,6
1,60,662.949700079858,6
1,-30,503.412299960852,7
1,150,616.407100049779,6
1,30,480.720000047237,7
1,0,501.296699916944,8
1,60,416.686800014228,8
1,180,564.186099971645,6
1,120,768.391000045463,7
1,90,675.093499998562,6
1,-60,452.133699957281,6
1,-180,618.945500053465,6
1,-180,477.802499950863,8
1,180,792.899799937382,7
1,-180,660.154499983415,7
1,0,470.999500070699,6
1,0,416.794300017878,6
1,-30,1038.71639998071,6
1,30,566.540899974294,6
1,0,504.072999985889,7
