Correct Response,Rotation (deg),Reaction Time (ms),Target
0,90,734.7398000023677,2
0,90,764.881599996821,0
1,90,1089.495600001479,0
1,0,706.1414999956614,2
1,135,1001.3315000000293,2
1,0,810.5604999986244,0
1,135,801.2361999975983,0
1,45,828.164800001483,0
1,90,859.7075999972876,2
1,0,599.8580000054208,2
1,135,572.7771999994875,1
1,90,543.100999999675,1
1,135,919.7379999936093,0
1,0,622.6607999964617,0
1,180,727.1850999935996,0
1,45,614.7329999989015,1
1,45,739.8489000010304,1
1,135,703.2528999956558,2
1,0,683.1175000010408,0
1,90,717.6528000021935,1
1,180,735.9270999990404,2
1,45,755.3221000020276,1
1,90,796.6596000009449,2
1,0,769.0446000018856,2
1,180,538.8095999991638,1
1,180,768.563400004874,0
1,45,507.13819999911357,1
1,180,819.483600000618,0
1,180,724.048400003463,2
1,45,636.43669999548,0
1,180,582.1626000000979,0
1,90,1078.6703999951133,2
0,45,935.7684000027948,2
1,45,632.2024000004749,0
1,135,601.1774000038859,1
1,135,877.0943000021507,4
1,90,629.1039000028977,3
1,180,698.5731999997515,5
1,90,746.6900000039604,3
1,90,809.6581000030856,5
1,45,611.5415999997058,4
1,45,600.7831999999471,4
1,180,700.5422999977018,5
1,0,522.9565000012517,3
1,135,649.3391000007396,3
1,135,898.4937000026694,5
1,45,457.219699998328,3
1,45,697.3892999998643,3
1,90,487.93089999927906,3
1,135,838.2964000015054,5
1,0,489.7853000042378,4
1,0,845.5216000042274,4
0,180,668.1849999990081,4
1,180,1007.266999997606,5
1,180,637.420899995428,3
1,45,586.0393000006443,5
1,0,938.9611999980989,3
1,90,587.31610000215,5
1,0,544.9876999959233,5
1,135,998.3430000033113,4
1,180,521.1189999940107,5
1,135,812.4213000013842,5
1,135,519.8501000017277,3
1,90,498.0065000021714,3
1,180,762.4939999990747,4
1,90,866.5076000001281,4
0,180,670.5488000047044,4
1,180,708.0528999980888,4
0,135,496.9825999982422,5
1,135,539.2725999958348,3
0,180,508.25850000220817,8
1,180,537.5248000022257,6
1,135,559.7780000065686,7
1,0,462.6496000022744,6
1,90,517.3315999967745,7
1,0,578.3050000067451,7
1,180,539.9677999998094,6
1,135,827.143600003561,6
1,45,583.5589000020409,8
1,90,905.035000000149,8
1,90,631.3888999979245,8
0,135,885.7969999993802,8
0,135,987.1334999956307,6
1,135,624.718499999668,7
1,90,495.08080000343034,8
1,0,533.0673999964492,8
1,45,593.7932999990298,6
1,45,458.4107000013464,7
1,180,550.6434999955818,7
1,0,525.5421000005445,8
1,45,638.3648000013782,8
0,90,992.3519999978598,8
1,90,687.1476999989827,6
1,45,474.78309999534395,7
1,45,539.2096000036108,8
1,135,774.9128000035998,7
1,180,934.407400000433,6
1,0,750.5433000009507,6
1,45,782.8225000015809,8
1,45,584.5511999981827,7
1,90,943.7527000012924,8
1,0,652.7223999986891,8
0,0,790.2472000027192,8
1,0,784.893599997682,8
1,0,581.5194999999367,6
1,180,798.3795000003884,8
0,135,-109.0,8
1,135,591.5092999970657,7
