Correct Response,Height,RT,Face
1,11.31,495.28690002299845,1
1,1.41,857.4732000092044,2
1,21.17,574.103600051254,0
1,28,595.2800000635907,2
1,28,516.055699958466,2
1,1.41,606.6400999519974,2
1,11.31,445.6779000433162,1
1,5.66,417.42049989663064,2
1,16,511.2023000223562,1
1,1.41,469.1641999492422,0
1,28,495.2300999397412,1
1,1,543.4292000103742,1
0,4,435.3500999826938,0
1,4,383.95820004772395,0
1,11.31,465.492400046438,2
1,4,458.08519998937845,2
1,2.83,548.9849000554532,2
1,2.83,489.4887999948114,1
1,2.83,458.19639990478754,1
1,2,601.3226000908762,0
1,21.17,476.6374999275431,1
1,1,566.2735000336543,1
1,16,711.2971001155674,2
1,2.83,618.5594000238925,0
1,4,476.8050000388175,1
1,1,621.7722999248654,2
1,4,628.5364999752492,2
1,28,907.7722000041977,2
1,2.83,509.2014000369236,1
1,21.17,502.14870000164956,2
1,2.83,531.1994000189006,1
1,8,576.0865000160411,1
1,2,500.17160008102655,1
1,8,449.5509999655187,1
1,5.66,710.1251000389457,0
1,4,885.1538000712171,1
1,1,848.3125999886543,2
1,1.41,518.2255999501795,2
1,21.17,646.0043999217451,2
1,5.66,595.314999980852,0
0,21.17,445.7196000115946,0
1,21.17,500.27490005269647,0
1,4,746.6765000103042,5
1,1,802.1835000803694,5
1,2.83,776.1344001013786,5
1,8,993.0056999986991,4
1,2,828.6452000578865,5
0,16,873.7309999382123,4
1,16,623.8986999345943,5
1,5.66,715.1874999366701,3
1,2.83,922.9902999326587,4
0,1,-109.0,4
0,1,1187.7698000138626,4
1,1,752.1106000607833,3
1,28,1051.0089001003653,4
1,5.66,874.1625999649987,4
1,1,900.0180999832228,4
1,21.17,517.6542999073863,3
1,5.66,584.0207000114024,4
0,1.41,724.768600015901,3
1,1.41,713.589399991557,4
1,4,527.0359999816865,4
1,2,772.5001000184566,4
1,5.66,860.820800004527,4
1,8,531.7935000024736,3
1,8,585.3364000180736,5
1,1.41,678.1831000084057,3
1,16,557.9191000983119,5
1,28,621.2861000644043,4
1,1.41,634.7122999690473,5
1,28,789.2939999550581,4
1,28,589.3203999698162,3
1,8,560.7793999919668,4
0,1.41,695.9744999734685,4
1,1.41,795.6565999742597,4
1,2,711.5840999726206,3
1,16,718.651200001128,3
0,1,764.8194999750704,4
0,1,694.785500000231,3
1,1,1059.9492999576032,4
1,16,926.5659000342712,4
1,28,656.2115999953821,5
0,2,687.3120000204071,5
1,2,957.6858999757096,4
0,4,956.3679999522865,4
0,4,-109.0,5
1,4,491.481899920851,3
1,1.41,845.6869000187144,4
1,16,600.8343999823555,5
1,11.31,815.378199968487,4
1,1.41,844.2343000173569,5
1,16,569.3003000309691,5
1,11.31,529.7058000545949,8
1,5.66,481.4811000218615,7
1,5.66,563.7898999815807,6
1,4,580.0224000671878,8
1,11.31,532.2490999791771,7
1,2,727.3423999398947,6
1,11.31,770.9272999167442,7
1,21.17,546.7928998954594,6
1,28,588.867100010626,7
1,16,579.8137999922037,8
1,21.17,572.7971999989823,6
1,8,563.0569999888539,7
1,8,503.6626000041142,8
1,2,607.2200000602752,8
1,4,542.5781000489369,7
1,2.83,506.7261000480503,7
1,16,491.6793000269681,6
1,2,475.1426000697538,7
1,8,461.2096000313759,7
1,2.83,629.4811999509111,6
1,5.66,707.6170999174938,6
1,11.31,434.63730002660304,6
1,21.17,468.6869999244809,7
1,21.17,441.8140000747517,7
1,11.31,472.7360000219196,7
1,1,701.3598000016063,7
1,11.31,508.2082999255508,6
1,2,950.4508999492973,7
1,1,449.172499993816,7
1,21.17,509.6606000410393,6
1,2,483.8393999347463,7
1,1,667.6718999482691,8
1,16,589.461199994199,6
1,11.31,520.9548000097275,7
1,5.66,512.4648000895977,8
1,28,733.1156000113115,7
1,8,526.9811000293121,8
1,8,455.10129996947944,7
1,4,584.201299989596,8
1,2.83,622.8622000748292,7
