Correct Response,Height,RT,Face
1,5.655,563.179997432977,0
1,10.585,458.4708595033735,1
0,1.415,661.8734755869955,0
1,1.415,654.9553304761648,1
1,1.415,748.2185356169939,2
1,5.655,554.7767106294632,0
1,14.0,922.9286668673158,2
1,10.585,521.038294242695,1
1,8.0,602.9340733624995,1
1,2.0,553.45336108841,1
1,1.0,472.0999604873359,1
1,4.0,587.123510831967,2
1,4.0,758.2097055241466,0
1,2.0,494.25181507505476,1
1,2.0,921.6657333858311,0
1,5.655,702.3078291062266,2
1,1.0,856.2566979639232,2
1,14.0,620.4216069858521,2
1,8.0,486.0615203473717,1
1,2.0,720.3008776381612,2
1,1.0,1113.215888556093,0
1,4.0,526.3050684556365,0
1,0.5,1006.2764784637839,2
1,10.585,594.3956185914576,1
1,0.705,729.1663295440376,1
0,1.415,692.5112194698304,0
1,1.415,613.8424060158432,0
1,1.0,466.51574637182057,1
1,2.83,527.6526526398957,1
1,8.0,666.294084334746,2
0,14.0,854.4691351093352,0
1,14.0,501.61574169434607,2
1,0.5,936.9400613326579,2
0,2.0,684.8964129425585,0
1,2.0,708.1879795845598,0
1,2.83,609.5347785707563,2
1,2.83,893.6719577144831,0
1,2.0,375.79274404235184,1
1,5.655,364.28844340518117,0
1,5.655,495.21949508599937,0
1,1.0,764.9684477914125,2
1,4.0,453.8341867122799,1
1,14.0,660.6276088245213,2
1,5.655,574.1361164804548,2
1,1.415,676.606448771432,3
1,0.5,808.4741192255169,5
1,1.415,557.7838578578085,4
1,8.0,570.3152305763215,5
1,1.415,659.3858377858996,3
0,0.5,655.7175278980285,3
0,0.5,885.9172046035528,4
0,0.5,959.003510357812,3
0,0.5,1129.3732460439205,5
1,0.5,629.156670005992,5
1,1.0,982.1206556484103,4
0,1.415,674.3966563921422,4
1,1.415,705.9904750753194,3
1,8.0,586.8443000912666,5
1,14.0,1004.8616513926536,3
1,0.705,968.8782854322344,5
1,1.0,544.3721860032529,4
1,8.0,611.3458936419338,5
1,10.585,592.4418262988329,3
0,14.0,715.0583380684257,4
1,14.0,504.6870593763888,5
1,1.0,751.8595391269773,5
0,0.5,-109.0,5
1,0.5,491.0251902732998,5
1,4.0,791.3832149319351,4
1,2.0,546.1781811285764,3
1,2.83,485.59082153625786,4
1,2.83,713.0642681699246,3
1,4.0,580.5924375858158,3
1,1.415,860.3595254793763,3
1,0.705,1008.3381321132183,4
1,0.705,826.1889807730913,3
1,1.0,625.1374692041427,4
1,5.655,504.57919801957905,5
1,4.0,500.7525095101446,5
1,2.83,755.7268461063504,3
1,1.0,833.0777715276927,4
1,10.585,428.2454463504255,5
0,0.705,575.8223034758121,3
0,0.705,623.8059277497232,5
1,0.705,609.7870240304619,5
1,5.655,554.3234198670834,4
1,0.5,746.0609671510756,5
1,8.0,571.8891189284623,4
1,14.0,1086.5894948914647,3
1,14.0,480.2192577011883,5
1,0.5,791.4979028832167,3
1,5.655,570.931337479502,4
0,2.83,488.90721652098,3
1,2.83,531.3950320091099,5
1,0.5,610.8246775660664,8
1,2.0,489.5857874620706,8
1,4.0,500.20637589879334,8
1,10.585,471.66305378451943,8
1,4.0,399.22084420360625,8
1,0.5,683.383964639157,8
1,8.0,522.6374409943819,7
1,10.585,525.2704868875444,8
1,5.655,642.0321070440114,6
1,2.0,565.3918377906084,7
1,10.585,521.3502728696913,8
1,8.0,702.4286612253636,6
1,1.415,554.9268973376602,7
1,14.0,519.6842245608568,8
1,0.705,847.0260192956775,7
1,2.83,668.5072900112718,6
1,10.585,628.0947818271816,6
1,5.655,676.4668435174972,8
1,0.705,598.0601740851998,7
1,1.0,754.0962965544313,8
1,0.705,695.476382676512,8
1,2.83,514.2682878617197,8
1,2.83,692.2995929457247,6
1,2.83,487.25038458034396,6
1,10.585,544.0144687276334,6
1,8.0,508.1505693346262,7
1,0.705,998.2841570712626,6
1,1.415,619.3505031373352,7
1,2.0,699.8208739645779,6
1,2.0,577.9378879200667,8
0,0.5,1118.9362948611379,8
1,0.5,692.8385581672192,8
1,14.0,614.9804116543382,7
1,0.705,543.3109807167202,8
1,8.0,594.6267013754696,6
1,0.5,788.6651772391051,7
1,14.0,580.8859844077379,8
1,10.585,460.99092386104167,8
1,1.415,528.9012502729893,8
1,4.0,483.65068266540766,7
1,4.0,698.8357859048992,6
