Correct Response,Height,RT,Face
1,2,441.9206273,0
1,0.5,676.1579366,1
1,14,480.6814233,2
0,2.83,496.276946,0
1,2.83,528.3315647,0
1,2,623.437629,1
1,1,366.0002306,1
1,1.415,436.2794104,1
1,2,439.0134909,1
1,2,408.3835978,1
1,1,409.6752032,1
1,1,345.9840989,1
1,0.5,394.7640538,1
1,4,496.1387058,2
1,10.585,484.0971466,0
1,8,434.5976607,0
0,4,414.2617001,1
1,4,529.113901,2
1,5.655,473.3594807,1
1,2.83,629.8543554,0
1,0.5,786.551641,0
1,10.585,522.2462732,0
1,0.5,635.1760844,0
1,0.705,493.6647214,1
1,10.585,576.6015676,1
1,14,431.6731162,2
1,2,571.3948681,0
1,8,416.0123988,1
1,1,576.4807357,0
0,1,677.4160917,2
1,1,595.4001629,0
1,0.705,544.257157,1
1,5.655,369.4995802,1
1,1.415,463.1529296,1
1,0.705,528.4209942,0
1,0.705,553.4475585,1
1,0.705,436.0053196,1
1,14,408.7914912,1
1,2.83,449.4436154,1
1,1.415,435.0024822,1
0,8,526.7320764,2
1,8,382.1551985,2
1,10.585,550.1373072,0
1,10.585,435.2560927,2
1,10.585,630.6097262,3
1,8,460.7103478,3
1,0.705,548.0435681,3
1,0.5,666.7845803,5
1,10.585,607.4178288,4
1,0.705,670.6481331,5
0,8,450.6843623,3
1,8,417.2036526,4
1,8,485.8287307,3
1,5.655,567.4855769,5
1,1.415,522.2926945,3
1,1.415,607.2154182,5
1,5.655,467.3445038,3
1,0.5,765.5104852,3
1,14,534.9797152,4
0,1,890.1200427,4
0,1,1136.271935,5
1,1,596.3132297,4
1,14,611.3745656,3
1,1.415,572.2683402,4
0,0.5,580.3023043,4
1,0.5,749.8381626,3
1,4,501.3607654,3
1,4,488.2518567,3
1,4,468.6600025,3
1,2.83,417.9791621,3
1,14,435.3130955,3
1,2,615.7583105,5
1,8,575.7861223,4
1,14,440.9147179,4
1,8,432.6650311,4
1,5.655,465.4374741,4
1,4,488.8751313,4
1,4,597.5218911,5
1,0.5,1034.127576,5
1,2.83,594.428728,3
1,2,525.6903269,4
1,2.83,509.920383,4
1,4,504.0354539,3
0,1,438.1543546,3
1,1,656.1868614,4
1,14,552.8433984,4
1,4,518.7455578,3
1,4,436.9043917,3
0,0.705,693.8123823,5
1,0.705,760.0764578,4
1,5.655,473.9694434,6
1,0.705,846.1167069,6
1,0.5,744.5276977,8
1,14,553.6735211,6
1,5.655,550.6240487,8
1,10.585,489.4734888,6
1,1.415,758.6391027,6
1,0.705,595.9473203,7
1,2.83,485.7317923,8
1,1.415,587.3003215,8
1,8,487.0206669,8
1,5.655,541.611823,6
1,1,608.4923464,8
1,10.585,544.5380741,7
1,1.415,449.2992313,7
1,1,473.6004623,8
1,10.585,571.2375135,8
1,14,387.8715089,8
1,2.83,501.0504934,6
1,1,870.0243802,6
1,5.655,413.6520787,7
1,2.83,499.9817786,6
0,2,430.19446,6
1,2,472.9218913,7
1,2.83,411.0944676,7
1,5.655,458.3612915,6
1,10.585,452.062325,6
1,8,410.34251,8
1,5.655,399.3751269,8
1,0.5,737.3743737,7
1,8,481.5610395,6
1,1.415,554.1152066,8
1,1.415,590.9085569,6
1,2,539.7621372,7
1,14,530.5816344,8
0,0.705,682.265415,6
0,0.705,511.1454285,7
1,0.705,619.8488497,6
1,1,503.0872297,6
1,4,476.1952785,6
1,2.83,452.0101009,6
1,2,527.5956499,7
1,0.5,608.0035571,7
