Correct Response,Height,RT,Face
1,5.655,563.1799974,0
1,10.585,458.4708595,1
0,1.415,661.8734756,0
1,1.415,654.9553305,1
1,1.415,748.2185356,2
1,5.655,554.7767106,0
1,14,922.9286669,2
1,10.585,521.0382942,1
1,8,602.9340734,1
1,2,553.4533611,1
1,1,472.0999605,1
1,4,587.1235108,2
1,4,758.2097055,0
1,2,494.2518151,1
1,2,921.6657334,0
1,5.655,702.3078291,2
1,1,856.256698,2
1,14,620.421607,2
1,8,486.0615203,1
1,2,720.3008776,2
1,1,1113.215889,0
1,4,526.3050685,0
1,0.5,1006.276479,2
1,10.585,594.3956186,1
1,0.705,729.1663295,1
0,1.415,692.5112195,0
1,1.415,613.842406,0
1,1,466.5157464,1
1,2.83,527.6526526,1
1,8,666.2940843,2
0,14,854.4691351,0
1,14,501.6157417,2
1,0.5,936.9400613,2
0,2,684.8964129,0
1,2,708.1879796,0
1,2.83,609.5347786,2
1,2.83,893.6719577,0
1,2,375.792744,1
1,5.655,364.2884434,0
1,5.655,495.2194951,0
1,1,764.9684478,2
1,4,453.8341867,1
1,14,660.6276088,2
1,5.655,574.1361165,2
1,1.415,676.6064488,3
1,0.5,808.4741192,5
1,1.415,557.7838579,4
1,8,570.3152306,5
1,1.415,659.3858378,3
0,0.5,655.7175279,3
0,0.5,885.9172046,4
0,0.5,959.0035104,3
0,0.5,1129.373246,5
1,0.5,629.15667,5
1,1,982.1206556,4
0,1.415,674.3966564,4
1,1.415,705.9904751,3
1,8,586.8443001,5
1,14,1004.861651,3
1,0.705,968.8782854,5
1,1,544.372186,4
1,8,611.3458936,5
1,10.585,592.4418263,3
0,14,715.0583381,4
1,14,504.6870594,5
1,1,751.8595391,5
0,0.5,-109,5
1,0.5,491.0251903,5
1,4,791.3832149,4
1,2,546.1781811,3
1,2.83,485.5908215,4
1,2.83,713.0642682,3
1,4,580.5924376,3
1,1.415,860.3595255,3
1,0.705,1008.338132,4
1,0.705,826.1889808,3
1,1,625.1374692,4
1,5.655,504.579198,5
1,4,500.7525095,5
1,2.83,755.7268461,3
1,1,833.0777715,4
1,10.585,428.2454464,5
0,0.705,575.8223035,3
0,0.705,623.8059277,5
1,0.705,609.787024,5
1,5.655,554.3234199,4
1,0.5,746.0609672,5
1,8,571.8891189,4
1,14,1086.589495,3
1,14,480.2192577,5
1,0.5,791.4979029,3
1,5.655,570.9313375,4
0,2.83,488.9072165,3
1,2.83,531.395032,5
1,0.5,610.8246776,8
1,2,489.5857875,8
1,4,500.2063759,8
1,10.585,471.6630538,8
1,4,399.2208442,8
1,0.5,683.3839646,8
1,8,522.637441,7
1,10.585,525.2704869,8
1,5.655,642.032107,6
1,2,565.3918378,7
1,10.585,521.3502729,8
1,8,702.4286612,6
1,1.415,554.9268973,7
1,14,519.6842246,8
1,0.705,847.0260193,7
1,2.83,668.50729,6
1,10.585,628.0947818,6
1,5.655,676.4668435,8
1,0.705,598.0601741,7
1,1,754.0962966,8
1,0.705,695.4763827,8
1,2.83,514.2682879,8
1,2.83,692.2995929,6
1,2.83,487.2503846,6
1,10.585,544.0144687,6
1,8,508.1505693,7
1,0.705,998.2841571,6
1,1.415,619.3505031,7
1,2,699.820874,6
1,2,577.9378879,8
0,0.5,1118.936295,8
1,0.5,692.8385582,8
1,14,614.9804117,7
1,0.705,543.3109807,8
1,8,594.6267014,6
1,0.5,788.6651772,7
1,14,580.8859844,8
1,10.585,460.9909239,8
1,1.415,528.9012503,8
1,4,483.6506827,7
1,4,698.8357859,6
