Correct Response,Height (deg),Reaction Time (ms),Target
1,2.0,580.2523000450433,1
1,5.29,640.2099000108988,2
1,0.71,1057.0648000860215,0
1,4.0,527.2941999422014,1
0,0.5,524.9506999091805,0
1,0.5,717.4661997990311,2
1,2.83,566.660200041309,2
1,4.0,706.6229000040889,0
1,1.0,548.7875000392646,1
1,1.0,503.69050007365644,2
1,7.0,576.0382998553664,1
1,1.0,559.3882000824065,1
1,4.0,512.1575000514836,1
0,0.71,541.7497000010312,0
1,2.0,678.8075999641419,1
1,1.41,669.8062999924273,1
0,1.41,510.7060999428481,0
1,7.0,580.6881001038105,1
1,0.25,732.8602001355589,0
1,5.29,614.7907001716644,2
1,0.35,632.8503000834585,1
0,1.0,378.85500004567206,2
0,0.25,608.8694001366944,2
1,7.0,760.3803999075294,0
1,7.0,694.795700051412,2
1,2.83,556.3697000318766,2
1,7.0,589.1734999889136,1
1,4.0,477.90870003454387,1
1,5.29,323.5178999887407,1
1,0.35,682.4141999525577,1
1,1.41,393.34329988859594,1
0,1.0,508.4332998660952,2
1,0.71,549.419299960658,1
1,0.5,495.6405998957902,2
1,0.25,702.0592000620068,1
1,1.0,515.5673998226971,1
1,1.41,942.8681999263913,2
0,0.5,660.6083999206871,2
1,4.0,337.2631999948621,0
1,0.25,576.0093999845535,1
1,5.29,693.351000110209,0
1,1.41,534.8525999864191,2
1,2.83,953.2557998602838,4
1,0.71,1012.989199981615,4
1,2.83,849.0376000111551,5
1,1.41,736.6058000182361,3
1,2.0,628.4928999660165,5
1,0.5,592.7876001508535,5
1,2.0,672.4500998673589,4
1,5.29,694.7023999230564,5
1,2.0,526.4492999115587,3
1,2.83,787.7706000865996,5
1,0.35,587.2029001177848,3
0,0.25,905.6447998439521,4
1,0.71,509.87640002794564,4
1,2.0,604.7872999036313,3
1,0.35,719.5367999659479,4
1,7.0,575.3006001753361,3
1,1.0,636.9272000440956,5
1,0.71,389.10550021618604,3
1,5.29,399.1161999577284,3
0,0.25,743.986000102535,4
1,0.25,951.9122001068295,5
1,0.35,453.86250017262995,4
1,0.35,739.4138002121449,5
1,2.0,711.6026999713481,3
1,0.5,642.1891998318583,3
1,2.83,550.0764001911134,3
0,1.0,737.5620999658108,5
1,0.25,681.3579001748562,5
1,0.71,627.697400078699,5
1,1.41,813.1450999347121,3
1,0.25,617.7349000056834,5
1,0.5,601.9248001096398,5
1,0.5,598.0531000816823,5
1,7.0,471.4193998654932,5
1,1.0,469.405100010857,5
1,0.5,485.9530001697689,5
1,0.25,501.05440014094114,5
1,4.0,667.1444999804348,4
