Correct Response,Height (deg),Reaction Time (ms),Target
1,0.71,657.773600014858,0
1,0.5,618.2801999934018,1
1,0.25,793.1517999935895,0
1,7.0,602.9027000153437,1
1,0.71,399.3248000009917,0
1,1.0,363.0003000111319,1
1,1.41,503.81309998594224,2
1,5.29,527.3835000083782,1
0,5.29,423.0681000011973,2
1,0.35,396.23479998810217,0
1,1.0,326.0500999717042,1
1,4.0,465.5889999670908,0
1,2.0,498.2719999938272,0
1,4.0,814.4618999762461,2
1,5.29,891.1782999606803,1
1,7.0,495.0400000056252,1
0,2.0,-109.0,2
1,4.0,758.3545999918133,2
1,1.41,506.0472000008449,0
1,0.71,537.5883000055328,2
1,2.83,591.8008999982849,1
1,2.83,489.58580003492534,0
1,0.35,591.6260000052862,2
1,0.35,458.5780000165105,1
1,4.0,519.8025000249036,2
1,5.29,434.89570001512766,0
1,2.0,466.74609998846427,1
1,0.5,366.4961000289768,2
1,0.25,510.8236999916844,2
1,0.5,396.6510000140406,1
1,4.0,554.1213999935426,2
1,0.25,512.0424000164494,2
1,0.25,629.8846999965608,2
1,0.25,475.67209996888414,0
1,0.71,452.57059996621683,0
0,0.35,487.02400002768263,2
1,1.41,490.65099999681115,0
1,0.35,514.7121000303887,0
1,2.0,629.9094999525696,5
1,2.0,572.5111000323668,5
1,1.41,603.3549999669194,4
1,5.29,534.2439000345767,5
1,7.0,402.5557000390254,5
1,2.83,429.0188999697566,3
1,0.35,471.4228999768384,5
1,0.71,402.00830000359565,3
1,1.0,424.1494999700226,4
1,1.0,321.75990001671016,5
1,4.0,382.19979998795316,3
1,5.29,463.72560003912076,4
1,1.0,449.3411999978125,3
0,2.83,414.1745000346564,4
1,7.0,693.9700999613851,3
1,0.25,440.05289999442175,4
1,5.29,458.4617000040598,4
1,2.83,388.11050000041723,5
0,1.0,559.3909999555908,5
1,2.83,446.2458000020124,4
1,7.0,504.53929998585954,4
1,2.0,537.8394999974407,3
1,1.41,434.9305999898352,3
1,7.0,514.9463000092655,5
1,0.71,655.0742000075988,3
1,0.5,410.4789000088349,4
1,0.5,458.2228999901563,4
1,7.0,322.0134999686852,5
1,1.41,291.48979996936396,5
1,0.35,471.34079999197274,4
1,5.29,454.5840999893844,3
0,2.0,417.58960002008826,3
1,0.5,376.0126000237651,3
1,1.0,509.18819999461994,5
1,0.25,480.91190005326644,3
1,2.83,443.70100000780076,4
1,0.71,439.9706000080332,5
1,2.0,467.11060002818704,3
