Correct Response,Height (deg),Reaction Time (ms),Target
1,4.0,460.2026999048516,2
1,5.29,606.3178000324965,0
1,0.25,832.1169999247045,0
1,4.0,449.51490001339465,2
1,5.29,680.3877000050247,2
1,4.0,508.5409999876842,0
1,7.0,468.8830999942124,2
1,1.0,524.1565000317619,2
1,1.41,407.4586999188736,1
1,0.71,492.89150003395974,1
1,0.25,458.6760000377521,0
1,1.41,478.74089996848255,0
1,5.29,438.3718000311032,0
1,0.35,374.33900000113994,2
1,0.71,504.2846000572294,0
1,1.41,544.5514999148995,1
1,0.71,641.3861000030861,2
1,1.0,649.6747999038175,2
1,0.25,545.0936999689416,1
1,0.5,552.3256000881643,2
1,7.0,539.429199910313,1
1,1.0,485.42199996817857,2
1,4.0,491.058500046432,1
1,7.0,499.12720001820475,0
1,2.0,519.9515999113769,1
1,2.83,450.30660010460764,0
1,2.0,469.5465999241546,1
1,2.0,460.08809996355325,0
1,1.41,434.13420001097023,1
1,5.29,327.28089988749474,2
1,0.25,559.0813000738249,2
1,0.35,603.061200031601,1
1,0.5,546.4880999927968,0
1,1.41,402.1917000930384,1
1,7.0,1031.4305000058935,2
1,2.83,477.9073000238836,5
1,1.0,445.3965999703482,5
1,4.0,578.2401999743283,4
1,0.5,375.73170001205057,3
1,2.0,426.60879998520016,3
1,7.0,658.7112000263855,4
1,0.5,749.3876999063045,5
1,0.35,691.6174000646547,5
1,1.0,633.4209000045062,5
1,0.25,480.8678999827802,3
1,0.71,679.570099949427,5
1,5.29,567.7400999987126,4
1,5.29,532.9735999978707,3
1,4.0,960.2426999766008,5
1,0.71,518.467100016363,5
1,0.5,674.3905999749527,4
1,0.35,576.752700056471,5
1,2.83,530.44079992041,4
1,1.0,587.5187999620662,5
1,0.25,513.2426999328286,3
1,2.0,523.4916999755055,4
0,1.41,480.28499996807426,4
1,0.71,333.77489997591823,5
1,5.29,468.0826999531686,4
1,1.0,329.3338999203965,3
1,2.0,511.4395000557974,3
1,2.83,648.2990000215918,5
1,2.83,520.3881000918896,3
1,1.41,645.2733999169991,4
1,2.83,486.2176999734342,3
1,1.41,689.8433000599593,5
1,7.0,698.2854999653623,5
1,0.35,495.8885999215394,5
1,0.71,522.6149000512064,3
1,0.5,343.21930006198585,4
1,0.35,511.42680007550865,3
