Correct,Size,RT,Target
1,8,489.0763,0
1,4,520.8434,0
0,2,523.2338,0
1,2,566.1063,0
1,2,576.6742,0
1,8,538.7271,0
1,6,522.7214,0
1,4,460.1406,0
1,8,505.9176,0
1,6,576.3283,0
0,4,490.2195,0
1,4,459.4725,0
1,6,546.1444,0
1,6,405.8883,0
1,8,459.8184,0
0,6,591.784,0
1,6,487.5766,0
1,6,545.5566,0
1,2,482.6903,0
1,2,440.0431,0
1,8,567.224,0
1,4,429.9542,0
1,2,381.3828,0
1,4,467.5937,0
1,6,736.3,0
1,4,517.9679,0
1,4,559.9329,0
1,6,494.2818,0
1,8,474.4044,0
1,8,497.3575,0
1,2,514.9775,0
1,4,598.2697,0
1,8,622.6762,0
1,2,499.2575,0
1,8,543.7153,0
1,8,360.3567,0
1,2,519.0616,0
1,4,633.5251,0
1,2,516.5773,0
1,8,547.1794,0
1,2,474.83,0
1,8,452.9622,0
1,2,527.8527,0
1,8,511.0627,0
1,8,586.9692,0
1,8,538.955,0
1,4,483.2421,0
1,2,607.5078,0
1,4,501.1615,0
1,4,495.5362,0
1,8,495.1245,0
1,8,486.0488,0
1,6,448.368,0
1,6,587.68,0
1,8,623.789,0
1,2,539.276,0
1,8,458.9327,0
1,6,450.9317,0
1,4,530.3221,0
1,2,581.3377,0
1,8,528.9627,0
1,4,552.6603,0
1,6,453.5751,0
1,4,657.7752,0
1,2,463.0533,0
1,2,426.6422,0
1,6,447.8827,0
1,4,399.5589,0
1,6,410.0919,0
1,8,545.3055,0
1,2,449.5823,0
1,6,419.171,0
1,4,556.1305,0
1,6,636.9348,0
1,8,520.0931,0
1,6,437.0974,0
1,8,530.6116,0
1,8,472.6824,0
1,6,416.692,0
1,4,513.5124,0
1,4,589.1905,0
1,4,489.2142,0
0,4,436.3715,0
1,6,947.8039,0
1,6,558.6468,0
1,6,482.1097,0
1,2,473.7808,0
1,4,475.0108,0
0,8,481.7871,0
1,8,557.3815,0
1,4,508.3857,0
1,4,524.1313,0
1,8,597.8815,0
1,6,385.5609,0
1,8,480.6779,0
1,8,610.8387,0
1,8,488.3374,0
1,6,508.7829,0
1,4,473.6082,0
1,2,593.1062,0
1,4,511.6736,0
1,4,434.9166,0
1,4,388.9075,0
1,8,792.1833,0
1,4,476.2017,0
1,8,503.359,0
1,2,431.5728,0
1,8,425.3388,0
1,2,497.3754,0
1,6,566.3984,0
1,8,982.3682,0
1,6,416.5285,0
1,4,449.4102,0
1,8,449.2637,0
1,2,452.2724,0
1,4,497.2053,0
1,6,492.3501,0
1,4,583.9677,0
1,2,586.7615,0
1,2,619.8302,0
1,4,507.8658,0
0,4,827.3901,0
1,4,568.6085,0
1,4,573.2337,0
1,4,448.261,0
1,4,449.8057,0
