Correct,Size,RT,Target
1,2,493.0529,0
1,2,465.8877,0
1,2,436.1968,0
1,4,611.3463,0
1,8,490.9672,0
1,8,465.0818,0
1,8,393.91,0
1,8,473.7128,0
0,8,397.3797,0
1,6,522.1162,0
1,8,455.9314,0
1,8,552.0418,0
1,8,398.1081,0
1,2,361.5546,0
1,8,531.6011,0
1,8,534.8738,0
1,4,415.0605,0
0,6,391.603,0
0,8,436.333,0
1,8,470.9723,0
1,8,380.4672,0
1,8,442.0134,0
1,6,517.5725,0
1,4,477.2743,0
1,4,613.7574,0
1,2,578.5789,0
1,8,478.6154,0
0,8,381.4514,0
1,2,539.6831,0
1,8,469.5764,0
1,4,389.7242,0
1,6,435.096,0
1,8,452.2906,0
1,6,453.5489,0
0,8,390.5279,0
1,6,452.7128,0
1,4,491.3781,0
0,6,437.5763,0
1,8,449.9822,0
1,2,494.0505,0
1,6,440.3095,0
1,2,450.0438,0
0,6,423.0262,0
1,6,479.8625,0
1,6,423.9327,0
1,6,507.5439,0
1,2,436.3082,0
1,2,455.6004,0
1,4,392.1932,0
1,2,403.5641,0
1,6,502.3699,0
1,2,525.2513,0
1,2,451.3292,0
1,6,502.7187,0
1,6,445.4655,0
1,8,512.085,0
1,6,472.1975,0
1,6,479.1711,0
1,6,424.697,0
1,2,352.5534,0
1,4,348.0097,0
1,8,483.9461,0
0,8,411.4532,0
0,6,507.8381,0
1,2,510.0273,0
1,8,394.9655,0
1,2,396.7149,0
1,2,452.4366,0
1,6,406.0678,0
1,4,388.6977,0
1,2,529.9917,0
1,4,494.3107,0
1,6,384.4796,0
1,6,465.0331,0
0,8,398.702,0
1,4,538.7351,0
1,2,523.5201,0
1,4,448.9778,0
1,8,473.4505,0
1,8,506.4009,0
1,2,430.5272,0
1,4,497.6876,0
1,2,578.7486,0
1,4,441.5309,0
1,2,440.8363,0
1,4,398.3039,0
1,8,434.2078,0
1,8,384.514,0
1,8,453.1261,0
1,8,376.8196,0
1,8,426.8909,0
1,4,409.332,0
1,2,471.3088,0
1,2,430.4653,0
1,2,501.1926,0
1,6,329.4477,0
0,6,517.6024,0
1,8,376.4733,0
1,8,378.2895,0
1,8,444.09,0
1,8,393.5029,0
1,2,404.1869,0
0,2,412.242,0
1,6,428.2615,0
1,2,486.2187,0
1,2,477.5707,0
1,8,486.0945,0
1,8,477.7721,0
1,4,468.93,0
1,2,477.7894,0
1,6,377.2088,0
1,6,392.9241,0
1,8,396.9805,0
0,2,432.9678,0
1,8,407.8147,0
1,2,521.6402,0
1,4,418.3504,0
1,4,473.4836,0
0,8,464.3929,0
1,6,462.5912,0
1,6,522.9784,0
1,6,502.9342,0
0,6,465.7439,0
1,6,527.1029,0
1,6,431.7152,0
1,6,443.0868,0
1,6,414.8271,0
1,6,449.3063,0
1,6,525.9673,0
1,6,488.2418,0
1,6,571.9212,0
0,6,461.9784,0
1,6,511.5965,0
1,6,440.5896,0
1,6,453.6346,0
1,6,364.8967,0
