Face,Direction,Eccentricity,Reaction Time (s),Correct?,Size,Eye Tracking Start Time (CPU Uptime)
B,2,0,0.3943719,1,6,1116069609
A,2,0,0.5487691,1,8,1116116125
B,0,0,0.4533892,1,4,1116118750
B,0,0,0.5014709,1,8,1116148437
B,0,0,0.4704068,1,8,1116153531
M,0,0,0.4569492,1,2,1116185781
B,2,0,0.4716833,1,4,1116211343
A,0,0,0.5579711,1,6,1116221578
M,0,0,0.4737033,1,4,1116231281
B,2,0,0.4982774,1,4,1116233593
M,0,0,0.5470657,1,2,1116241046
M,0,0,0.4606561,1,4,1116253390
M,2,0,0.4558855,1,2,1116255968
M,0,0,0.4751538,1,4,1116263421
B,2,0,0.4994891,1,2,1116280906
M,0,0,0.4809088,1,6,1116295578
A,0,0,1.0780957,1,4,1116298406
B,2,0,0.5161816,1,6,1116303343
M,0,0,0.5417325,1,2,1116305625
B,2,0,0.4527948,1,4,1116363421
M,2,0,0.5864093,1,8,1116368375
M,2,0,0.6463875,1,6,1116378390
A,2,0,0.4847267,1,8,1116388500
M,2,0,0.4654896,1,4,1116391046
B,2,0,0.497551,1,8,1116393390
A,0,0,0.4626348,1,6,1116398375
A,0,0,0.4095557,1,2,1116415921
A,2,0,0.5026607,1,6,1116428031
M,2,0,0.49034,1,8,1116433265
B,2,0,0.4798355,1,2,1116445875
B,0,0,0.4923286,1,6,1116462906
B,2,0,0.5106802,1,6,1116473203
B,2,0,0.5876807,1,2,1116530750
B,2,0,0.4292395,1,8,1116543484
B,2,0,0.4149156,1,4,1116545671
M,0,0,0.4778722,1,8,1116568234
A,2,0,0.5432925,1,8,1116575953
B,2,0,0.6352107,1,4,1116583187
B,0,0,0.4720813,1,4,1116588093
M,2,0,0.4823478,1,8,1116602875
M,2,0,0.494844,1,8,1116610281
A,2,0,0.4353327,1,8,1116618046
B,0,0,0.4447205,1,4,1116637796
B,2,0,0.4875678,1,8,1116642984
A,0,0,0.4574121,1,2,1116647875
B,2,0,0.3915815,1,6,1116660234
B,0,0,0.6064117,1,2,1116662484
B,0,0,0.5977841,1,6,1116665140
A,0,0,0.5462981,1,8,1116667718
B,2,0,0.8175698,1,6,1116670125
B,2,0,0.5635791,1,8,1116719984
B,2,0,0.6013956,1,2,1116724875
A,2,0,0.5245907,1,4,1116737093
A,0,0,0.5657169,1,4,1116746953
M,2,0,0.466552,1,4,1116795265
A,0,0,0.5011504,1,2,1116797718
M,0,0,0.5931981,1,4,1116807421
B,0,0,0.7338308,1,6,1116827484
A,0,0,0.521173,1,6,1116837406
B,2,0,0.7836335,1,6,1116847437
A,2,0,0.4362867,1,6,1116889375
M,2,0,0.5280885,1,8,1116909406
M,0,0,0.4875052,1,6,1116947265
B,0,0,0.5728027,1,6,1116967312
A,0,0,0.4880733,1,8,1116979765
A,2,0,0.4999971,1,4,1116989625
B,0,0,0.6631108,1,2,1116999562
M,0,0,0.4874268,1,8,1117012062
M,2,0,0.5940261,1,4,1117017078
B,0,0,0.5981555,1,8,1117026765
A,0,0,0.5311973,1,2,1117029234
B,0,0,0.6494568,1,2,1117039046
M,2,0,0.5794162,1,2,1117048859
A,0,0,0.4733592,1,6,1117053953
A,2,0,0.5661906,1,6,1117059187
M,0,0,0.9419994,1,4,1117066421
M,0,0,0.695411,1,4,1117094718
A,0,0,0.6269175,1,2,1117109203
B,2,0,0.5248344,1,8,1117111968
M,0,0,0.4894728,1,2,1117114328
A,0,0,0.4899882,1,8,1117129296
A,2,0,0.4771053,1,2,1117163953
A,2,0,0.4437153,1,8,1117188531
B,0,0,0.5459742,1,4,1117206187
A,2,0,0.4997447,1,6,1117249921
A,2,0,0.4813309,1,6,1117262234
M,2,0,0.5737362,1,6,1117274625
A,0,0,0.4458523,1,2,1117277218
B,0,0,0.4901611,1,8,1117289515
B,2,0,0.4933943,0,8,1117291906
B,0,0,0.489261,1,6,1117297218
M,0,0,0.4904513,1,8,1117299531
M,0,0,0.6029126,1,4,1117312093
B,2,0,0.6348569,1,2,1117314375
M,0,0,0.5288343,1,4,1117336937
A,0,0,0.4707251,1,2,1117356593
M,2,0,0.4665075,1,4,1117392109
M,0,0,0.3992606,0,8,1117404984
M,0,0,0.5887183,1,2,1117412281
B,0,0,0.4952506,1,4,1117414796
B,0,0,0.8425725,1,2,1117451718
B,2,0,0.439041,1,2,1117459281
M,2,0,0.5117738,1,6,1117461984
B,0,0,0.5341716,1,6,1117469140
A,0,0,0.5527208,1,6,1117471921
A,2,0,0.4253316,1,8,1117493984
A,2,0,0.5788269,1,4,1117501609
M,0,0,0.5450819,1,6,1117506437
M,2,0,0.4427255,1,8,1117549484
M,2,0,0.5319018,1,2,1117564734
M,0,0,0.5620609,1,8,1117574625
B,2,0,0.4920951,1,4,1117577140
M,2,0,0.5958248,1,6,1117584203
A,2,0,0.501233,1,6,1117599343
M,0,0,0.4867111,1,6,1117636562
M,2,0,0.4521933,1,6,1117661500
B,2,0,0.5313723,1,8,1117711781
B,0,0,0.4728603,1,4,1117714546
M,0,0,0.4572817,1,2,1117754046
A,2,0,0.4845856,1,2,1117756296
B,2,0,0.6519391,1,2,1117800109
M,0,0,0.5093207,1,2,1117805078
