Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-60,537.0342000063974,1
1,150,697.4923000056297,1
1,150,488.4567999946885,0
1,60,748.8815999935614,2
1,30,495.0121999976691,0
1,-120,699.6741999868536,1
1,-150,580.6779999951832,0
1,0,503.50740000105,0
1,60,487.39390000666026,0
1,60,556.5817999999272,1
1,-90,613.1048999927007,1
1,-30,493.1327999915229,0
1,-60,404.72109999647364,0
1,-120,533.1987999929115,0
0,60,747.5208999934839,1
1,60,549.0019999964861,0
1,60,730.4393999915337,2
0,-30,745.4057000108296,2
0,-30,966.9740000066813,1
1,-30,530.787799998885,0
1,120,605.5331999927294,0
1,-150,929.1725000042934,2
1,-120,572.0391000035452,0
1,-30,504.8622000144096,1
1,30,712.9955999957165,2
1,180,830.8903000110295,2
1,0,467.7883999942569,0
1,-30,503.7045999892289,2
1,120,1010.2691000032937,4
1,0,532.2959000008414,4
1,-90,584.2387999986531,5
1,-60,653.9242000111844,3
1,90,582.9153000053484,5
1,-120,952.7231000069296,3
1,0,559.2977000018582,5
1,180,873.9026999941561,4
1,90,788.4963999935426,3
1,180,952.231300001964,3
1,180,586.0959000096191,5
0,-30,1058.07700000552,4
1,-30,631.5793000070844,4
1,90,992.9631000090158,4
1,90,548.9876000032527,5
1,150,794.4997999988263,4
1,120,608.2869000060018,4
1,30,618.1035000012489,3
1,150,668.5190999964252,4
1,-150,931.6133000069531,3
1,30,498.1598999988055,5
1,-60,719.9617999980692,3
1,-90,756.9941999940202,5
1,-150,614.2670999947004,5
1,-90,596.0916000007419,3
0,120,-109.0,4
1,120,712.9246999942698,3
1,-180,830.89,2
1,-180,873.9,4
1,-180,952.23,3
1,-180,586.1,5
