Correct Response,Rotation (deg),Reaction Time (ms),Target
0,-60,1134.7078000511974,0
1,-60,543.8682000935078,1
1,60,959.6159001197666,0
0,90,1041.6346999667585,0
1,90,734.7931998632848,0
1,120,699.2270000595599,0
1,-30,622.0954998247325,0
1,180,792.4950999990106,1
0,150,922.6419000737369,0
0,150,738.2988000139594,1
1,150,1044.294499963522,2
1,-120,991.6230001803488,2
0,-90,-109.0,1
1,-90,831.8845000434667,0
0,60,-109.0,2
1,60,1174.3852998446673,1
0,-120,-109.0,2
1,-120,739.1372999958694,0
1,-150,803.5986997969449,2
1,-120,931.0728001259267,2
1,-30,642.559600001201,2
0,30,-109.0,1
1,30,598.0662998594344,0
1,90,831.0880001485348,1
1,150,1103.9892001394182,0
0,-90,657.4097000379115,1
1,-90,488.5450000260025,1
1,30,740.408800015226,0
1,-90,751.1278001442552,2
1,90,959.1104999966919,2
1,150,1091.3521001897752,2
1,-30,661.2753997873515,2
0,0,558.6519000902772,0
1,0,704.5488000698388,2
1,180,1070.212799994275,1
1,-60,489.7448999658227,3
1,180,609.912199838087,5
1,-150,603.9973999690264,4
0,-120,513.5979998707771,3
1,-120,621.3291000425816,5
1,-30,606.7107000239193,3
1,30,518.8649000450969,4
1,0,498.1658998262137,4
1,30,582.9108999427408,5
1,60,624.9486998971552,4
1,0,494.43150002881885,5
0,120,770.0319999679923,3
1,120,819.3799000550061,4
0,90,669.5901001188904,4
1,90,707.9780999887735,3
1,0,578.5667001586407,4
0,-60,561.2596999239177,4
1,-60,664.374899988994,3
1,-150,609.8481001649052,5
1,-150,700.2684999573976,3
1,-150,638.8742999956012,5
1,60,602.6226002108306,5
0,180,384.8491000793874,3
1,180,683.056200094521,4
1,120,710.1295000724494,4
1,-90,660.2023999989033,3
1,-60,501.3978001046926,3
1,-30,504.924500066787,3
1,150,735.8892999440432,4
1,120,785.7963998652995,3
1,-180,792.5,1
1,-180,1070.2,1
1,-180,609.91,5
0,-180,384.85,3
1,-180,683.06,4
