Correct Response,Height (deg),Reaction Time (ms),Target
1,1.41,660.9815000000854,0
0,2,601.4309000001194,0
1,2,646.5265999999392,0
1,1.41,597.2765000000581,0
1,8,514.0253000001085,1
1,5.66,491.69880000014564,1
1,1.41,832.8696000000182,2
1,5.66,642.6947999999957,2
1,4,581.3340999999728,2
1,2.83,692.9051999999647,0
1,1.41,540.3878000001132,1
1,28,473.6878999998826,0
1,11.31,592.5527999999449,2
1,21.17,602.2784000000829,1
1,8,526.2940000001581,1
1,28,597.1151000000336,0
1,2.83,640.3747000000894,0
1,11.31,660.7900000000573,0
1,2.83,663.0368999998755,1
1,2,522.1811000000489,1
1,8,483.63030000010986,0
1,5.66,592.23650000005,2
1,2,539.4146999998757,0
1,4,650.9288000001252,2
1,1,755.1946000000189,2
1,21.17,618.1370999999363,2
1,8,604.5355000000345,3
1,1.41,887.1223000000246,4
1,1,800.3913000001521,3
1,8,481.4622999998992,4
1,1,468.446000000009,5
1,28,558.7586000000701,4
0,11.31,506.5377000000044,5
1,11.31,714.7283999999363,4
1,16,479.39560000001256,5
1,2,570.2285999999876,3
1,4,617.7610999999761,4
1,21.17,449.63350000004175,4
0,21.17,442.9334999999046,3
1,21.17,810.6873000000778,4
1,8,515.0563999999722,4
1,16,572.3433999998324,5
1,5.66,484.03300000010495,5
1,2.83,549.2757999999558,3
1,28,575.7939000001588,4
1,1,768.7603000000909,3
1,1.41,601.3275000001759,4
1,1,751.6181000000106,5
1,5.66,491.95909999995456,5
1,4,404.8827000000674,5
1,28,556.6583000001319,3
1,21.17,603.5608000001193,3
1,11.31,559.7581999999566,5
