Correct Response,Height (deg),Reaction Time (ms),Target
0,5.66,539.6050999416411,1
1,5.66,521.4718000507355,0
1,1.41,500.59359986431895,2
1,5.66,518.9513999512792,2
1,1,510.29750006370244,2
1,11.31,470.1114001227915,0
1,21.17,541.1732001239807,1
1,21.17,383.6706001321226,1
1,1,568.6225998225063,1
1,28,418.1427999874949,1
1,2,402.15729992002247,1
1,2,363.97020006649194,1
1,28,546.8312997846306,2
1,5.66,481.34940001279114,0
1,2,485.4703000756353,2
1,2,624.8208000334353,0
1,11.31,457.8559000520408,2
1,1.41,432.36159999020396,0
1,8,430.2063998775929,0
1,1,452.8912999676913,2
1,1.41,558.9917001789809,2
1,28,412.3662000066042,1
1,5.66,459.2922998136282,1
1,16,459.87599995084105,2
1,11.31,424.8267000085115,0
1,2.83,445.08190010771153,0
1,4,399.05179990552364,4
1,2.83,391.01509982816873,5
1,2.83,440.3462000200897,4
1,8,414.2245999547094,4
1,16,422.1444001896679,4
1,8,503.6718999045342,5
0,21.17,582.562800032124,3
1,21.17,331.90650004059074,3
1,4,361.6178000821173,4
1,28,401.4031998822838,4
1,16,330.491600093469,4
0,1,389.3246999951452,5
1,1,402.1312999548763,5
1,4,418.9029999552667,5
0,11.31,435.40360010325907,5
1,11.31,356.70519992806015,5
1,8,466.6208000863343,3
1,1.41,415.8918999610841,5
0,16,542.710899842009,3
1,16,411.1831001947075,4
1,2,387.87839980892835,4
0,21.17,392.4779000236094,4
1,21.17,448.26019997805355,5
1,4,449.6848001154512,3
1,1,475.8267002189904,5
1,1.41,470.6661999235302,4
1,8,417.5347997816652,4
1,2.83,372.1093998765945,5
1,11.31,406.3330998188257,5
1,4,499.8608999895304,5
