Correct Response,Height (deg),Reaction Time (ms),Target
1,21.17,614.0504590001277,1
1,8,625.2314290002963,1
1,1.41,864.2255419998313,0
1,4,713.6963000001109,2
1,28,391.9958780000619,0
1,16,534.563174999976,1
1,16,754.8482649998099,1
1,1,985.6335789998687,0
1,8,389.17967800019176,2
1,2,420.11384499967824,0
1,1.41,628.9558720003064,0
0,1,697.5030320002865,1
1,1,812.5994539999105,0
1,16,736.8642210002057,1
1,16,685.006707999792,1
1,4,751.2669649998592,1
1,1,775.6205789999789,2
1,8,619.0313929999596,2
1,28,540.381824000024,0
1,11.31,681.5927079999987,0
1,1.41,806.7131900000553,0
1,16,503.3244660001677,0
1,21.17,437.95405700014305,0
0,1,624.4146139996068,1
1,1,782.0311009998753,0
1,21.17,599.9327889997679,0
1,1.41,753.1197839997097,0
1,5.66,622.2163060000006,5
1,2.83,551.4002030002579,5
1,5.66,594.7162820001089,4
1,5.66,653.9167500003081,4
1,4,530.5190229999702,5
1,2,605.9107240001416,5
1,4,771.4455120002007,3
1,2.83,969.0562590001995,3
1,21.17,458.9962670000481,5
1,21.17,696.8876429999276,3
1,11.31,685.6679399996486,5
1,11.31,774.625587000019,3
0,2.83,546.4647460001564,3
1,2.83,654.9377279996683,5
1,8,765.834288999786,4
1,2,740.592421000047,4
1,5.66,531.070138000205,5
1,28,506.31031299993117,5
0,2,962.8684819998219,3
1,2,845.7235649996895,3
1,1.41,1134.2204350001616,3
0,28,1112.325992999859,3
1,28,898.7360079998601,4
1,28,671.7689440000235,4
1,11.31,683.4078709997178,4
1,5.66,640.9907890000162,4
1,2,852.7499529999026,4
1,2.83,456.4527460000412,5
