Correct Response,Height (deg),Reaction Time (ms),Target
1,2.83,973.6608999632299,0
1,28,819.2909999601543,1
0,16,904.9788999222219,2
0,16,878.1864998713136,1
1,16,553.3819000087678,2
1,8,574.4317001048476,2
1,11.31,531.6755999196321,0
1,21.17,587.8266000039876,1
0,1,797.797599978745,1
0,1,1047.0870001558214,2
0,1,854.139700004831,0
0,1,1028.3505000956357,1
0,1,1023.6441001147032,1
1,1,1199.812899980694,0
1,11.31,1060.1902000457048,1
1,5.66,969.4358999226242,1
1,5.66,871.7543000206351,2
1,21.17,943.2625998128206,1
1,21.17,820.7585000749677,0
1,4,931.2472999412566,1
1,28,818.8486999683082,1
0,2,852.731499992311,1
0,2,1061.529000228271,0
1,2,646.7291998527944,1
1,4,689.2650001067668,0
1,2.83,724.8303999044001,1
1,2,951.8908000867814,1
1,5.66,687.5321000665426,1
1,2.83,607.3623999804258,0
0,2.83,883.5321000628173,0
1,2.83,853.1490999124944,1
1,1,1056.1081000454724,1
1,16,848.5658000539988,0
1,1.41,890.1021000314504,2
1,28,734.9168999902904,1
1,8,469.8187999278307,4
1,11.31,556.246699936688,4
1,2.83,511.31239992938936,4
1,1.41,564.7605999223888,5
1,8,499.8304000440985,4
1,2,552.7488998454064,3
1,4,410.5559000130743,4
1,2,525.9671001080424,5
1,11.31,429.94060011953115,3
1,2.83,463.2008999437094,3
1,1,573.335700141266,3
1,5.66,599.8623999152333,4
1,8,728.804300012067,5
1,1.41,604.9334999956191,3
1,8,543.0326000172645,4
1,4,707.0631998907775,3
1,21.17,544.1688999384642,5
0,16,1021.230899900198,5
1,16,446.9674999676645,3
1,4,531.231000026688,5
1,28,503.52019996754825,5
0,5.66,564.4524997882545,3
1,5.66,600.4469999428838,5
1,11.31,698.6696000061929,4
1,16,382.4130000397563,4
1,11.31,319.42799983918667,4
1,28,355.4061999861151,4
