Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-120,471.5656999582425,0
1,180,412.47479995619506,2
1,-180,412.47479995619506,2
1,0,333.62879993766546,2
1,-90,472.2361999414861,1
1,-150,538.0591999823228,1
1,-30,422.1105999862775,1
1,60,469.91019992530346,0
1,0,371.6614000117406,1
1,-90,504.35100000724196,2
1,-30,369.7767000962049,1
1,-60,544.9374999701977,0
1,-150,557.3630999391899,2
1,-60,461.0668999925256,0
1,30,534.2477000635117,1
1,90,531.2933000354096,2
1,-60,427.80929995607585,0
1,180,497.86359996907413,1
1,-180,497.86359996907413,1
1,-60,518.6964000426233,0
1,-120,450.0078999521211,1
1,-60,440.6074999682605,0
1,180,460.46659996174276,1
1,-180,460.46659996174276,1
1,120,600.256700007245,2
1,150,521.2680000662804,1
1,0,533.8480000467971,2
1,60,481.00619989819825,1
1,150,613.6571999490261,0
1,-90,350.15669994428754,2
1,90,435.41999993287027,2
1,-90,456.4298000736162,2
1,-30,425.86639994662255,0
1,30,390.2211000062525,2
1,-150,495.94960006326437,0
1,-150,517.6210000030696,2
1,90,627.5858999546617,1
1,150,554.8077999232337,1
1,150,608.3872999846935,0
1,-90,503.998399999924,2
1,120,369.8332999451086,1
1,-120,499.21869992651045,1
1,-30,500.1359999263659,2
1,60,385.42729994188994,5
1,30,378.146099912934,4
1,0,502.83040007017553,5
1,90,435.36990001704544,5
1,150,495.7470999183133,4
1,-150,429.3125999942422,3
1,180,538.9852000484243,4
1,-180,538.9852000484243,4
1,120,455.0140000032261,3
1,120,393.3079999955371,3
1,90,331.4477000935003,3
1,180,491.2823000308126,5
1,-180,491.2823000308126,5
1,180,506.46809994615614,4
1,-180,506.46809994615614,4
1,-90,511.01499999314547,4
1,30,498.06569999456406,5
1,-120,436.33509991597384,5
1,-60,456.33880007918924,4
1,90,498.2137000737712,4
1,30,253.30579996481538,3
1,-120,481.5536999925971,4
1,60,646.8407000033185,5
1,30,297.00880002602935,3
1,-90,329.38049995247275,3
1,-30,348.1758999954909,4
1,120,339.18409997969866,5
1,-150,399.89749999623746,5
0,150,426.60890001244843,4
1,0,450.0969999320805,3
1,0,426.251299967058,5
1,-120,712.3883000425994,4
1,90,360.12390005309135,5
1,-150,541.6207999773324,4
1,180,483.79569995123893,3
1,-180,483.79569995123893,3
1,-60,462.1185000836849,5
1,-30,458.7484000334516,5
1,30,499.1222000066191,4
1,-30,389.4509999630973,3
1,150,368.2677000146359,4
1,60,456.93669997528195,4
1,60,435.1815999802202,4
1,-120,465.0580999990925,4
1,120,484.20210001897067,4
