Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-150,702.4737000475079,2
1,-60,695.3929000310973,1
1,0,648.6150999563188,1
1,150,629.4476999910921,2
1,60,682.1781999906898,0
1,-60,414.76830002017317,0
1,60,639.8073999453709,2
1,-120,531.1332999272645,2
1,120,634.3083000984416,2
1,120,632.8399999775365,1
0,180,757.4258000832424,0
0,-180,757.4258000832424,0
1,90,780.8215999985487,2
1,-120,621.4089000141621,0
1,150,527.4294000128657,2
1,30,511.29050005789844,1
1,180,696.8590000188351,0
1,-180,696.8590000188351,0
0,-90,784.5323000811413,2
1,0,551.0319001051039,1
1,-30,567.205499975048,0
1,60,631.2032000869885,0
1,-60,880.0961999232322,2
1,120,768.9211999541521,1
1,-90,538.9661999661848,1
1,0,536.8672000486777,1
1,-150,748.0732999984548,5
1,30,548.5458999183402,4
1,-150,597.4988999087736,5
1,90,606.1496000048146,5
1,-30,412.913099980019,3
0,0,460.96369996763764,5
0,30,615.8368000770361,3
1,90,550.5195000451431,3
1,0,498.6057999786362,5
0,-150,584.7747999951616,4
1,150,19.96449998211115,5
1,60,703.9468999728933,5
1,-150,872.9199999953062,4
0,-60,516.6650000037998,3
1,-150,546.9686000151933,5
1,-90,676.5688000023738,4
1,180,788.3618000205979,3
1,-180,788.3618000205979,3
1,-30,503.52459994707255,5
1,30,937.0878000054881,3
1,-90,599.2041999716685,3
1,-120,701.5343999965489,4
1,150,805.3658999279514,4
0,30,526.1723001031578,5
0,150,926.7847000165284,3
1,180,613.4436000148207,4
1,-180,613.4436000148207,4
1,-60,622.9442999475077,4
1,180,579.5903999833763,5
1,-180,579.5903999833763,5
1,-30,537.5747000808269,4
1,60,417.697199970521,7
0,-120,504.48080001030115,7
1,-90,698.8430999927596,6
1,180,632.3344999701158,8
1,-180,632.3344999701158,8
1,-120,473.50439999815075,6
1,30,517.1692000013218,8
1,90,582.0987999914587,6
1,-90,548.5128998998925,6
1,-60,511.6339999959245,7
1,120,635.9707999518514,7
1,150,392.0482000112906,7
1,-120,531.8856999520585,6
1,0,495.7532000271976,7
1,120,455.05140000119803,7
1,-60,379.907399999015,7
1,90,475.9476999761909,6
1,120,532.3218000131101,6
1,60,415.068799980022,6
1,-120,456.4831999605894,6
1,-90,901.6184000075236,8
1,-30,496.1511000302061,7
1,30,632.8980000699312,7
1,-30,497.367699980773,7
