Correct Response,Rotation (deg),Reaction Time (ms),Target
1,120,716.3758000209928,0
1,90,556.8361998852342,1
1,180,465.62140009738505,1
1,-180,465.62140009738505,1
1,0,509.3994999155402,0
0,-120,493.6488000061363,1
0,60,660.5267000235617,0
1,60,501.34350004047155,2
1,90,1012.8748998362571,1
1,150,609.6881999950856,2
1,30,649.6878000292927,1
1,0,570.1945998556912,1
1,-120,656.9005001187325,0
1,-30,701.9098998829722,0
1,-30,569.2091001514345,1
0,60,359.2092999573797,0
1,-120,1027.6302999667823,1
1,180,933.2489000484347,0
1,-180,933.2489000484347,0
1,60,573.713899994269,1
1,-150,538.1945999655873,2
1,60,765.6504001319408,1
1,-90,576.7829999644309,0
0,-60,-109.0,1
1,150,540.2961999028921,2
1,0,834.5368999838829,1
1,150,832.8780000414699,1
1,120,983.174099991098,0
1,30,610.2453001625836,5
1,150,425.93819991126657,5
1,-30,413.1387001220137,5
0,30,641.4817000590265,4
1,180,557.187800001353,5
1,-180,557.187800001353,5
0,-120,995.7025001607835,4
1,90,617.3702999334782,3
0,120,925.1621998231858,5
1,-60,549.4250000305474,5
1,120,492.9806999247521,3
1,90,832.2789000198245,4
1,30,458.45900004170835,5
1,-90,562.1279000155628,5
1,-60,512.7074000742286,3
0,-60,616.7827001158148,3
1,-60,466.7605000399053,5
1,-150,470.9418999813497,5
1,-30,483.44819986633956,5
1,-90,524.6213999893516,5
1,60,752.2235998734832,4
1,-90,635.5031998213381,4
0,-120,412.88679995015264,3
1,-150,690.5103001594543,3
1,60,824.2869001664221,5
1,-120,895.331300035119,3
1,-150,525.5315999351442,5
1,0,485.5659000426531,5
1,-60,537.1856998503208,7
1,30,494.7110001780093,8
1,-120,744.7087000440806,8
1,-90,609.8276001252234,6
1,60,523.2685999330133,7
1,180,687.1389000993222,6
1,-180,687.1389000993222,6
1,120,527.0063999891281,8
1,-150,575.0620001312345,8
1,0,539.3167000114918,7
1,30,394.51190008223057,7
0,120,611.9085999056697,6
1,120,623.1683999616653,8
1,-30,607.0432999953628,7
1,90,1199.886299841106,6
1,-30,578.7105999737978,6
1,150,583.7537000738084,7
1,-120,560.433900155127,8
1,120,602.8166000582278,7
1,-120,539.1631998904049,7
1,180,731.776199940592,6
1,-180,731.776199940592,6
1,-60,509.32699994556606,6
1,90,507.5761000011116,7
1,-90,513.8414000943303,8
